id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,0,0,408,0,0.127
8460,BWV846_Prelude,Bach,lh,0,0,211,2,0.073
8461,BWV846_Fugue,Bach,rh,0,0,487,1,2.569
8461,BWV846_Fugue,Bach,lh,0,0,315,6,1.345
8480,BWV848_Prelude,Bach,rh,7,7,397,21,0.14
8480,BWV848_Prelude,Bach,lh,7,7,425,16,0.162
8481,BWV848_Fugue,Bach,rh,7,7,866,39,8.137
8481,BWV848_Fugue,Bach,lh,7,-4,623,614,2.549
8540,BWV854_Prelude,Bach,rh,4,4,287,1,1.374
8540,BWV854_Prelude,Bach,lh,4,4,221,2,0.685
8541,BWV854_Fugue,Bach,rh,4,4,475,1,4.923
8541,BWV854_Fugue,Bach,lh,4,4,287,2,0.864
8561,BWV856_Fugue,Bach,rh,-1,-1,481,0,1.062
8561,BWV856_Fugue,Bach,lh,-1,-1,313,0,0.16
8570,BWV857_Prelude,Bach,rh,-4,-4,394,6,2.797
8570,BWV857_Prelude,Bach,lh,-4,-4,249,6,0.679
8571,BWV857_Fugue,Bach,rh,-4,-3,735,7,5.616
8571,BWV857_Fugue,Bach,lh,-4,-3,688,12,5.618
8580,BWV858_Prelude,Bach,rh,6,6,293,22,0.756
8580,BWV858_Prelude,Bach,lh,6,6,169,4,0.175
8581,BWV858_Fugue,Bach,rh,6,6,583,2,6.846
8581,BWV858_Fugue,Bach,lh,6,6,370,3,1.919
8600,BWV860_Prelude,Bach,rh,1,1,335,0,4.008
8600,BWV860_Prelude,Bach,lh,1,2,275,2,1.788
8601,BWV860_Fugue,Bach,rh,1,1,1124,4,6.187
8601,BWV860_Fugue,Bach,lh,1,1,705,3,2.616
8620,BWV862_Prelude,Bach,rh,-4,-4,381,0,0.923
8620,BWV862_Prelude,Bach,lh,-4,-4,314,0,0.53
8621,BWV862_Fugue,Bach,rh,-4,-4,477,1,3.085
8621,BWV862_Fugue,Bach,lh,-4,-4,455,1,2.361
8630,BWV863_Prelude,Bach,rh,5,5,344,11,1.422
8630,BWV863_Prelude,Bach,lh,5,5,267,10,0.79
8631,BWV863_Fugue,Bach,rh,5,5,473,59,4.666
8631,BWV863_Fugue,Bach,lh,5,5,374,35,1.569
8640,BWV864_Prelude,Bach,rh,3,3,361,6,3.503
8640,BWV864_Prelude,Bach,lh,3,3,280,4,1.329
8641,BWV864_Fugue,Bach,rh,3,3,813,6,9.072
8641,BWV864_Fugue,Bach,lh,3,3,487,4,2.637
8650,BWV865_Prelude,Bach,rh,0,0,402,1,13.179
8650,BWV865_Prelude,Bach,lh,0,0,246,9,0.27
8651,BWV865_Fugue,Bach,rh,0,0,1408,11,15.958
8651,BWV865_Fugue,Bach,lh,0,0,1140,7,10.618
8660,BWV866_Prelude,Bach,rh,-2,-2,317,2,46.235
8660,BWV866_Prelude,Bach,lh,-2,-2,321,2,298.224
8661,BWV866_Fugue,Bach,rh,-2,-2,573,2,1.566
8661,BWV866_Fugue,Bach,lh,-2,-2,395,0,0.889
8670,BWV867_Prelude,Bach,rh,-5,-5,528,3,12.068
8670,BWV867_Prelude,Bach,lh,-5,-5,279,2,2.431
8671,BWV867_Fugue,Bach,rh,-5,-5,536,24,1.595
8671,BWV867_Fugue,Bach,lh,-5,7,291,270,0.323
8680,BWV868_Prelude,Bach,rh,5,5,260,1,1.389
8680,BWV868_Prelude,Bach,lh,5,5,180,0,0.441
8681,BWV868_Fugue,Bach,rh,5,5,466,4,4.648
8681,BWV868_Fugue,Bach,lh,5,5,442,1,1.529
8700,BWV870_Prelude,Bach,rh,0,0,584,16,14.923
8700,BWV870_Prelude,Bach,lh,0,0,410,4,4.313
8701,BWV870_Fugue,Bach,rh,0,0,682,3,1.395
8701,BWV870_Fugue,Bach,lh,0,0,415,1,0.431
8731,BWV873_Fugue,Bach,rh,4,4,862,20,13.552
8731,BWV873_Fugue,Bach,lh,4,4,603,10,2.308
8740,BWV874_Prelude,Bach,rh,2,2,930,10,8.945
8740,BWV874_Prelude,Bach,lh,2,2,620,5,3.591
8741,BWV874_Fugue,Bach,rh,2,2,495,4,2.293
8741,BWV874_Fugue,Bach,lh,2,2,471,3,1.693
8750,BWV875_Prelude,Bach,rh,-1,-1,581,2,0.939
8750,BWV875_Prelude,Bach,lh,-1,-1,510,0,0.899
8751,BWV875_Fugue,Bach,rh,-1,-1,487,25,34.206
8751,BWV875_Fugue,Bach,lh,-1,-1,344,9,4.001
8760,BWV876_Prelude,Bach,rh,-3,-3,561,2,1.7
8760,BWV876_Prelude,Bach,lh,-3,-3,384,1,0.548
8761,BWV876_Fugue,Bach,rh,-3,-3,377,0,0.563
8761,BWV876_Fugue,Bach,lh,-3,-3,373,1,0.452
8800,BWV880_Prelude,Bach,rh,-1,-1,799,4,3.432
8800,BWV880_Prelude,Bach,lh,-1,-1,677,7,1.748
8801,BWV880_Fugue,Bach,rh,-1,-1,688,6,2.187
8801,BWV880_Fugue,Bach,lh,-1,-1,416,7,0.373
8830,BWV883_Prelude,Bach,rh,3,4,524,11,3.302
8830,BWV883_Prelude,Bach,lh,3,3,414,4,1.497
8831,BWV883_Fugue,Bach,rh,3,3,809,5,12.875
8831,BWV883_Fugue,Bach,lh,3,3,688,9,3.599
8840,BWV884_Prelude,Bach,rh,1,1,484,2,0.904
8840,BWV884_Prelude,Bach,lh,1,1,422,4,0.484
8841,BWV884_Fugue,Bach,rh,1,1,421,0,0.434
8841,BWV884_Fugue,Bach,lh,1,1,321,5,0.259
8850,BWV885_Prelude,Bach,rh,-2,-2,355,8,4.063
8850,BWV885_Prelude,Bach,lh,-2,-2,237,3,1.448
8851,BWV885_Fugue,Bach,rh,-2,-2,884,5,3.983
8851,BWV885_Fugue,Bach,lh,-2,-2,851,7,3.463
8870,BWV887_Prelude,Bach,rh,5,6,672,76,7.682
8870,BWV887_Prelude,Bach,lh,5,-4,646,553,3.43
8871,BWV887_Fugue,Bach,rh,5,5,1045,69,2.542
8871,BWV887_Fugue,Bach,lh,5,5,647,62,0.725
8880,BWV888_Prelude,Bach,rh,3,3,502,3,3.222
8880,BWV888_Prelude,Bach,lh,3,3,276,1,0.612
8881,BWV888_Fugue,Bach,rh,3,3,467,7,7.305
8881,BWV888_Fugue,Bach,lh,3,3,337,4,1.0
8890,BWV889_Prelude,Bach,rh,0,0,441,34,18.988
8890,BWV889_Prelude,Bach,lh,0,0,407,37,15.824
8891,BWV889_Fugue,Bach,rh,0,0,396,5,12.841
8891,BWV889_Fugue,Bach,lh,0,0,366,3,1.911
8910,BWV891_Prelude,Bach,rh,-5,-5,730,20,2.224
8910,BWV891_Prelude,Bach,lh,-5,7,498,451,0.538
8911,BWV891_Fugue,Bach,rh,-5,-4,950,33,3.793
8911,BWV891_Fugue,Bach,lh,-5,-4,879,24,3.719
8920,BWV892_Prelude,Bach,rh,5,5,589,12,2.216
8920,BWV892_Prelude,Bach,lh,5,5,476,18,1.454
8921,BWV892_Fugue,Bach,rh,5,5,764,13,1.519
8921,BWV892_Fugue,Bach,lh,5,5,702,12,1.072
8930,BWV893_Prelude,Bach,rh,2,2,553,4,0.752
8930,BWV893_Prelude,Bach,lh,2,2,364,4,0.36
8931,BWV893_Fugue,Bach,rh,2,2,575,5,0.79
8931,BWV893_Fugue,Bach,lh,2,2,466,8,0.441
