id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.070
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,10,0.044
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,2,0.912
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.338
8480,BWV848_Prelude,Bach,rh,(7),b- minor (-5),397,364,0.084
8480,BWV848_Prelude,Bach,lh,(7),b- minor (-5),425,358,0.093
8481,BWV848_Fugue,Bach,rh,(7),b- minor (-5),866,649,2.017
8481,BWV848_Fugue,Bach,lh,(7),b- minor (-5),623,365,0.926
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,2,0.381
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,1,0.268
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.341
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,1,0.328
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,0.389
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,1,0.093
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,0.858
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,4,0.366
8580,BWV858_Prelude,Bach,rh,F# major (6),e- minor (-6),293,159,0.270
8580,BWV858_Prelude,Bach,lh,F# major (6),e- minor (-6),169,123,0.067
8581,BWV858_Fugue,Bach,rh,(6),e- minor (-6),583,422,1.256
8581,BWV858_Fugue,Bach,lh,(6),e- minor (-6),370,308,0.354
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,0,0.579
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,8,0.221
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,1.581
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,1,0.813
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.275
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.164
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.849
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.751
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,1,0.360
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,3,0.207
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,96,0.794
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,46,0.363
8640,BWV864_Prelude,Bach,rh,,f# minor (3),361,1,0.968
8640,BWV864_Prelude,Bach,lh,,f# minor (3),280,0,0.403
8641,BWV864_Fugue,Bach,rh,,f# minor (3),813,0,1.977
8641,BWV864_Fugue,Bach,lh,,f# minor (3),487,0,0.529
8650,BWV865_Prelude,Bach,rh,,a minor (0),402,0,0.904
8650,BWV865_Prelude,Bach,lh,,a minor (0),246,0,0.133
8651,BWV865_Fugue,Bach,rh,,a minor (0),1408,5,3.750
8651,BWV865_Fugue,Bach,lh,,a minor (0),1140,1,1.946
8660,BWV866_Prelude,Bach,rh,,g minor (-2),317,0,2.926
8660,BWV866_Prelude,Bach,lh,,g minor (-2),321,2,10.615
8661,BWV866_Fugue,Bach,rh,,g minor (-2),573,1,0.505
8661,BWV866_Fugue,Bach,lh,,g minor (-2),395,0,0.285
8670,BWV867_Prelude,Bach,rh,,b- minor (-5),528,3,2.519
8670,BWV867_Prelude,Bach,lh,,b- minor (-5),279,0,0.395
8671,BWV867_Fugue,Bach,rh,,b- minor (-5),536,53,0.455
8671,BWV867_Fugue,Bach,lh,,b- minor (-5),291,46,0.142
8680,BWV868_Prelude,Bach,rh,,g# minor (5),260,0,0.355
8680,BWV868_Prelude,Bach,lh,,g# minor (5),180,0,0.117
8681,BWV868_Fugue,Bach,rh,,g# minor (5),466,3,0.789
8681,BWV868_Fugue,Bach,lh,,B major (5),442,0,0.444
8700,BWV870_Prelude,Bach,rh,(0),d minor (-1),584,8,2.653
8700,BWV870_Prelude,Bach,lh,,a minor (0),410,3,0.629
8701,BWV870_Fugue,Bach,rh,,a minor (0),682,3,0.482
8701,BWV870_Fugue,Bach,lh,,a minor (0),415,0,0.194
8731,BWV873_Fugue,Bach,rh,,c# minor (4),862,41,1.745
8731,BWV873_Fugue,Bach,lh,,c# minor (4),603,32,0.613
8740,BWV874_Prelude,Bach,rh,,b minor (2),930,0,1.994
8740,BWV874_Prelude,Bach,lh,,b minor (2),620,1,1.004
8741,BWV874_Fugue,Bach,rh,,b minor (2),495,1,0.626
8741,BWV874_Fugue,Bach,lh,,b minor (2),471,0,0.467
8750,BWV875_Prelude,Bach,rh,,d minor (-1),581,3,0.351
8750,BWV875_Prelude,Bach,lh,,d minor (-1),510,15,0.247
8751,BWV875_Fugue,Bach,rh,,d minor (-1),487,6,2.631
8751,BWV875_Fugue,Bach,lh,,d minor (-1),344,1,1.011
8760,BWV876_Prelude,Bach,rh,,c minor (-3),561,4,0.485
8760,BWV876_Prelude,Bach,lh,,c minor (-3),384,1,0.148
8761,BWV876_Fugue,Bach,rh,,c minor (-3),377,0,0.184
8761,BWV876_Fugue,Bach,lh,,E- major (-3),373,0,0.160
8800,BWV880_Prelude,Bach,rh,,d minor (-1),799,0,0.963
8800,BWV880_Prelude,Bach,lh,,d minor (-1),677,2,0.626
8801,BWV880_Fugue,Bach,rh,,d minor (-1),688,5,0.416
8801,BWV880_Fugue,Bach,lh,,d minor (-1),416,6,0.140
8830,BWV883_Prelude,Bach,rh,,f# minor (3),524,3,0.493
8830,BWV883_Prelude,Bach,lh,,f# minor (3),414,8,0.325
8831,BWV883_Fugue,Bach,rh,,f# minor (3),809,2,1.800
8831,BWV883_Fugue,Bach,lh,,f# minor (3),688,1,0.791
8840,BWV884_Prelude,Bach,rh,,e minor (1),484,2,0.305
8840,BWV884_Prelude,Bach,lh,,e minor (1),422,0,0.184
8841,BWV884_Fugue,Bach,rh,,e minor (1),421,0,0.152
8841,BWV884_Fugue,Bach,lh,,e minor (1),321,8,0.110
8850,BWV885_Prelude,Bach,rh,,g minor (-2),355,3,1.006
8850,BWV885_Prelude,Bach,lh,,g minor (-2),237,0,0.586
8851,BWV885_Fugue,Bach,rh,,g minor (-2),884,3,1.236
8851,BWV885_Fugue,Bach,lh,,g minor (-2),851,6,1.041
8870,BWV887_Prelude,Bach,rh,,g# minor (5),672,92,1.211
8870,BWV887_Prelude,Bach,lh,(5),e- minor (-6),646,406,0.842
8871,BWV887_Fugue,Bach,rh,,g# minor (5),1045,108,0.712
8871,BWV887_Fugue,Bach,lh,,g# minor (5),647,118,0.249
8880,BWV888_Prelude,Bach,rh,,f# minor (3),502,1,1.039
8880,BWV888_Prelude,Bach,lh,,f# minor (3),276,0,0.164
8881,BWV888_Fugue,Bach,rh,,f# minor (3),467,0,1.659
8881,BWV888_Fugue,Bach,lh,,f# minor (3),337,2,0.401
8890,BWV889_Prelude,Bach,rh,,a minor (0),441,13,2.053
8890,BWV889_Prelude,Bach,lh,,a minor (0),407,10,1.790
8891,BWV889_Fugue,Bach,rh,,a minor (0),396,2,1.139
8891,BWV889_Fugue,Bach,lh,,a minor (0),366,1,0.614
8910,BWV891_Prelude,Bach,rh,,b- minor (-5),730,1,0.652
8910,BWV891_Prelude,Bach,lh,,b- minor (-5),498,13,0.219
8911,BWV891_Fugue,Bach,rh,,b- minor (-5),950,66,1.206
8911,BWV891_Fugue,Bach,lh,,b- minor (-5),879,45,0.963
8920,BWV892_Prelude,Bach,rh,,g# minor (5),589,37,0.551
8920,BWV892_Prelude,Bach,lh,,g# minor (5),476,35,0.383
8921,BWV892_Fugue,Bach,rh,,g# minor (5),764,8,0.509
8921,BWV892_Fugue,Bach,lh,,g# minor (5),702,36,0.405
8930,BWV893_Prelude,Bach,rh,,b minor (2),553,0,0.263
8930,BWV893_Prelude,Bach,lh,,b minor (2),364,0,0.117
8931,BWV893_Fugue,Bach,rh,,b minor (2),575,3,0.265
8931,BWV893_Fugue,Bach,lh,,b minor (2),466,0,0.156
