id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.084
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,6,0.056
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,2,1.707
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.470
8480,BWV848_Prelude,Bach,rh,(7),b- minor (-5),397,14,0.094
8480,BWV848_Prelude,Bach,lh,(7),b- minor (-5),425,25,0.098
8481,BWV848_Fugue,Bach,rh,(7),D- major (-5),866,47,2.098
8481,BWV848_Fugue,Bach,lh,(7),b- minor (-5),623,49,0.950
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,2,0.428
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,1,0.294
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.445
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,1,0.346
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,0.590
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,1,0.117
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,0.935
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,1,0.402
8580,BWV858_Prelude,Bach,rh,F# major (6),e- minor (-6),293,10,0.272
8580,BWV858_Prelude,Bach,lh,F# major (6),e- minor (-6),169,3,0.066
8581,BWV858_Fugue,Bach,rh,(6),e- minor (-6),583,1,1.242
8581,BWV858_Fugue,Bach,lh,(6),e- minor (-6),370,2,0.361
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,0,0.958
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,0,0.304
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,2.543
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,3,1.157
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.295
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.180
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.854
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.782
