id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.088
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,0,0.059
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,2,1.737
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.486
8480,BWV848_Prelude,Bach,rh,,a# minor (7),397,0,0.107
8480,BWV848_Prelude,Bach,lh,,a# minor (7),425,12,0.115
8481,BWV848_Fugue,Bach,rh,,a# minor (7),866,30,2.286
8481,BWV848_Fugue,Bach,lh,,a# minor (7),623,16,1.077
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,4,0.492
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,2,0.328
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.626
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,1,0.403
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,0.609
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,2,0.123
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,1.007
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,0,0.420
8580,BWV858_Prelude,Bach,rh,,d# minor (6),293,6,0.307
8580,BWV858_Prelude,Bach,lh,,d# minor (6),169,0,0.085
8581,BWV858_Fugue,Bach,rh,,d# minor (6),583,0,2.145
8581,BWV858_Fugue,Bach,lh,,d# minor (6),370,2,0.461
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,8,0.961
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,8,0.308
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,2.560
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,1,1.186
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.323
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.202
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.948
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.801
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,2,0.487
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,4,0.294
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,10,1.009
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,6,0.459
8640,BWV864_Prelude,Bach,rh,,f# minor (3),361,1,1.279
8640,BWV864_Prelude,Bach,lh,,f# minor (3),280,0,0.519
8641,BWV864_Fugue,Bach,rh,,f# minor (3),813,0,2.610
8641,BWV864_Fugue,Bach,lh,,f# minor (3),487,0,0.731
8650,BWV865_Prelude,Bach,rh,,a minor (0),402,1,1.635
8650,BWV865_Prelude,Bach,lh,,a minor (0),246,0,0.195
8651,BWV865_Fugue,Bach,rh,,a minor (0),1408,2,5.365
8651,BWV865_Fugue,Bach,lh,,a minor (0),1140,3,3.206
8660,BWV866_Prelude,Bach,rh,,g minor (-2),317,4,3.400
8660,BWV866_Prelude,Bach,lh,,g minor (-2),321,2,11.811
8661,BWV866_Fugue,Bach,rh,,g minor (-2),573,0,0.612
8661,BWV866_Fugue,Bach,lh,,g minor (-2),395,0,0.341
8670,BWV867_Prelude,Bach,rh,,b- minor (-5),528,1,2.741
8670,BWV867_Prelude,Bach,lh,,b- minor (-5),279,0,0.506
8671,BWV867_Fugue,Bach,rh,,b- minor (-5),536,2,0.545
8671,BWV867_Fugue,Bach,lh,,b- minor (-5),291,2,0.169
8680,BWV868_Prelude,Bach,rh,,g# minor (5),260,0,0.480
8680,BWV868_Prelude,Bach,lh,,g# minor (5),180,0,0.152
8681,BWV868_Fugue,Bach,rh,,g# minor (5),466,2,1.063
8681,BWV868_Fugue,Bach,lh,,B major (5),442,1,0.620
8700,BWV870_Prelude,Bach,rh,(0),d minor (-1),584,7,3.923
8700,BWV870_Prelude,Bach,lh,,a minor (0),410,5,0.924
8701,BWV870_Fugue,Bach,rh,,a minor (0),682,4,0.714
8701,BWV870_Fugue,Bach,lh,,a minor (0),415,1,0.292
8731,BWV873_Fugue,Bach,rh,,c# minor (4),862,12,2.296
8731,BWV873_Fugue,Bach,lh,,c# minor (4),603,8,0.734
8740,BWV874_Prelude,Bach,rh,,b minor (2),930,2,3.453
8740,BWV874_Prelude,Bach,lh,,b minor (2),620,4,1.464
8741,BWV874_Fugue,Bach,rh,,b minor (2),495,1,0.854
8741,BWV874_Fugue,Bach,lh,,b minor (2),471,1,0.649
8750,BWV875_Prelude,Bach,rh,,d minor (-1),581,11,0.452
8750,BWV875_Prelude,Bach,lh,,d minor (-1),510,1,0.346
8751,BWV875_Fugue,Bach,rh,,d minor (-1),487,7,3.610
8751,BWV875_Fugue,Bach,lh,,d minor (-1),344,1,1.258
8760,BWV876_Prelude,Bach,rh,,c minor (-3),561,7,0.595
8760,BWV876_Prelude,Bach,lh,,c minor (-3),384,3,0.193
8761,BWV876_Fugue,Bach,rh,,c minor (-3),377,0,0.231
8761,BWV876_Fugue,Bach,lh,,c minor (-3),373,0,0.208
8800,BWV880_Prelude,Bach,rh,,d minor (-1),799,3,1.264
8800,BWV880_Prelude,Bach,lh,,d minor (-1),677,4,0.909
8801,BWV880_Fugue,Bach,rh,,d minor (-1),688,6,0.550
8801,BWV880_Fugue,Bach,lh,,d minor (-1),416,5,0.175
8830,BWV883_Prelude,Bach,rh,,f# minor (3),524,4,0.662
8830,BWV883_Prelude,Bach,lh,,f# minor (3),414,1,0.418
8831,BWV883_Fugue,Bach,rh,,f# minor (3),809,2,2.239
8831,BWV883_Fugue,Bach,lh,,f# minor (3),688,2,1.084
8840,BWV884_Prelude,Bach,rh,,e minor (1),484,1,0.433
8840,BWV884_Prelude,Bach,lh,,e minor (1),422,1,0.266
8841,BWV884_Fugue,Bach,rh,,e minor (1),421,0,0.207
8841,BWV884_Fugue,Bach,lh,,e minor (1),321,5,0.154
8850,BWV885_Prelude,Bach,rh,,g minor (-2),355,4,1.282
8850,BWV885_Prelude,Bach,lh,,g minor (-2),237,0,0.778
8851,BWV885_Fugue,Bach,rh,,g minor (-2),884,2,1.524
8851,BWV885_Fugue,Bach,lh,,g minor (-2),851,5,1.370
8870,BWV887_Prelude,Bach,rh,,g# minor (5),672,17,1.614
8870,BWV887_Prelude,Bach,lh,,g# minor (5),646,17,1.118
8871,BWV887_Fugue,Bach,rh,,g# minor (5),1045,15,0.918
8871,BWV887_Fugue,Bach,lh,,g# minor (5),647,13,0.336
8880,BWV888_Prelude,Bach,rh,,f# minor (3),502,1,1.388
8880,BWV888_Prelude,Bach,lh,,f# minor (3),276,0,0.221
8881,BWV888_Fugue,Bach,rh,,f# minor (3),467,0,2.107
8881,BWV888_Fugue,Bach,lh,,f# minor (3),337,0,0.498
8890,BWV889_Prelude,Bach,rh,,a minor (0),441,16,3.263
8890,BWV889_Prelude,Bach,lh,,a minor (0),407,14,2.973
8891,BWV889_Fugue,Bach,rh,,a minor (0),396,1,2.439
8891,BWV889_Fugue,Bach,lh,,a minor (0),366,0,0.906
8910,BWV891_Prelude,Bach,rh,,b- minor (-5),730,1,0.779
8910,BWV891_Prelude,Bach,lh,,b- minor (-5),498,1,0.283
8911,BWV891_Fugue,Bach,rh,,b- minor (-5),950,7,1.422
8911,BWV891_Fugue,Bach,lh,,b- minor (-5),879,6,1.189
8920,BWV892_Prelude,Bach,rh,,g# minor (5),589,7,0.726
8920,BWV892_Prelude,Bach,lh,,g# minor (5),476,6,0.538
8921,BWV892_Fugue,Bach,rh,,g# minor (5),764,7,0.686
8921,BWV892_Fugue,Bach,lh,,g# minor (5),702,4,0.535
8930,BWV893_Prelude,Bach,rh,,b minor (2),553,1,0.366
8930,BWV893_Prelude,Bach,lh,,b minor (2),364,1,0.153
8931,BWV893_Fugue,Bach,rh,,b minor (2),575,3,0.338
8931,BWV893_Fugue,Bach,lh,,b minor (2),466,0,0.205
