id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.087
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,6,0.058
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,3,1.726
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.479
8480,BWV848_Prelude,Bach,rh,,a# minor (7),397,0,0.099
8480,BWV848_Prelude,Bach,lh,,a# minor (7),425,12,0.105
8481,BWV848_Fugue,Bach,rh,,a# minor (7),866,30,2.060
8481,BWV848_Fugue,Bach,lh,,a# minor (7),623,16,0.928
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,4,0.421
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,2,0.290
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.428
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,1,0.346
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,0.605
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,2,0.122
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,0.919
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,0,0.398
8580,BWV858_Prelude,Bach,rh,,d# minor (6),293,6,0.271
8580,BWV858_Prelude,Bach,lh,,d# minor (6),169,0,0.067
8581,BWV858_Fugue,Bach,rh,,d# minor (6),583,0,1.192
8581,BWV858_Fugue,Bach,lh,,d# minor (6),370,2,0.365
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,8,0.947
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,8,0.300
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,2.526
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,1,1.158
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.294
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.181
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.851
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.768
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,2,0.369
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,4,0.220
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,10,0.807
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,6,0.377
8640,BWV864_Prelude,Bach,rh,,f# minor (3),361,1,1.203
8640,BWV864_Prelude,Bach,lh,,f# minor (3),280,0,0.500
8641,BWV864_Fugue,Bach,rh,,f# minor (3),813,0,2.401
8641,BWV864_Fugue,Bach,lh,,f# minor (3),487,0,0.682
8650,BWV865_Prelude,Bach,rh,,a minor (0),402,2,1.625
8650,BWV865_Prelude,Bach,lh,,a minor (0),246,0,0.190
8651,BWV865_Fugue,Bach,rh,,a minor (0),1408,6,5.260
8651,BWV865_Fugue,Bach,lh,,a minor (0),1140,6,3.127
8660,BWV866_Prelude,Bach,rh,,g minor (-2),317,4,2.932
8660,BWV866_Prelude,Bach,lh,,g minor (-2),321,2,11.791
8661,BWV866_Fugue,Bach,rh,,g minor (-2),573,0,0.602
8661,BWV866_Fugue,Bach,lh,,g minor (-2),395,0,0.332
8670,BWV867_Prelude,Bach,rh,,b- minor (-5),528,1,2.664
