id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.086
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,6,0.057
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,3,1.700
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,2,0.469
8480,BWV848_Prelude,Bach,rh,,a# minor (7),397,2,0.097
8480,BWV848_Prelude,Bach,lh,,a# minor (7),425,17,0.105
8481,BWV848_Fugue,Bach,rh,,a# minor (7),866,41,2.049
8481,BWV848_Fugue,Bach,lh,,a# minor (7),623,20,0.928
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,6,0.423
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,2,0.288
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.428
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,1,0.345
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,0.603
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,2,0.122
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,0.922
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,0,0.401
8580,BWV858_Prelude,Bach,rh,,d# minor (6),293,6,0.271
8580,BWV858_Prelude,Bach,lh,,d# minor (6),169,0,0.068
8581,BWV858_Fugue,Bach,rh,,d# minor (6),583,0,1.208
8581,BWV858_Fugue,Bach,lh,,d# minor (6),370,3,0.366
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,8,0.950
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,8,0.300
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,2.517
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,1,1.164
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.296
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.181
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.848
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.768
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,6,0.366
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,7,0.220
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,12,0.813
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,6,0.387
