id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.087
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,6,0.059
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,3,1.742
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.489
8480,BWV848_Prelude,Bach,rh,,a# minor (7),397,12,0.097
8480,BWV848_Prelude,Bach,lh,,a# minor (7),425,19,0.103
8481,BWV848_Fugue,Bach,rh,,a# minor (7),866,64,2.095
8481,BWV848_Fugue,Bach,lh,,a# minor (7),623,50,0.958
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,5,0.434
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,1,0.300
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.455
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,0,0.353
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,1,0.605
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,1,0.122
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,0.933
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,0,0.403
8580,BWV858_Prelude,Bach,rh,,d# minor (6),293,2,0.280
8580,BWV858_Prelude,Bach,lh,,d# minor (6),169,0,0.070
8581,BWV858_Fugue,Bach,rh,,d# minor (6),583,0,1.216
8581,BWV858_Fugue,Bach,lh,,d# minor (6),370,1,0.367
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,0,0.969
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,0,0.306
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,2.558
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,3,1.178
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.299
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.182
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,0.862
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,0.779
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,2,0.377
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,3,0.225
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,10,0.833
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,23,0.394
8640,BWV864_Prelude,Bach,rh,,f# minor (3),361,1,1.238
8640,BWV864_Prelude,Bach,lh,,f# minor (3),280,0,0.498
8641,BWV864_Fugue,Bach,rh,,f# minor (3),813,0,2.455
8641,BWV864_Fugue,Bach,lh,,f# minor (3),487,0,0.705
8650,BWV865_Prelude,Bach,rh,,a minor (0),402,1,1.645
8650,BWV865_Prelude,Bach,lh,,a minor (0),246,0,0.196
8651,BWV865_Fugue,Bach,rh,,a minor (0),1408,9,5.375
8651,BWV865_Fugue,Bach,lh,,a minor (0),1140,4,3.201
8660,BWV866_Prelude,Bach,rh,,g minor (-2),317,3,3.003
8660,BWV866_Prelude,Bach,lh,,g minor (-2),321,2,12.013
8661,BWV866_Fugue,Bach,rh,,g minor (-2),573,1,0.612
8661,BWV866_Fugue,Bach,lh,,g minor (-2),395,0,0.337
8670,BWV867_Prelude,Bach,rh,,b- minor (-5),528,1,2.782
8670,BWV867_Prelude,Bach,lh,,b- minor (-5),279,0,0.455
8671,BWV867_Fugue,Bach,rh,,b- minor (-5),536,2,0.502
8671,BWV867_Fugue,Bach,lh,,b- minor (-5),291,2,0.156
8680,BWV868_Prelude,Bach,rh,,g# minor (5),260,0,0.396
8680,BWV868_Prelude,Bach,lh,,g# minor (5),180,0,0.126
8681,BWV868_Fugue,Bach,rh,,g# minor (5),466,3,0.849
8681,BWV868_Fugue,Bach,lh,,B major (5),442,1,0.480
8700,BWV870_Prelude,Bach,rh,(0),d minor (-1),584,9,3.823
8700,BWV870_Prelude,Bach,lh,,a minor (0),410,5,0.923
8701,BWV870_Fugue,Bach,rh,,a minor (0),682,1,0.715
8701,BWV870_Fugue,Bach,lh,,a minor (0),415,0,0.291
8731,BWV873_Fugue,Bach,rh,,c# minor (4),862,17,1.910
8731,BWV873_Fugue,Bach,lh,,c# minor (4),603,8,0.658
8740,BWV874_Prelude,Bach,rh,,b minor (2),930,0,3.413
8740,BWV874_Prelude,Bach,lh,,b minor (2),620,4,1.460
8741,BWV874_Fugue,Bach,rh,,b minor (2),495,0,0.857
8741,BWV874_Fugue,Bach,lh,,b minor (2),471,0,0.639
8750,BWV875_Prelude,Bach,rh,,d minor (-1),581,2,0.449
8750,BWV875_Prelude,Bach,lh,,d minor (-1),510,0,0.339
8751,BWV875_Fugue,Bach,rh,,d minor (-1),487,13,3.568
8751,BWV875_Fugue,Bach,lh,,d minor (-1),344,1,1.271
8760,BWV876_Prelude,Bach,rh,,c minor (-3),561,4,0.635
8760,BWV876_Prelude,Bach,lh,,c minor (-3),384,1,0.174
8761,BWV876_Fugue,Bach,rh,,c minor (-3),377,0,0.224
8761,BWV876_Fugue,Bach,lh,,E- major (-3),373,0,0.196
8800,BWV880_Prelude,Bach,rh,,d minor (-1),799,1,1.275
8800,BWV880_Prelude,Bach,lh,,d minor (-1),677,1,0.920
8801,BWV880_Fugue,Bach,rh,,d minor (-1),688,6,0.543
8801,BWV880_Fugue,Bach,lh,,d minor (-1),416,8,0.175
8830,BWV883_Prelude,Bach,rh,,f# minor (3),524,4,0.586
8830,BWV883_Prelude,Bach,lh,,f# minor (3),414,2,0.405
8831,BWV883_Fugue,Bach,rh,,f# minor (3),809,2,2.068
8831,BWV883_Fugue,Bach,lh,,f# minor (3),688,1,1.016
8840,BWV884_Prelude,Bach,rh,,e minor (1),484,2,0.430
8840,BWV884_Prelude,Bach,lh,,e minor (1),422,0,0.263
8841,BWV884_Fugue,Bach,rh,,e minor (1),421,0,0.204
8841,BWV884_Fugue,Bach,lh,,e minor (1),321,5,0.152
8850,BWV885_Prelude,Bach,rh,,g minor (-2),355,5,1.255
8850,BWV885_Prelude,Bach,lh,,g minor (-2),237,0,0.771
8851,BWV885_Fugue,Bach,rh,,g minor (-2),884,2,1.522
8851,BWV885_Fugue,Bach,lh,,g minor (-2),851,4,1.397
8870,BWV887_Prelude,Bach,rh,,g# minor (5),672,32,1.386
8870,BWV887_Prelude,Bach,lh,,g# minor (5),646,64,0.938
8871,BWV887_Fugue,Bach,rh,,g# minor (5),1045,55,0.816
8871,BWV887_Fugue,Bach,lh,,g# minor (5),647,64,0.293
8880,BWV888_Prelude,Bach,rh,,f# minor (3),502,1,1.345
8880,BWV888_Prelude,Bach,lh,,f# minor (3),276,0,0.210
8881,BWV888_Fugue,Bach,rh,,f# minor (3),467,0,2.046
8881,BWV888_Fugue,Bach,lh,,f# minor (3),337,0,0.481
8890,BWV889_Prelude,Bach,rh,,a minor (0),441,14,3.255
8890,BWV889_Prelude,Bach,lh,,a minor (0),407,11,2.834
8891,BWV889_Fugue,Bach,rh,,a minor (0),396,2,2.422
8891,BWV889_Fugue,Bach,lh,,a minor (0),366,1,0.906
8910,BWV891_Prelude,Bach,rh,,b- minor (-5),730,1,0.745
8910,BWV891_Prelude,Bach,lh,,b- minor (-5),498,3,0.250
8911,BWV891_Fugue,Bach,rh,,b- minor (-5),950,8,1.340
8911,BWV891_Fugue,Bach,lh,,b- minor (-5),879,8,1.147
8920,BWV892_Prelude,Bach,rh,,g# minor (5),589,15,0.589
8920,BWV892_Prelude,Bach,lh,,g# minor (5),476,11,0.430
8921,BWV892_Fugue,Bach,rh,,g# minor (5),764,7,0.579
8921,BWV892_Fugue,Bach,lh,,g# minor (5),702,12,0.454
8930,BWV893_Prelude,Bach,rh,,b minor (2),553,0,0.353
8930,BWV893_Prelude,Bach,lh,,b minor (2),364,0,0.153
8931,BWV893_Fugue,Bach,rh,,b minor (2),575,2,0.333
8931,BWV893_Fugue,Bach,lh,,b minor (2),466,0,0.197
