id,title,composer,part,KSgt,KSest,notes,err,time
8460,BWV846_Prelude,Bach,rh,,C major (0),408,0,0.096
8460,BWV846_Prelude,Bach,lh,,a minor (0),211,6,0.074
8461,BWV846_Fugue,Bach,rh,,a minor (0),487,3,2.544
8461,BWV846_Fugue,Bach,lh,,a minor (0),315,3,0.813
8480,BWV848_Prelude,Bach,rh,,a# minor (7),397,0,0.110
8480,BWV848_Prelude,Bach,lh,,a# minor (7),425,12,0.114
8481,BWV848_Fugue,Bach,rh,,a# minor (7),866,29,2.519
8481,BWV848_Fugue,Bach,lh,,a# minor (7),623,16,1.350
8540,BWV854_Prelude,Bach,rh,,c# minor (4),287,4,0.643
8540,BWV854_Prelude,Bach,lh,,c# minor (4),221,3,0.432
8541,BWV854_Fugue,Bach,rh,,c# minor (4),475,0,1.801
8541,BWV854_Fugue,Bach,lh,,c# minor (4),287,0,0.438
8561,BWV856_Fugue,Bach,rh,,d minor (-1),481,0,1.223
8561,BWV856_Fugue,Bach,lh,,d minor (-1),313,2,0.154
8570,BWV857_Prelude,Bach,rh,,f minor (-4),394,1,1.491
8570,BWV857_Prelude,Bach,lh,,f minor (-4),249,0,0.589
8580,BWV858_Prelude,Bach,rh,,d# minor (6),293,5,0.465
8580,BWV858_Prelude,Bach,lh,,d# minor (6),169,0,0.088
8581,BWV858_Fugue,Bach,rh,,d# minor (6),583,0,2.158
8581,BWV858_Fugue,Bach,lh,,d# minor (6),370,1,0.654
8600,BWV860_Prelude,Bach,rh,,e minor (1),335,8,2.104
8600,BWV860_Prelude,Bach,lh,,e minor (1),275,8,0.713
8601,BWV860_Fugue,Bach,rh,,e minor (1),1124,2,4.156
8601,BWV860_Fugue,Bach,lh,,e minor (1),705,1,2.147
8620,BWV862_Prelude,Bach,rh,,A- major (-4),381,0,0.428
8620,BWV862_Prelude,Bach,lh,,A- major (-4),314,0,0.248
8621,BWV862_Fugue,Bach,rh,,f minor (-4),477,0,1.298
8621,BWV862_Fugue,Bach,lh,,f minor (-4),455,0,1.094
8630,BWV863_Prelude,Bach,rh,,g# minor (5),344,2,0.545
8630,BWV863_Prelude,Bach,lh,,g# minor (5),267,4,0.326
8631,BWV863_Fugue,Bach,rh,,g# minor (5),473,9,1.284
8631,BWV863_Fugue,Bach,lh,,g# minor (5),374,6,0.568
8640,BWV864_Prelude,Bach,rh,,f# minor (3),361,1,1.841
8640,BWV864_Prelude,Bach,lh,,f# minor (3),280,0,0.684
8641,BWV864_Fugue,Bach,rh,,f# minor (3),813,0,3.348
