id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,,A major (3),70,0,0.026
102,102-Beethoven-quatuor16op135,,,D- major (-5),96,0,0.024
103,103-SaintSaens-elephant,,,E- major (-3),57,0,0.015
104,104-Haendel-concertogrosso4op6,,,a minor (0),81,0,0.027
105,105-Schubert-gloria,,,D major (2),67,0,0.014
106,106-Bach-polonaise,,,G major (1),127,0,0.061
107,107-Wolf-chantEspagnol8,,D major (2),G major (1),85,1,0.025
108,108-Beethoven-quatuor13op130,,,G major (1),61,0,0.013
109,109-Kuhlau-sonatineop60n1,,F major (-1),a minor (0),90,0,0.035
110,110-Haendel-concertogrosso3,,,G major (1),86,0,0.019
111,111-Mozart-sonateKV570,,(-2),c minor (-3),98,2,0.099
112,112-Haydn-fantasia,,,C major (0),68,0,0.026
113,113-Gretchaninoff-retour,,,G major (1),89,0,0.024
114,114-Clementi-rondoSonateop25,,,G major (1),86,0,0.026
115,115-Clementi-sonatineop36n1,,(0),G major (1),91,0,0.037
117,117-Schumann-trio2,,,b- minor (-5),72,0,0.016
118,118-Greensleeves,,,g minor (-2),75,0,0.020
119,119-Mendelssohn-romances31op67,,,E- major (-3),74,0,0.043
120,120-Bach-gavotte,,,e minor (1),130,0,0.042
121,121-Beethoven-adagioSonate1op2,,,F major (-1),51,1,0.023
122,122-pop,,,C major (0),58,0,0.014
123,123-Mozart-Canzonetta,,,b minor (2),60,0,0.015
124,124-Schubert-quatuor13op29,,,C major (0),82,3,0.024
125,125-Wolf-melodie5,,A major (3),D major (2),66,1,0.016
126,126-Milhaud-suiteProvencale,,C major (0),D major (2),61,0,0.015
127,127-Lemoine-etude38,,C major (0),e minor (1),93,0,0.024
128,128-Wolf-melodiesItalienne26,,,E- major (-3),94,5,0.033
129,129-Mozart-sonateKV331,,,A major (3),60,0,0.016
130,130-Haendel-concertogrosso10,,,d minor (-1),85,0,0.040
131,131-negrospiritual,,,G major (1),73,0,0.027
132,132-Bach-Brandegourgeois4,,,G major (1),108,0,0.025
133,133-Mozart-KV282,,,E- major (-3),107,2,0.037
134,134-Purcell-gigue,,,a minor (0),81,0,0.026
135,135-Schumann-concertola,,,F major (-1),66,0,0.025
136,136-Schumann-Myrten25op25,,,E- major (-3),77,2,0.017
138,138-Wolf-melodie1,,(3),D major (2),90,4,0.026
140,140-Clementi-sonate3op25,,B- major (-2),F major (-1),112,1,0.047
141,141-Puig-Roget,,,C major (0),67,0,0.019
142,142-Wolf-chantsitaliens35,,,E- major (-3),77,2,0.023
143,143-Wolf-melodiesespagnoles1,,,F major (-1),91,9,0.024
144,144-Wolf-melodiesespagnoles13,,,D major (2),67,0,0.014
145,145-Clementi-sonate3op25,,,B- major (-2),87,1,0.041
146,146-Clementi-sonatine2op35,,,G major (1),117,0,0.033
147,147-Beethoven-rondosonateop28,,,D major (2),56,0,0.016
148,148-Mozart-concertofluteKV314,,D major (2),G major (1),61,1,0.024
149,149-Wolf-melodiesespagnoles2,,,C major (0),91,1,0.020
151,151-Mozart-duettinoDonJuanI97,,,A major (3),70,0,0.015
152,152-Clementi-sonate5op36,,,C major (0),89,0,0.024
153,153-Wolf-chansonsItaliennes21,,F major (-1),a minor (0),90,0,0.035
154,154-Clementi-sonatine1op37,,,E- major (-3),83,0,0.057
155,155-CPEBach-ariavar2,,,A major (3),57,0,0.012
156,156-Haendel-hornpipeconcertogrosso7,,,B- major (-2),79,0,0.064
157,157-Wolf-melodiesitaliennes20,,,B- major (-2),96,1,0.021
158,158-Beethoven-quatuor1op18,,,F major (-1),94,0,0.073
159,159-Dussek-rondo,,,B- major (-2),141,0,0.042
160,160-Beethoven-trio2op70,,,C major (0),49,0,0.011
161,161-Rimsky-Korsakov-Scheherazade,,,G major (1),117,0,0.058
162,162-Chopin-nocturne1op32,,,B major (5),53,0,0.037
163,163-Beethoven-septuorop20,,,E- major (-3),61,1,0.024
164,164-Clementi-rondosonatine2op38,,,B- major (-2),53,0,0.015
165,165-Balbastre-pastorale,,,a minor (0),57,0,0.016
168,168-Beethoven-quatuor1op18,,F major (-1),f minor (-4),94,2,0.020
169,169-Wolf-chantsitaliens29,,C major (0),c minor (-3),93,19,0.038
171,171-Mozart-concertobasson,,,F major (-1),79,0,0.100
172,172-Beethoven-trio2op70,,,C major (0),65,0,0.019
173,173-Kuhlau-sonative1op60,,,F major (-1),132,0,0.059
174,174-negrospiritual,,C major (0),B- major (-2),69,0,0.027
177,177-Boulnois-berceuse,,C major (0),G major (1),84,2,0.029
178,178-Poulenc,,D major (2),A major (3),85,0,0.020
179,179-Clementi-canone33,,,C major (0),83,0,0.021
180,180-Haendel-concertogrosso9op6,,,F major (-1),58,0,0.016
201,201-Beethoven-variation1,,,G major (1),97,1,0.031
202,202-Bach-sarabande,,,d minor (-1),86,1,0.020
203,203-Listz-preludes,,,C major (0),113,4,0.046
