id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,0,0.060
102,102-Beethoven-quatuor16op135,,-5,-5,96,0,0.057
103,103-SaintSaens-elephant,,-3,-2,57,0,0.030
104,104-Haendel-concertogrosso4op6,,0,0,81,1,0.072
105,105-Schubert-gloria,,2,3,67,0,0.019
106,106-Bach-polonaise,,1,1,127,0,0.171
107,107-Wolf-chantEspagnol8,,2,2,85,0,0.060
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.026
109,109-Kuhlau-sonatineop60n1,,-1,0,90,1,0.135
110,110-Haendel-concertogrosso3,,1,1,86,0,0.038
111,111-Mozart-sonateKV570,,-2,-2,98,4,0.945
112,112-Haydn-fantasia,,0,0,68,1,0.068
113,113-Gretchaninoff-retour,,1,1,89,0,0.084
114,114-Clementi-rondoSonateop25,,1,1,86,0,0.086
115,115-Clementi-sonatineop36n1,,0,1,91,0,0.109
117,117-Schumann-trio2,,-5,-5,72,0,0.031
118,118-Greensleeves,,-2,-1,75,0,0.087
119,119-Mendelssohn-romances31op67,,-3,-3,74,1,0.201
120,120-Bach-gavotte,,1,1,130,0,0.105
121,121-Beethoven-adagioSonate1op2,,-1,-1,51,1,0.084
122,122-pop,,0,1,58,0,0.026
123,123-Mozart-Canzonetta,,2,2,60,1,0.031
124,124-Schubert-quatuor13op29,,0,0,82,0,0.061
125,125-Wolf-melodie5,,3,2,66,0,0.048
126,126-Milhaud-suiteProvencale,,0,3,61,0,0.031
127,127-Lemoine-etude38,,0,1,93,0,0.054
128,128-Wolf-melodiesItalienne26,,-3,-2,94,2,0.088
129,129-Mozart-sonateKV331,,3,3,60,0,0.039
130,130-Haendel-concertogrosso10,,-1,-1,85,0,0.120
131,131-negrospiritual,,1,2,73,0,0.115
132,132-Bach-Brandegourgeois4,,1,1,108,0,0.056
133,133-Mozart-KV282,,-3,-2,107,0,0.097
134,134-Purcell-gigue,,0,0,81,0,0.076
135,135-Schumann-concertola,,-1,-1,66,1,0.080
136,136-Schumann-Myrten25op25,,-3,-3,77,0,0.034
138,138-Wolf-melodie1,,3,3,90,1,0.074
140,140-Clementi-sonate3op25,,-2,-1,112,1,0.261
141,141-Puig-Roget,,0,0,67,0,0.058
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.068
143,143-Wolf-melodiesespagnoles1,,-1,-1,91,2,0.093
144,144-Wolf-melodiesespagnoles13,,2,2,67,1,0.031
145,145-Clementi-sonate3op25,,-2,-1,87,1,0.129
146,146-Clementi-sonatine2op35,,1,1,117,0,0.075
147,147-Beethoven-rondosonateop28,,2,2,56,0,0.042
148,148-Mozart-concertofluteKV314,,2,2,61,0,0.071
149,149-Wolf-melodiesespagnoles2,,0,0,91,3,0.038
151,151-Mozart-duettinoDonJuanI97,,3,3,70,0,0.034
152,152-Clementi-sonate5op36,,0,0,89,0,0.056
153,153-Wolf-chansonsItaliennes21,,-1,0,90,1,0.139
154,154-Clementi-sonatine1op37,,-3,-3,83,0,0.200
155,155-CPEBach-ariavar2,,3,3,57,0,0.039
156,156-Haendel-hornpipeconcertogrosso7,,-2,-1,79,0,0.241
157,157-Wolf-melodiesitaliennes20,,-2,-2,96,1,0.034
158,158-Beethoven-quatuor1op18,,-1,0,94,2,0.247
159,159-Dussek-rondo,,-2,-2,141,0,0.110
160,160-Beethoven-trio2op70,,0,0,49,0,0.021
161,161-Rimsky-Korsakov-Scheherazade,,1,1,117,0,0.185
162,162-Chopin-nocturne1op32,,5,-7,53,53,0.126
163,163-Beethoven-septuorop20,,-3,-3,61,0,0.079
164,164-Clementi-rondosonatine2op38,,-2,-2,53,0,0.035
165,165-Balbastre-pastorale,,0,0,57,0,0.042
168,168-Beethoven-quatuor1op18,,-1,-4,94,3,0.029
169,169-Wolf-chantsitaliens29,,0,0,93,7,0.095
171,171-Mozart-concertobasson,,-1,-1,79,1,0.406
172,172-Beethoven-trio2op70,,0,0,65,0,0.042
173,173-Kuhlau-sonative1op60,,-1,-1,132,1,0.236
174,174-negrospiritual,,0,0,69,0,0.057
177,177-Boulnois-berceuse,,0,1,84,2,0.095
178,178-Poulenc,,2,3,85,0,0.302
179,179-Clementi-canone33,,0,0,83,2,0.066
180,180-Haendel-concertogrosso9op6,,-1,-1,58,0,0.038
201,201-Beethoven-variation1,,1,1,97,0,0.105
202,202-Bach-sarabande,,-1,-1,86,1,0.058
