id,title,composer,KS GT,KS est.,notes,err,time
101,101-Beethoven-bagatelle4op33,,3,4,70,2,0.010
102,102-Beethoven-quatuor16op135,L.v. Beethoven,-5,-5,96,0,0.010
103,103-SaintSaens-elephant,C. Saint Saens,-3,-2,57,0,0.005
104,104-Haendel-concertogrosso4op6,G. F. Haendel,0,0,81,1,0.010
105,105-Schubert-gloria,F. Schubert,2,3,67,1,0.004
106,106-Bach-polonaise,J. S.  Bach,1,1,127,0,0.027
107,107-Wolf-chantEspagnol8,H. Wolf,2,2,85,0,0.011
108,108-Beethoven-quatuor13op130,,1,1,61,0,0.004
109,109-Kuhlau-sonatineop60n1,,-1,0,90,0,0.020
110,110-Haendel-concertogrosso3,,1,1,86,0,0.007
111,111-Mozart-sonateKV570,W. A. Mozart,-2,-2,96,5,0.136
112,112-Haydn-fantasia,,0,0,68,1,0.009
113,113-Gretchaninoff-retour,A. Gretchaninoff,1,1,89,0,0.009
114,114-Clementi-rondoSonateop25,M. Clementi,1,1,85,0,0.009
115,115-Clementi-sonatineop36n1,M. Clementi,0,1,91,1,0.015
117,117-Schumann-trio2,R. Schumann,-5,-5,72,0,0.005
118,118-Greensleeves,,-2,-1,75,0,0.008
119,119-Mendelssohn-romances31op67,,-3,-3,74,2,0.026
120,120-Bach-gavotte,J. S. Bach,1,1,130,0,0.018
121,121-Beethoven-adagioSonate1op2,L. v. Beethoven,-1,-1,51,1,0.013
122,122-pop,,0,1,58,0,0.004
123,123-Mozart-Canzonetta,W. A. Mozart,2,2,60,1,0.005
124,124-Schubert-quatuor13op29,F. Schubert,0,0,82,0,0.010
125,125-Wolf-melodie5,H. Wolf,3,2,66,0,0.007
126,126-Milhaud-suiteProvencale,D. Milhaud,0,3,61,1,0.005
127,127-Lemoine-etude38,H. Lemoine,0,1,93,1,0.008
128,128-Wolf-melodiesItalienne26,H. Wolf,-3,-2,94,4,0.014
129,129-Mozart-sonateKV331,W. A. Mozart,3,3,60,0,0.007
130,130-Haendel-concertogrosso10,G. F. Haendel,-1,-1,85,0,0.019
131,131-negrospiritual,,1,2,73,0,0.012
132,132-Bach-Brandegourgeois4,J. S. Bach,1,1,108,1,0.009
133,133-Mozart-KV282,W. A. Mozart,-3,-2,107,0,0.014
134,134-Purcell-gigue,H. Purcell,0,0,81,0,0.010
135,135-Schumann-concertola,R. Schumann,-1,-1,66,2,0.011
136,136-Schumann-Myrten25op25,R. Schumann,-3,-3,77,0,0.008
138,138-Wolf-melodie1,,3,3,90,1,0.010
140,140-Clementi-sonate3op25,M. Clementi,-2,-1,112,1,0.021
141,141-Puig-Roget,H. Puig-Roget,0,0,67,0,0.009
142,142-Wolf-chantsitaliens35,,-3,-2,77,3,0.009
143,143-Wolf-melodiesespagnoles1,H. Wolf,-1,-1,91,2,0.013
