id,title,composer,part,KSgt,KSest,notes,err,time
11,Sonata 1_1,Beethoven,rh,,f minor (-4),808,12,0.066
11,Sonata 1_1,Beethoven,lh,,f minor (-4),890,9,0.077
51,Sonata 5_1,Beethoven,rh,,c minor (-3),1043,17,0.100
51,Sonata 5_1,Beethoven,lh,,c minor (-3),1147,20,0.106
72,Sonata 7_2,Beethoven,rh,,d minor (-1),1134,31,0.086
72,Sonata 7_2,Beethoven,lh,,d minor (-1),969,17,0.083
82,Sonata 8_2,Beethoven,rh,(-4),E- major (-3),1066,118,0.087
82,Sonata 8_2,Beethoven,lh,(-4),E- major (-3),594,56,0.052
83,Sonata 8_3,Beethoven,rh,,c minor (-3),1329,6,0.102
83,Sonata 8_3,Beethoven,lh,,c minor (-3),1128,10,0.095
91,Sonata 9_1,Beethoven,rh,,E major (4),1218,31,0.108
91,Sonata 9_1,Beethoven,lh,,E major (4),1497,14,0.124
101,Sonata 10_1,Beethoven,rh,(1),D major (2),1563,131,0.120
101,Sonata 10_1,Beethoven,lh,(1),D major (2),1209,77,0.098
111,Sonata 11_1,Beethoven,rh,(-2),F major (-1),2092,143,0.158
111,Sonata 11_1,Beethoven,lh,(-2),F major (-1),1809,39,0.138
112,Sonata 11_2,Beethoven,rh,,E- major (-3),1034,56,0.075
112,Sonata 11_2,Beethoven,lh,,E- major (-3),1213,20,0.106
113,Sonata 11_3,Beethoven,rh,,g minor (-2),382,8,0.032
113,Sonata 11_3,Beethoven,lh,,g minor (-2),389,2,0.029
134,Sonata 13_4,Beethoven,rh,(-3),B- major (-2),2063,78,0.181
134,Sonata 13_4,Beethoven,lh,(-3),B- major (-2),2060,90,0.169
143,Sonata 14_3,Beethoven,rh,,c# minor (4),2488,16,0.195
143,Sonata 14_3,Beethoven,lh,,c# minor (4),2588,11,0.187
151,Sonata 15_1,Beethoven,rh,,D major (2),2170,32,0.196
151,Sonata 15_1,Beethoven,lh,,D major (2),2055,19,0.195
154,Sonata 15_4,Beethoven,rh,,D major (2),1660,34,0.134
154,Sonata 15_4,Beethoven,lh,,D major (2),1115,27,0.092
161,Sonata 16_1,Beethoven,rh,(1),D major (2),2083,36,0.189
161,Sonata 16_1,Beethoven,lh,(1),D major (2),1736,94,0.162
171,Sonata 17_1,Beethoven,rh,(-1),A major (3),1513,39,0.125
171,Sonata 17_1,Beethoven,lh,(-1),A major (3),1502,23,0.130
172,Sonata 17_2,Beethoven,rh,,B- major (-2),899,35,0.080
172,Sonata 17_2,Beethoven,lh,,B- major (-2),842,25,0.065
173,Sonata 17_3,Beethoven,rh,,d minor (-1),1689,61,0.141
173,Sonata 17_3,Beethoven,lh,,d minor (-1),2189,66,0.190
181,Sonata 18_1,Beethoven,rh,,E- major (-3),1822,40,0.142
181,Sonata 18_1,Beethoven,lh,,E- major (-3),1516,44,0.132
182,Sonata 18_2,Beethoven,rh,(-4),c minor (-3),1044,5,0.085
182,Sonata 18_2,Beethoven,lh,(-4),c minor (-3),1248,50,0.101
183,Sonata 18_3,Beethoven,rh,,E- major (-3),469,18,0.044
183,Sonata 18_3,Beethoven,lh,,E- major (-3),369,11,0.034
184,Sonata 18_4,Beethoven,lh,,E- major (-3),1536,121,0.136
211,Sonata 21_1,Beethoven,rh,,C major (0),3015,184,0.212
211,Sonata 21_1,Beethoven,lh,,C major (0),3942,280,0.320
212,Sonata 21_2,Beethoven,rh,,F major (-1),184,3,0.015
212,Sonata 21_2,Beethoven,lh,,F major (-1),334,12,0.035
221,Sonata 22_1,Beethoven,rh,,F major (-1),1664,105,0.133
221,Sonata 22_1,Beethoven,lh,,F major (-1),1477,78,0.132
222,Sonata 22_2,Beethoven,rh,,F major (-1),1243,189,0.092
222,Sonata 22_2,Beethoven,lh,,F major (-1),1341,214,0.102
241,Sonata 24_1,Beethoven,rh,,F# major (6),1200,27,0.096
241,Sonata 24_1,Beethoven,lh,,F# major (6),1010,44,0.090
242,Sonata 24_2,Beethoven,rh,,F# major (6),1011,129,0.088
242,Sonata 24_2,Beethoven,lh,,F# major (6),805,76,0.080
261,Sonata 26_1,Beethoven,rh,(-3),B- major (-2),1496,52,0.137
261,Sonata 26_1,Beethoven,lh,(-3),B- major (-2),1280,58,0.115
262,Sonata 26_2,Beethoven,rh,(-3),F major (-1),457,9,0.035
262,Sonata 26_2,Beethoven,lh,(-3),F major (-1),442,2,0.037
263,Sonata 26_3,Beethoven,rh,,E- major (-3),1763,63,0.134
263,Sonata 26_3,Beethoven,lh,,E- major (-3),2174,139,0.190
281,Sonata 28_1,Beethoven,rh,(3),E major (4),884,15,0.085
281,Sonata 28_1,Beethoven,lh,(3),E major (4),724,12,0.070
301,Sonata 30_1,Beethoven,rh,(4),B major (5),932,11,0.081
301,Sonata 30_1,Beethoven,lh,(4),B major (5),744,11,0.061
