id,title,composer,part,KSgt,KSest,notes,err,time
11,Sonata 1_1,Beethoven,rh,,f minor (-4),808,12,0.064
11,Sonata 1_1,Beethoven,lh,,f minor (-4),890,9,0.077
31,Sonata 3_1,Beethoven,rh,,a minor (0),2754,125,0.210
31,Sonata 3_1,Beethoven,lh,,a minor (0),1896,80,0.159
51,Sonata 5_1,Beethoven,rh,,c minor (-3),1043,17,0.100
51,Sonata 5_1,Beethoven,lh,,c minor (-3),1147,20,0.106
72,Sonata 7_2,Beethoven,rh,,d minor (-1),1134,31,0.086
72,Sonata 7_2,Beethoven,lh,,d minor (-1),969,17,0.083
82,Sonata 8_2,Beethoven,rh,,f minor (-4),1066,118,0.085
82,Sonata 8_2,Beethoven,lh,,f minor (-4),594,56,0.050
83,Sonata 8_3,Beethoven,rh,,c minor (-3),1329,6,0.101
83,Sonata 8_3,Beethoven,lh,,c minor (-3),1128,10,0.094
91,Sonata 9_1,Beethoven,rh,,E major (4),1218,31,0.107
91,Sonata 9_1,Beethoven,lh,,E major (4),1497,14,0.123
101,Sonata 10_1,Beethoven,rh,,e minor (1),1563,131,0.119
101,Sonata 10_1,Beethoven,lh,,e minor (1),1209,77,0.097
111,Sonata 11_1,Beethoven,rh,,g minor (-2),2092,143,0.157
111,Sonata 11_1,Beethoven,lh,,g minor (-2),1809,39,0.137
112,Sonata 11_2,Beethoven,rh,,E- major (-3),1034,56,0.075
112,Sonata 11_2,Beethoven,lh,,E- major (-3),1213,20,0.104
113,Sonata 11_3,Beethoven,rh,,g minor (-2),382,8,0.032
113,Sonata 11_3,Beethoven,lh,,g minor (-2),389,2,0.029
134,Sonata 13_4,Beethoven,rh,,c minor (-3),2063,78,0.181
134,Sonata 13_4,Beethoven,lh,,c minor (-3),2060,90,0.164
143,Sonata 14_3,Beethoven,rh,,c# minor (4),2488,16,0.192
143,Sonata 14_3,Beethoven,lh,,c# minor (4),2588,11,0.185
151,Sonata 15_1,Beethoven,rh,,b minor (2),2170,32,0.197
151,Sonata 15_1,Beethoven,lh,,b minor (2),2055,19,0.195
154,Sonata 15_4,Beethoven,rh,,b minor (2),1660,34,0.133
154,Sonata 15_4,Beethoven,lh,,b minor (2),1115,27,0.092
161,Sonata 16_1,Beethoven,rh,,e minor (1),2083,36,0.195
161,Sonata 16_1,Beethoven,lh,,e minor (1),1736,94,0.160
162,Sonata 16_2,Beethoven,rh,,a minor (0),2707,209,0.190
162,Sonata 16_2,Beethoven,lh,,a minor (0),2447,247,0.183
171,Sonata 17_1,Beethoven,rh,,d minor (-1),1513,39,0.124
171,Sonata 17_1,Beethoven,lh,,d minor (-1),1502,23,0.129
172,Sonata 17_2,Beethoven,rh,,g minor (-2),899,35,0.080
172,Sonata 17_2,Beethoven,lh,,g minor (-2),842,25,0.065
173,Sonata 17_3,Beethoven,rh,,d minor (-1),1689,61,0.139
173,Sonata 17_3,Beethoven,lh,,d minor (-1),2189,66,0.188
181,Sonata 18_1,Beethoven,rh,,c minor (-3),1822,40,0.141
181,Sonata 18_1,Beethoven,lh,,c minor (-3),1516,44,0.131
182,Sonata 18_2,Beethoven,rh,,f minor (-4),1044,5,0.087
182,Sonata 18_2,Beethoven,lh,,f minor (-4),1248,50,0.102
183,Sonata 18_3,Beethoven,rh,,c minor (-3),469,18,0.043
183,Sonata 18_3,Beethoven,lh,,c minor (-3),369,11,0.034
184,Sonata 18_4,Beethoven,lh,,c minor (-3),1536,121,0.130
211,Sonata 21_1,Beethoven,rh,,a minor (0),3015,184,0.210
211,Sonata 21_1,Beethoven,lh,,a minor (0),3942,280,0.319
212,Sonata 21_2,Beethoven,rh,(-1),a minor (0),184,3,0.015
212,Sonata 21_2,Beethoven,lh,(-1),a minor (0),334,12,0.031
221,Sonata 22_1,Beethoven,rh,,d minor (-1),1664,105,0.132
221,Sonata 22_1,Beethoven,lh,,d minor (-1),1477,78,0.133
222,Sonata 22_2,Beethoven,rh,(-1),a minor (0),1243,189,0.093
222,Sonata 22_2,Beethoven,lh,,d minor (-1),1341,214,0.102
241,Sonata 24_1,Beethoven,rh,,d# minor (6),1200,27,0.095
241,Sonata 24_1,Beethoven,lh,,d# minor (6),1010,44,0.090
242,Sonata 24_2,Beethoven,rh,,d# minor (6),1011,129,0.089
242,Sonata 24_2,Beethoven,lh,,d# minor (6),805,76,0.079
261,Sonata 26_1,Beethoven,rh,,c minor (-3),1496,52,0.135
261,Sonata 26_1,Beethoven,lh,,c minor (-3),1280,58,0.116
262,Sonata 26_2,Beethoven,rh,,c minor (-3),457,9,0.035
262,Sonata 26_2,Beethoven,lh,,c minor (-3),442,2,0.037
263,Sonata 26_3,Beethoven,rh,,c minor (-3),1763,63,0.134
263,Sonata 26_3,Beethoven,lh,,c minor (-3),2174,139,0.205
281,Sonata 28_1,Beethoven,rh,,f# minor (3),884,15,0.084
281,Sonata 28_1,Beethoven,lh,,f# minor (3),724,12,0.070
301,Sonata 30_1,Beethoven,rh,,c# minor (4),932,11,0.080
301,Sonata 30_1,Beethoven,lh,,c# minor (4),744,11,0.061
