id,title,composer,KSgt,KSest,notes,err,time_1,time_2,time_3
0,Afro blue,,(-4),E- major (-3),215,0,0.050,0.016,0.007
0,Afternoon in Paris,,,C major (0),246,1,0.049,0.012,0.008
0,Airegin,,(-4),E- major (-3),270,23,0.057,0.031,0.010
0,Alice in wonderland,,,C major (0),302,10,0.073,0.023,0.011
0,All blues,,,C major (0),69,3,0.015,0.006,0.002
0,All in love is fair,,,F major (-1),281,12,0.059,0.016,0.009
0,All my tomorrows,,,G major (1),319,10,0.065,0.014,0.010
0,All of me,,,C major (0),176,12,0.039,0.015,0.006
0,All of you,,,E- major (-3),228,9,0.052,0.015,0.008
0,All the things you are,,(-4),E- major (-3),226,33,0.051,0.017,0.008
0,Alone together,,,F major (-1),253,22,0.056,0.015,0.009
0,Ana Maria,,,E- major (-3),356,51,0.082,0.025,0.012
0,Angel eyes,,,E- major (-3),397,45,0.081,0.013,0.012
0,Anthropology,,,B- major (-2),318,18,0.060,0.012,0.009
0,April in Paris,,,C major (0),272,24,0.059,0.029,0.010
0,April in Paris-mod,,,C major (0),271,18,0.060,0.015,0.009
0,Autumn leaves,,,B- major (-2),163,7,0.037,0.013,0.006
0,Avalon,,,B- major (-2),126,2,0.032,0.015,0.005
0,Beautiful love,,,F major (-1),138,9,0.032,0.009,0.005
0,Bessie's blues,,(-3),A- major (-4),189,2,0.036,0.009,0.006
0,Bewitched,,,C major (0),256,11,0.054,0.013,0.009
0,Birth of the blues,,,C major (0),302,27,0.063,0.013,0.010
0,Black Orpheus,,,C major (0),334,18,0.074,0.020,0.011
0,Black and tan fantasy,,(-5),B- major (-2),205,7,0.042,0.010,0.006
0,Black narcissus,,(-6),E major (4),182,112,0.041,0.033,0.008
0,Black nile,,(-1),B- major (-2),351,29,0.076,0.016,0.012
0,Blessed relief,,,F major (-1),199,8,0.045,0.015,0.007
0,Blue Monk,,,B- major (-2),114,6,0.022,0.011,0.004
0,Blue bossa,,,E- major (-3),102,3,0.023,0.008,0.003
0,Blue in green,,(0),F major (-1),108,10,0.025,0.006,0.004
0,Blue moon,,,E- major (-3),474,28,0.097,0.016,0.015
0,Blue room,,,F major (-1),253,0,0.054,0.012,0.008
0,Blue trane,,,E- major (-3),129,2,0.028,0.007,0.004
0,Bluesette,,(-2),E- major (-3),122,4,0.029,0.011,0.004
0,Bohemia after dark,,,B- major (-2),258,16,0.050,0.023,0.009
