 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 6/3, 1/0, 2/0, 1/0, 1/0, 3/3, 2/2, 2/1, 1/2, 2/1, 3/1, 1/0, 2/1, 0/0, 0/0, 2/1, 1/1, 1/0, 6/3, 1/0, 2/0, 1/0, 1/0, 3/3, 1/0, 1/0, 47/22
A minor (0), 4/4, 1/3, 3/2, 1/2, 1/5, 4/3, 2/1, 2/1, 3/2, 2/4, 3/2, 1/0, 1/1, 0/0, 0/0, 2/3, 2/1, 1/0, 4/4, 1/3, 3/2, 1/0, 1/0, 4/3, 3/2, 1/0, 51/48
A minor mel (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C major blues (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
A minor blues (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C dorian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C phrygian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C lydian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C mixolydian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C aeolian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C locrian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
F major (1b), 5/3, 1/0, 1/0, 0/0, 0/0, 2/3, 3/2, 1/1, 1/0, 1/1, 6/4, 1/2, 3/1, 0/0, 0/0, 1/0, 2/1, 0/0, 5/3, 1/0, 1/0, 0/0, 0/0, 2/3, 1/0, 0/0, 38/24
G major (1#), 4/3, 2/0, 2/0, 1/2, 1/4, 2/3, 3/2, 3/2, 2/0, 1/0, 2/1, 0/0, 2/1, 0/0, 0/0, 2/0, 1/1, 2/2, 4/3, 2/0, 2/0, 1/2, 1/3, 2/2, 2/0, 1/0, 45/31
D minor (1b), 2/3, 1/0, 1/0, 0/0, 0/0, 2/3, 3/1, 1/1, 1/2, 1/1, 3/1, 1/0, 2/1, 0/0, 0/0, 1/0, 2/1, 0/0, 2/3, 1/0, 1/0, 0/0, 0/0, 2/3, 1/0, 0/0, 28/20
E minor (1#), 5/4, 2/4, 3/7, 3/4, 1/0, 3/2, 3/1, 3/2, 4/5, 1/1, 2/1, 0/0, 2/1, 0/0, 0/0, 2/3, 2/1, 3/2, 5/4, 2/4, 3/7, 3/4, 1/0, 3/2, 4/7, 3/4, 63/70
D minor mel (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
E minor mel (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
F major blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
G major blues (1#),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
D minor blues (1b),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
