 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 2, 0, 2, 2, 2, 0, 4, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 2, 2, 0, 4, 0, 29
A minor (0), 3, 0, 3, 4, 3, 1, 4, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 3, 0, 3, 4, 3, 1, 4, 1, 50
A minor mel (0), 2, 0, 2, 4, 2, 1, 4, 2, 2, 2, 1, 3, 2, 1, 1, 2, 0, 2, 0, 2, 4, 2, 1, 4, 1, 47
C major blues (0), 2, 0, 2, 2, 2, 0, 4, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0, 2, 2, 2, 0, 4, 0, 32
A minor blues (0), 2, 0, 2, 3, 2, 0, 3, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 2, 0, 2, 3, 2, 0, 3, 0, 32
C dorian (0), 1, 0, 1, 2, 1, 0, 4, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 4, 0, 26
C phrygian (0), 1, 0, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 3, 0, 14
C lydian (0), 1, 0, 1, 2, 1, 0, 4, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 4, 0, 26
C mixolydian (0), 1, 0, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 3, 0, 14
C aeolian (0), 2, 0, 2, 2, 2, 0, 4, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 2, 2, 2, 0, 4, 0, 29
C locrian (0), 1, 0, 1, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 3, 0, 14
F major (1b), 2, 0, 2, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 3, 0, 20
G major (1#), 1, 0, 1, 3, 1, 0, 3, 1, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1, 3, 1, 0, 3, 0, 26
D minor (1b), 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 21
E minor (1#), 2, 1, 2, 3, 2, 1, 4, 1, 1, 1, 1, 3, 1, 2, 1, 1, 0, 2, 1, 2, 3, 2, 1, 4, 0, 42
D minor mel (1b), 2, 1, 2, 2, 2, 1, 2, 2, 1, 2, 0, 2, 1, 2, 1, 1, 0, 2, 1, 2, 2, 2, 1, 2, 0, 36
E minor mel (1#), 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 1, 4, 2, 3, 2, 2, 0, 2, 2, 2, 2, 2, 2, 3, 0, 49
F major blues (1b), 4, 0, 4, 2, 4, 0, 4, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 4, 0, 4, 2, 4, 0, 4, 0, 43
G major blues (1#), 2, 1, 2, 3, 2, 1, 3, 2, 1, 2, 0, 3, 2, 2, 1, 2, 0, 2, 1, 2, 3, 2, 1, 3, 0, 43
D minor blues (1b), 3, 0, 3, 3, 3, 0, 3, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 3, 0, 3, 3, 3, 0, 3, 0, 37
E minor blues (1#), 2, 1, 2, 3, 2, 1, 3, 2, 1, 2, 0, 3, 2, 2, 1, 2, 0, 2, 1, 2, 3, 2, 1, 3, 0, 43
F dorian (1b), 3, 0, 3, 2, 3, 0, 4, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 3, 0, 3, 2, 3, 0, 4, 0, 35
G dorian (1#), 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 0, 3, 2, 2, 1, 2, 0, 1, 1, 1, 2, 1, 1, 2, 0, 33
F phrygian (1b), 2, 0, 2, 1, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 1, 2, 0, 3, 0, 20
