 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
A minor (0), 2, 0, 2, 2, 4, 2, 3, 1, 1, 3, 2, 1, 0, 3, 2, 1, 1, 2, 0, 2, 2, 4, 2, 3, 1, 46
A minor mel (0), 2, 0, 2, 1, 4, 3, 2, 1, 1, 2, 2, 1, 0, 2, 2, 1, 1, 2, 0, 2, 1, 4, 3, 2, 1, 42
C major blues (0), 1, 0, 2, 1, 1, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 1, 2, 3, 1, 34
A minor blues (0), 1, 0, 2, 1, 4, 2, 3, 1, 1, 3, 1, 1, 0, 3, 1, 1, 1, 1, 0, 2, 1, 4, 2, 3, 1, 40
C dorian (0), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
C phrygian (0), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
C lydian (0), 1, 0, 2, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 1, 2, 2, 1, 24
C mixolydian (0), 1, 0, 1, 1, 1, 1, 3, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 3, 1, 23
C aeolian (0), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
C locrian (0), 0, 0, 0, 1, 1, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 2, 0, 14
F major (1b), 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 25
G major (1#), 1, 0, 2, 0, 4, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 4, 2, 2, 1, 30
D minor (1b), 2, 1, 2, 1, 5, 1, 4, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 5, 1, 4, 1, 41
E minor (1#), 2, 1, 1, 0, 4, 1, 1, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 2, 1, 1, 0, 4, 1, 1, 0, 30
D minor mel (1b), 2, 1, 3, 1, 5, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 3, 1, 5, 1, 4, 1, 46
E minor mel (1#), 3, 2, 2, 0, 5, 1, 2, 0, 0, 2, 2, 3, 1, 2, 2, 0, 0, 3, 2, 2, 0, 5, 1, 2, 0, 42
F major blues (1b), 1, 0, 2, 2, 1, 1, 2, 1, 1, 5, 2, 1, 0, 5, 2, 2, 2, 1, 0, 2, 2, 1, 1, 2, 1, 40
G major blues (1#), 2, 1, 3, 1, 5, 2, 4, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 5, 2, 4, 1, 50
D minor blues (1b), 1, 0, 2, 1, 4, 1, 3, 1, 1, 4, 2, 1, 0, 4, 2, 2, 2, 1, 0, 2, 1, 4, 1, 3, 1, 44
E minor blues (1#), 2, 1, 3, 1, 5, 2, 4, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 1, 3, 1, 5, 2, 4, 1, 52
F dorian (1b), 1, 0, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 0, 3, 1, 0, 0, 1, 0, 2, 2, 1, 1, 2, 1, 30
G dorian (1#), 2, 1, 3, 0, 5, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 3, 0, 5, 2, 3, 1, 42
F phrygian (1b), 0, 0, 0, 2, 1, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 16
G phrygian (1#), 1, 0, 2, 1, 4, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 4, 1, 3, 1, 34
F lydian (1b), 1, 0, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 0, 3, 1, 0, 0, 1, 0, 2, 2, 1, 1, 2, 1, 30
G lydian (1#), 2, 1, 3, 0, 5, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 3, 0, 5, 2, 3, 1, 42
