 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
A minor (0), 2, 3, 1, 2, 4, 0, 1, 3, 1, 2, 1, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 43
A minor mel (0), 3, 3, 1, 1, 3, 1, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 3, 1, 1, 2, 1, 39
C major blues (0), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
A minor blues (0), 3, 4, 3, 2, 5, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 55
C dorian (0), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
C phrygian (0), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
C lydian (0), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
C mixolydian (0), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
C aeolian (0), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
C locrian (0), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
F major (1b), 1, 4, 3, 2, 4, 0, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 45
G major (1#), 3, 3, 2, 1, 4, 1, 1, 3, 2, 1, 1, 3, 2, 1, 3, 1, 2, 2, 3, 1, 2, 2, 1, 45
D minor (1b), 1, 3, 3, 2, 4, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 41
E minor (1#), 2, 2, 2, 0, 2, 1, 0, 2, 2, 0, 0, 2, 2, 0, 2, 2, 1, 1, 2, 2, 1, 1, 0, 29
D minor mel (1b), 2, 2, 2, 2, 5, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 2, 3, 1, 1, 45
E minor mel (1#), 2, 1, 2, 0, 2, 2, 0, 1, 2, 0, 0, 1, 2, 0, 2, 2, 1, 0, 2, 2, 1, 0, 0, 25
F major blues (1b), 2, 4, 3, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 51
G major blues (1#), 3, 4, 3, 2, 5, 2, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 56
D minor blues (1b), 2, 4, 3, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 51
E minor blues (1#), 3, 4, 3, 2, 5, 2, 1, 3, 2, 2, 1, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 1, 56
F dorian (1b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
G dorian (1#), 3, 2, 2, 1, 4, 2, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 1, 41
F phrygian (1b), 0, 3, 3, 1, 3, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 26
G phrygian (1#), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
F lydian (1b), 2, 3, 2, 2, 5, 0, 1, 3, 2, 2, 1, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 1, 49
G lydian (1#), 3, 2, 2, 1, 4, 2, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 3, 1, 2, 1, 1, 41
