 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12
A minor (0), 2, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 15
A minor mel (0), 2, 1, 1, 0, 1, 2, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 2, 1, 1, 0, 1, 2, 0, 0, 20
C major blues (0), 1, 0, 2, 0, 2, 2, 1, 0, 0, 0, 4, 4, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 0, 26
A minor blues (0), 1, 0, 2, 0, 2, 2, 1, 0, 0, 0, 1, 4, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 0, 23
C dorian (0), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 17
C phrygian (0), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
C lydian (0), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 17
C mixolydian (0), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
C aeolian (0), 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12
C locrian (0), 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 17
F major (1b), 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
G major (1#), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 17
