 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
A minor (0), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
A minor mel (0), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
C major blues (0), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
A minor blues (0), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
C dorian (0), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
C phrygian (0), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
C lydian (0), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
C mixolydian (0), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
C aeolian (0), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
C locrian (0), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
F major (1b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
G major (1#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
D minor (1b), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
E minor (1#), 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 25
D minor mel (1b), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 4, 1, 1, 28
E minor mel (1#), 3, 1, 3, 1, 3, 1, 3, 1, 3, 1, 1, 2, 1, 2, 1, 2, 1, 0, 3, 1, 3, 1, 3, 1, 3, 1, 1, 47
F major blues (1b), 1, 1, 1, 1, 1, 1, 5, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 5, 0, 0, 29
G major blues (1#), 2, 1, 2, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 5, 1, 1, 42
D minor blues (1b), 1, 1, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 4, 0, 0, 27
E minor blues (1#), 2, 1, 2, 1, 2, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 4, 1, 1, 40
F dorian (1b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 8
G dorian (1#), 2, 1, 2, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 2, 1, 5, 1, 1, 41
F phrygian (1b), 1, 1, 1, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 5, 0, 0, 24
G phrygian (1#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
F lydian (1b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 8
G lydian (1#), 2, 1, 2, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 2, 1, 5, 1, 1, 41
F mixolydian (1b), 1, 1, 1, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 5, 0, 0, 24
G mixolydian (1#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
F aeolian (1b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
G aeolian (1#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
F locrian (1b), 1, 1, 1, 1, 1, 1, 5, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 1, 1, 1, 1, 5, 0, 0, 29
G locrian (1#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Bb major (2b), 1, 1, 1, 1, 1, 0, 5, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 5, 0, 0, 24
D major (2#), 2, 1, 2, 1, 2, 1, 5, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 2, 1, 2, 1, 5, 1, 1, 41
G minor (2b), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
B minor (2#), 3, 1, 3, 1, 3, 2, 4, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 3, 1, 3, 2, 4, 1, 1, 51
G minor mel (2b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 20
B minor mel (2#), 4, 1, 4, 1, 4, 2, 5, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 2, 4, 1, 4, 1, 4, 2, 5, 1, 1, 62
Bb major blues (2b), 2, 1, 2, 1, 2, 1, 5, 0, 2, 0, 0, 2, 0, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 1, 5, 0, 0, 39
D major blues (2#), 3, 1, 3, 1, 3, 1, 6, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 6, 1, 1, 52
G minor blues (2b), 2, 1, 2, 1, 2, 1, 4, 0, 2, 0, 0, 2, 0, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 1, 4, 0, 0, 37
B minor blues (2#), 4, 1, 4, 1, 4, 1, 6, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 4, 1, 4, 1, 6, 1, 1, 59
Bb dorian (2b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
D dorian (2#), 3, 1, 3, 1, 3, 1, 6, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 1, 3, 1, 6, 1, 1, 52
Bb phrygian (2b), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
D phrygian (2#), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
Bb lydian (2b), 2, 2, 2, 2, 2, 0, 5, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 5, 0, 0, 35
D lydian (2#), 2, 2, 2, 2, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 2, 2, 2, 2, 0, 4, 0, 0, 33
Bb mixolydian (2b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
D mixolydian (2#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Bb aeolian (2b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
D aeolian (2#), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 7
Bb locrian (2b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
D locrian (2#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 0, 0, 22
Eb major (3b), 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 9
A major (3#), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 19
C minor (3b), 1, 0, 1, 0, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 4, 1, 1, 29
F# minor (3#), 2, 1, 2, 1, 2, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 1, 2, 0, 2, 0, 0, 25
C minor mel (3b), 1, 1, 1, 1, 1, 0, 4, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 4, 0, 0, 21
F# minor mel (3#), 6, 2, 6, 2, 4, 1, 5, 1, 6, 1, 1, 2, 1, 4, 2, 2, 1, 1, 6, 2, 6, 2, 4, 1, 5, 1, 1, 76
Eb major blues (3b), 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 6
A major blues (3#), 1, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 3, 0, 0, 15
C minor blues (3b), 2, 1, 2, 1, 2, 0, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 2, 1, 2, 0, 4, 0, 0, 28
