 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
A minor (0), 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 0, 0, 12
A minor mel (0), 0, 0, 1, 0, 1, 2, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 0, 13
C major blues (0), 0, 1, 2, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 0, 0, 26
A minor blues (0), 0, 1, 2, 1, 1, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 1, 1, 0, 1, 2, 3, 1, 3, 0, 0, 27
C dorian (0), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
C phrygian (0), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
C lydian (0), 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 9
C mixolydian (0), 0, 0, 0, 1, 1, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 16
C aeolian (0), 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 8
C locrian (0), 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 0, 3, 1, 1, 1, 0, 0, 2, 2, 1, 2, 0, 0, 24
F major (1b), 0, 0, 0, 1, 2, 2, 2, 0, 0, 1, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 17
G major (1#), 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 11
