 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
A minor (0),  ,  ,  ,  , 0, 2, 0, 1, 0, 2, 0, 0, 0, 1, 0, 2, 8
A minor mel (0),  ,  ,  ,  , 0, 2, 0, 1, 1, 3, 0, 0, 0, 1, 0, 2, 10
C major blues (0),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
A minor blues (0),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C dorian (0),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C phrygian (0),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
C lydian (0),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
C mixolydian (0),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
C aeolian (0),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
C locrian (0),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
F major (1b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
G major (1#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
D minor (1b),  ,  ,  ,  , 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 1, 10
E minor (1#),  ,  ,  ,  , 0, 1, 0, 0, 1, 2, 0, 0, 1, 0, 0, 1, 6
D minor mel (1b),  ,  ,  ,  , 1, 2, 1, 2, 0, 1, 1, 1, 1, 0, 1, 2, 13
E minor mel (1#),  ,  ,  ,  , 1, 2, 1, 1, 1, 2, 1, 1, 1, 0, 1, 2, 14
F major blues (1b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
G major blues (1#),  ,  ,  ,  , 1, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 15
D minor blues (1b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
E minor blues (1#),  ,  ,  ,  , 1, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 15
F dorian (1b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
G dorian (1#),  ,  ,  ,  , 1, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 15
F phrygian (1b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
G phrygian (1#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
F lydian (1b),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
G lydian (1#),  ,  ,  ,  , 1, 2, 1, 2, 1, 2, 1, 1, 1, 0, 1, 2, 15
F mixolydian (1b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
G mixolydian (1#),  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 5
F aeolian (1b),  ,  ,  ,  , 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2
G aeolian (1#),  ,  ,  ,  , 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 0, 1, 7
F locrian (1b),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
