 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
A minor (0), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
A minor mel (0), 2, 1, 2, 2, 2, 2, 3, 2, 1, 2, 3, 1, 1, 2, 3, 2, 2, 1, 2, 2, 2, 1, 1, 1, 43
C major blues (0), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
A minor blues (0), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
C dorian (0), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
C phrygian (0), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
C lydian (0), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 33
C mixolydian (0), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
C aeolian (0), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
C locrian (0), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
F major (1b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
G major (1#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
D minor (1b), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
