 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
A minor (0), 0, 1, 1, 2, 0, 2, 1, 2, 1, 5, 1, 0, 2, 1, 1, 1, 3, 0, 3, 1, 1, 2, 0, 2, 1, 4, 1, 39
A minor mel (0), 0, 1, 2, 1, 1, 2, 2, 2, 2, 5, 1, 0, 3, 1, 1, 0, 2, 1, 4, 1, 2, 1, 1, 2, 2, 5, 1, 46
C major blues (0), 0, 2, 1, 2, 2, 2, 1, 2, 3, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 4, 0, 48
A minor blues (0), 0, 2, 1, 2, 2, 2, 1, 2, 3, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 5, 0, 51
C dorian (0), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
C phrygian (0), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
C lydian (0), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
C mixolydian (0), 0, 1, 0, 1, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 4, 0, 2, 1, 0, 1, 1, 0, 0, 1, 0, 22
C aeolian (0), 0, 0, 0, 1, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 4, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 23
C locrian (0), 0, 2, 0, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 3, 0, 3, 2, 0, 2, 1, 1, 0, 2, 0, 29
F major (1b), 0, 1, 0, 4, 1, 0, 0, 0, 2, 3, 1, 1, 1, 0, 0, 1, 3, 0, 3, 1, 0, 4, 1, 0, 0, 1, 0, 28
G major (1#), 0, 0, 1, 0, 1, 1, 1, 1, 3, 4, 0, 1, 3, 0, 0, 0, 3, 1, 3, 0, 1, 0, 1, 1, 1, 3, 0, 30
D minor (1b), 1, 2, 0, 2, 2, 0, 1, 1, 3, 4, 1, 1, 2, 0, 0, 1, 4, 0, 3, 2, 0, 2, 2, 0, 1, 2, 0, 37
E minor (1#), 0, 0, 2, 0, 2, 2, 1, 1, 4, 4, 0, 1, 4, 0, 0, 0, 2, 1, 3, 0, 2, 0, 2, 2, 1, 5, 0, 39
D minor mel (1b), 1, 1, 0, 2, 1, 1, 1, 2, 3, 5, 0, 1, 3, 0, 0, 1, 4, 0, 3, 1, 0, 2, 1, 1, 1, 3, 0, 38
E minor mel (1#), 1, 1, 2, 1, 3, 2, 2, 2, 5, 4, 0, 1, 4, 0, 0, 0, 2, 1, 4, 1, 2, 1, 3, 2, 2, 5, 0, 51
F major blues (1b), 0, 2, 1, 5, 2, 3, 0, 2, 2, 5, 2, 1, 2, 0, 1, 1, 3, 0, 4, 2, 1, 5, 2, 3, 0, 4, 0, 53
G major blues (1#), 1, 2, 1, 2, 3, 1, 2, 2, 4, 4, 1, 1, 3, 0, 0, 1, 4, 1, 4, 2, 1, 2, 3, 1, 2, 3, 0, 51
D minor blues (1b), 0, 2, 1, 2, 2, 3, 0, 2, 3, 6, 2, 1, 3, 0, 1, 1, 4, 0, 3, 2, 1, 2, 2, 3, 0, 5, 0, 51
E minor blues (1#), 1, 2, 1, 2, 3, 2, 2, 2, 4, 5, 1, 1, 4, 0, 0, 1, 4, 1, 4, 2, 1, 2, 3, 2, 2, 5, 0, 57
F dorian (1b), 0, 0, 0, 4, 0, 1, 0, 1, 2, 4, 0, 1, 2, 0, 0, 1, 3, 0, 3, 0, 0, 4, 0, 1, 0, 2, 0, 29
G dorian (1#), 1, 1, 1, 1, 2, 1, 2, 2, 4, 4, 0, 1, 3, 0, 0, 0, 3, 1, 4, 1, 1, 1, 2, 1, 2, 3, 0, 42
F phrygian (1b), 0, 2, 0, 5, 1, 1, 0, 1, 2, 2, 1, 1, 1, 0, 0, 1, 2, 0, 4, 2, 0, 5, 1, 1, 0, 2, 0, 35
