 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, rowcost
C major (0), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
A minor (0), 1, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 1, 2, 2, 1, 4, 1, 3, 2, 6, 1, 4, 3, 1, 2, 2, 3, 2,  , 1, 2, 1, 4, 4, 4, 2, 3, 2, 97
A minor mel (0), 1, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 1, 2, 2, 1, 5, 1, 4, 3, 7, 0, 3, 3, 1, 2, 3, 3, 2,  , 1, 2, 2, 5, 3, 4, 3, 2, 1, 103
C major blues (0), 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 2, 3, 2, 1, 1, 4, 1, 3, 2, 5, 1, 4, 2, 3, 2, 3, 3, 3,  , 1, 2, 2, 3, 3, 4, 4, 3, 2, 101
A minor blues (0), 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 2, 3, 3, 1, 1, 5, 1, 3, 2, 6, 1, 3, 2, 3, 3, 2, 3, 3,  , 1, 2, 2, 4, 4, 4, 4, 3, 2, 106
C dorian (0), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
C phrygian (0), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
C lydian (0), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
C mixolydian (0), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
C aeolian (0), 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 1, 4, 1, 4, 2, 1, 2, 2, 2, 3,  , 1, 2, 1, 2, 3, 3, 3, 3, 2, 80
C locrian (0), 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 0, 3, 1, 0, 0, 1, 1, 1, 0, 2, 1, 4, 0, 3, 1, 2, 2, 1,  , 0, 1, 0, 0, 1, 3, 1, 1, 1, 47
F major (1b), 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 1, 3, 1, 4, 1, 2, 1, 2, 1, 2,  , 0, 1, 0, 1, 2, 2, 2, 2, 2, 59
G major (1#), 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 4, 1, 3, 2, 5, 0, 3, 2, 1, 2, 3, 2, 3,  , 1, 2, 2, 3, 2, 3, 4, 2, 1, 86
