 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, rowcost
C major (0), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
A minor (0), 1, 6, 3, 3, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 3, 3, 3, 3, 0, 44
A minor mel (0), 1, 7, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2, 2, 2, 0, 34
C major blues (0), 0, 7, 7, 6, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 7, 6, 8, 5, 2, 98
A minor blues (0), 0, 7, 6, 6, 5, 2, 1, 1, 2, 2, 2, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 6, 6, 6, 5, 2, 92
C dorian (0), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
C phrygian (0), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
C lydian (0), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
C mixolydian (0), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
C aeolian (0), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
C locrian (0), 0, 5, 7, 5, 6, 2, 1, 1, 2, 3, 2, 2, 1, 1,  , 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 7, 5, 8, 4, 2, 85
F major (1b), 0, 4, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 6, 6, 7, 5, 1, 77
G major (1#), 0, 6, 4, 4, 3, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 5, 3, 0, 48
D minor (1b), 0, 5, 5, 5, 4, 2, 0, 0, 1, 2, 1, 2, 0, 0,  , 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 5, 5, 5, 4, 1, 70
E minor (1#), 1, 5, 4, 2, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 4, 2, 2, 2, 0, 41
D minor mel (1b), 0, 6, 4, 4, 3, 2, 0, 0, 0, 2, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4, 4, 4, 3, 0, 51
E minor mel (1#), 1, 6, 3, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0,  , 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 4, 3, 1, 1, 1, 0, 36
F major blues (1b), 1, 7, 8, 6, 7, 2, 1, 1, 2, 3, 3, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 2, 4, 8, 6, 8, 5, 3, 114
G major blues (1#), 0, 7, 6, 6, 5, 2, 0, 0, 1, 3, 1, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 6, 6, 7, 5, 1, 87
D minor blues (1b), 1, 7, 8, 6, 7, 2, 1, 1, 2, 3, 3, 2, 1, 1,  , 1, 1, 0, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 4, 2, 1, 2, 2, 4, 8, 6, 8, 5, 3, 114
E minor blues (1#), 0, 6, 5, 5, 4, 2, 0, 0, 1, 2, 1, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 2, 2, 0, 0, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 4, 5, 5, 5, 5, 1, 78
F dorian (1b), 0, 5, 5, 5, 4, 2, 0, 0, 0, 3, 0, 2, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 5, 5, 6, 4, 0, 58
G dorian (1#), 0, 7, 3, 3, 2, 1, 0, 0, 0, 2, 0, 1, 0, 0,  , 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 3, 3, 4, 2, 0, 43
