 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
A minor (0), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
A minor mel (0), 1, 3, 3, 3, 1, 5, 7, 1, 0, 4, 2, 4, 1, 5, 1, 1, 2, 4, 0, 2, 5, 3, 1, 2, 2, 3, 3, 3, 1, 5, 7, 1, 0, 86
C major blues (0), 1, 4, 5, 5, 3, 3, 6, 3, 1, 3, 4, 4, 2, 3, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 4, 5, 5, 3, 3, 6, 3, 1, 110
A minor blues (0), 1, 5, 5, 6, 3, 4, 9, 3, 1, 4, 3, 4, 3, 4, 3, 3, 1, 5, 2, 2, 4, 4, 1, 4, 4, 5, 5, 6, 3, 4, 9, 3, 1, 124
C dorian (0), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
C phrygian (0), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
C lydian (0), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 3, 3, 1, 3, 2, 0, 1, 5, 0, 1, 4, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 80
C mixolydian (0), 0, 3, 2, 4, 3, 2, 5, 2, 0, 2, 3, 1, 1, 1, 3, 2, 0, 3, 2, 1, 3, 3, 0, 2, 2, 3, 2, 4, 3, 2, 5, 2, 0, 71
C aeolian (0), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
C locrian (0), 0, 3, 3, 5, 2, 2, 4, 3, 1, 2, 3, 2, 2, 1, 3, 3, 0, 2, 2, 1, 2, 3, 0, 3, 3, 3, 3, 5, 2, 2, 4, 3, 1, 78
F major (1b), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
G major (1#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
D minor (1b), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
E minor (1#), 1, 5, 4, 3, 3, 3, 7, 1, 0, 3, 4, 3, 2, 4, 3, 1, 1, 6, 1, 2, 3, 4, 2, 3, 3, 5, 4, 3, 3, 3, 7, 1, 0, 98
D minor mel (1b), 1, 5, 3, 5, 3, 4, 6, 3, 1, 5, 2, 2, 3, 3, 3, 2, 0, 5, 1, 3, 1, 4, 0, 1, 2, 5, 3, 5, 3, 4, 6, 3, 1, 98
E minor mel (1#), 1, 5, 4, 3, 3, 3, 6, 2, 1, 4, 3, 3, 3, 4, 4, 2, 1, 7, 1, 3, 2, 4, 2, 2, 2, 5, 4, 3, 3, 3, 6, 2, 1, 102
F major blues (1b), 1, 4, 4, 4, 3, 3, 5, 2, 1, 4, 5, 3, 2, 2, 4, 4, 0, 4, 2, 4, 3, 2, 1, 3, 4, 4, 4, 4, 3, 3, 5, 2, 1, 100
G major blues (1#), 1, 4, 4, 4, 3, 3, 6, 3, 1, 4, 3, 3, 2, 3, 4, 3, 1, 6, 2, 3, 3, 4, 1, 3, 3, 4, 4, 4, 3, 3, 6, 3, 1, 105
