 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, rowcost
C major (0), 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0,  ,  ,  ,  ,  ,  ,  , 1, 2, 1, 2, 1, 2, 1, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0, 36
A minor (0), 0, 1, 1, 0, 0, 1, 1, 0, 2, 1, 2, 0, 2, 1, 1, 0,  ,  ,  ,  ,  ,  ,  , 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 1, 2, 0, 2, 1, 1, 0, 34
F major (1b), 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 2, 0,  ,  ,  ,  ,  ,  ,  , 1, 2, 0, 2, 1, 2, 0, 2, 0, 1, 1, 2, 0, 1, 1, 2, 0, 30
G major (1#), 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1,  ,  ,  ,  ,  ,  ,  , 2, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 47
D minor (1b), 2, 0, 1, 1, 2, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0,  ,  ,  ,  ,  ,  ,  , 1, 3, 1, 3, 1, 3, 1, 3, 0, 1, 1, 1, 0, 1, 1, 1, 0, 35
E minor (1#), 2, 1, 2, 1, 2, 1, 2, 1, 0, 0, 1, 1, 0, 0, 2, 1,  ,  ,  ,  ,  ,  ,  , 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 0, 1, 1, 0, 0, 2, 1, 35
Bb major (2b), 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0,  ,  ,  ,  ,  ,  ,  , 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 0, 16
D major (2#), 3, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  , 2, 3, 2, 3, 2, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 52
G minor (2b), 2, 0, 1, 1, 2, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1,  ,  ,  ,  ,  ,  ,  , 2, 1, 0, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 2, 1, 27
B minor (2#), 3, 0, 1, 2, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,  ,  ,  ,  ,  ,  ,  , 2, 3, 1, 3, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 46
Eb major (3b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0,  ,  ,  ,  ,  ,  ,  , 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 6
A major (3#), 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 3, 3, 2, 1, 3, 3, 2, 1, 2, 1, 1, 1, 2, 1, 0, 1, 48
C minor (3b), 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0,  ,  ,  ,  ,  ,  ,  , 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 12
F# minor (3#), 1, 1, 1, 1, 1, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 2, 3, 2, 0, 2, 3, 2, 0, 2, 1, 1, 0, 2, 1, 0, 0, 35
Ab major (4b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
E major (4#), 2, 1, 1, 2, 2, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 34
F minor (4b), 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 14
C# minor (4#), 1, 1, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 0, 3, 2, 1, 0, 3, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 33
Db major (5b), 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 8
B major (5#), 2, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 28
Bb minor (5b), 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0,  ,  ,  ,  ,  ,  ,  , 1, 0, 1, 2, 1, 0, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 18
G# minor (5#), 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 18
Gb major (6b), 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 1, 3, 2, 0, 1, 3, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 23
F# major (6#), 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0,  ,  ,  ,  ,  ,  ,  , 0, 1, 2, 1, 0, 1, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 15
Eb minor (6b), 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0,  ,  ,  ,  ,  ,  ,  , 0, 2, 2, 1, 0, 2, 2, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 21
D# minor (6#), 1, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1, 0,  ,  ,  ,  ,  ,  ,  , 0, 2, 3, 2, 0, 2, 3, 2, 0, 2, 0, 1, 0, 2, 0, 1, 0, 29
Cb major (7b), 3, 0, 0, 3, 3, 0, 0, 1, 2, 0, 0, 1, 2, 0, 0, 1,  ,  ,  ,  ,  ,  ,  , 1, 3, 4, 2, 1, 3, 4, 2, 1, 2, 0, 0, 1, 2, 0, 0, 1, 43
