 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
C major (0), 0/0, 0/0, 1/1, 0/0, 0/0, 3/2, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 11/9
A minor (0), 0/0, 0/0, 1/0, 0/0, 0/0, 2/2, 0/0, 0/0, 2/1, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 10/6
F major (1b), 0/0, 0/0, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 1/1, 2/1, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 0/0, 0/0, 2/1, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 18/7
G major (1#), 0/0, 0/0, 1/1, 0/0, 0/0, 3/2, 1/0, 1/0, 1/1, 1/1, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 3/2, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 15/9
D minor (1b), 0/0, 0/0, 2/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/1, 2/0, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 0/0, 0/0, 2/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 18/4
E minor (1#), 0/0, 0/0, 1/0, 0/0, 0/0, 3/1, 1/1, 1/0, 2/1, 1/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/1, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 17/6
Bb major (2b), 1/0, 1/0, 3/2, 1/0, 1/0, 3/1, 0/0, 0/0, 2/1, 3/2, 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 1/0, 1/0, 3/2, 1/0, 1/0, 3/1, 0/0, 0/0, 1/1, 0/0, 2/1, 1/1, 0/0, 1/0, 0/0, 0/0, 33/15
D major (2#), 1/0, 1/0, 1/0, 0/0, 0/0, 3/1, 1/0, 1/0, 1/1, 1/1, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 3/1, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 26/6
G minor (2b), 1/0, 1/0, 3/1, 1/0, 1/0, 3/2, 0/0, 0/0, 2/1, 3/1, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/0, 1/0, 3/1, 1/0, 1/0, 3/2, 0/0, 0/0, 1/1, 0/0, 2/0, 1/0, 0/0, 1/0, 0/0, 0/0, 34/10
B minor (2#), 1/0, 1/1, 1/0, 0/0, 0/0, 3/1, 1/1, 1/1, 2/1, 1/1, 1/1, 1/0, 2/2, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 3/1, 1/1, 1/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 28/13
Eb major (3b), 1/2, 1/1, 2/3, 1/1, 2/1, 2/3, 0/0, 0/0, 1/1, 2/2, 0/0, 0/0, 2/2, 2/1, 1/0, 1/1, 1/2, 1/1, 2/3, 1/1, 2/1, 2/3, 0/0, 0/0, 1/1, 0/0, 2/2, 2/1, 1/0, 1/2, 0/0, 0/0, 34/35
A major (3#), 2/1, 1/0, 0/0, 0/0, 1/0, 2/2, 2/0, 1/0, 2/1, 0/0, 1/0, 1/0, 1/1, 0/0, 0/0, 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 2/2, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 29/7
C minor (3b), 1/0, 1/0, 2/1, 1/0, 2/0, 4/2, 0/0, 0/0, 2/1, 2/1, 0/0, 0/0, 3/1, 2/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 2/0, 4/2, 0/0, 0/0, 1/0, 0/0, 2/0, 2/0, 1/0, 1/0, 0/0, 0/0, 40/9
F# minor (3#), 2/1, 1/2, 0/0, 0/0, 1/0, 3/2, 2/1, 1/0, 2/1, 0/1, 1/1, 1/0, 2/2, 0/0, 0/0, 0/0, 2/1, 1/2, 0/0, 0/0, 1/0, 3/2, 2/1, 1/0, 2/1, 1/1, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 33/19
Ab major (4b), 1/2, 2/2, 2/0, 1/0, 3/3, 3/5, 0/0, 0/0, 2/2, 3/2, 1/0, 0/0, 3/5, 4/5, 2/2, 1/1, 1/2, 2/2, 2/0, 1/0, 3/3, 3/5, 0/0, 0/0, 2/1, 1/0, 2/0, 3/2, 2/2, 1/2, 0/0, 0/0, 51/48
E major (4#), 2/0, 2/1, 0/0, 0/0, 1/0, 2/1, 2/1, 1/0, 1/1, 1/1, 2/0, 1/0, 2/1, 1/0, 0/0, 0/0, 2/0, 2/1, 0/0, 0/0, 1/0, 2/1, 2/1, 1/0, 2/0, 2/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 36/9
F minor (4b), 1/0, 2/0, 2/1, 1/0, 2/0, 4/1, 0/0, 0/0, 3/1, 3/1, 1/0, 0/0, 3/1, 3/0, 1/0, 1/0, 1/0, 2/0, 2/1, 1/0, 2/0, 4/1, 0/0, 0/0, 2/1, 1/0, 2/0, 2/0, 1/0, 1/0, 0/0, 0/0, 48/8
