 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 2/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/0, 1/0, 1/1, 1/0, 1/0, 1/1, 1/1, 1/0, 2/1, 1/0, 2/1, 0/0, 1/2, 0/0, 0/0, 2/0, 0/0, 1/0, 1/0, 32/8
A minor (0), 1/1, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0, 1/1, 2/1, 1/2, 1/1, 0/0, 0/0, 1/0, 3/1, 1/0, 1/1, 2/1, 1/0, 1/0, 1/0, 2/1, 2/2, 1/0, 2/1, 0/0, 2/2, 0/0, 0/0, 2/1, 0/0, 1/0, 1/1, 38/19
F major (1b), 1/0, 1/0, 0/0, 2/0, 1/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/0, 0/0, 2/0, 1/0, 1/0, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 22/4
G major (1#), 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 1/1, 2/1, 1/0, 1/0, 0/0, 0/0, 1/0, 3/1, 1/0, 2/1, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/1, 0/0, 1/0, 0/0, 0/0, 2/1, 0/0, 1/0, 2/1, 38/8
D minor (1b), 1/1, 2/1, 0/0, 2/0, 1/0, 2/1, 0/0, 2/1, 1/1, 0/2, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 1/1, 2/1, 0/0, 2/0, 1/0, 2/1, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/0, 1/0, 27/13
E minor (1#), 2/1, 2/1, 1/1, 1/0, 2/0, 2/1, 1/1, 1/0, 2/0, 1/1, 1/1, 0/0, 0/0, 1/2, 3/2, 1/1, 2/2, 2/1, 1/1, 1/0, 2/0, 2/1, 2/2, 1/1, 1/0, 0/0, 2/2, 0/0, 0/0, 2/0, 0/1, 1/0, 2/1, 42/24
Bb major (2b), 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 2/1, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 15/2
D major (2#), 2/1, 2/1, 1/0, 1/0, 2/0, 2/1, 1/0, 1/1, 2/1, 2/2, 2/2, 1/0, 1/0, 1/0, 2/1, 2/0, 3/1, 2/1, 1/0, 1/0, 2/0, 2/1, 3/2, 2/0, 2/1, 1/0, 2/0, 0/0, 1/0, 2/1, 1/1, 1/1, 2/2, 53/21
G minor (2b), 0/0, 1/0, 0/0, 2/0, 1/0, 1/0, 0/0, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 1/0, 0/0, 2/0, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 17/4
B minor (2#), 2/1, 2/1, 1/0, 1/0, 2/0, 2/1, 1/0, 1/0, 2/0, 2/1, 2/1, 1/1, 1/1, 1/0, 2/1, 2/2, 3/1, 2/1, 1/0, 1/0, 2/0, 2/1, 3/2, 2/1, 1/0, 1/2, 3/4, 0/0, 1/0, 2/0, 1/1, 1/0, 2/1, 53/24
