 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, rowcost
C major (0), 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/0, 2/1, 0/0, 3/4, 0/0, 0/0, 0/0, 0/0, 0/0, 18/11
A minor (0), 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 1/0, 2/1, 1/1, 0/0, 2/3, 0/0, 0/0, 0/0, 0/0, 0/0, 14/10
F major (1b), 2/1, 0/0, 2/1, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 3/1, 1/0, 2/1, 0/0, 2/4, 0/0, 1/0, 0/0, 0/0, 0/0, 22/11
G major (1#), 3/4, 0/0, 3/4, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 2/1, 1/0, 3/1, 0/0, 3/4, 0/0, 0/0, 0/0, 0/0, 0/0, 21/17
D minor (1b), 2/1, 0/0, 2/1, 0/0, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 1/1, 0/0, 2/0, 2/1, 2/1, 0/0, 1/3, 0/0, 1/0, 0/0, 0/0, 0/0, 21/11
E minor (1#), 2/3, 0/0, 2/3, 0/0, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/2, 0/0, 1/0, 0/0, 1/1, 2/1, 2/1, 0/0, 3/3, 0/0, 0/0, 0/0, 0/0, 0/0, 15/15
Bb major (2b), 1/1, 1/0, 1/1, 1/0, 2/1, 2/1, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 1/1, 2/1, 1/0, 1/0, 2/1, 0/0, 2/1, 0/0, 2/1, 0/0, 3/3, 1/0, 1/1, 1/0, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 33/17
D major (2#), 3/1, 0/0, 3/1, 0/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/1, 1/0, 3/3, 1/0, 2/1, 1/0, 2/0, 2/1, 3/1, 0/0, 2/1, 0/0, 1/1, 1/0, 1/0, 1/0, 37/12
G minor (2b), 1/1, 1/0, 1/1, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 3/1, 1/0, 1/1, 1/0, 2/4, 0/0, 1/1, 0/0, 0/0, 0/0, 27/12
B minor (2#), 3/3, 0/0, 3/3, 0/0, 1/3, 1/1, 0/0, 0/0, 1/1, 1/0, 1/3, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/2, 1/0, 1/0, 1/0, 2/1, 2/1, 3/3, 0/0, 3/3, 0/0, 1/3, 1/0, 1/0, 1/0, 35/27
Eb major (3b), 1/1, 1/1, 1/1, 1/1, 2/1, 2/2, 0/0, 0/0, 2/1, 0/0, 2/1, 0/0, 2/2, 2/1, 1/1, 1/1, 2/2, 0/0, 2/1, 0/0, 2/2, 0/0, 2/3, 0/0, 1/1, 1/1, 1/1, 1/0, 2/1, 0/0, 0/0, 0/0, 32/26
A major (3#), 2/1, 0/0, 2/1, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/1, 1/0, 3/1, 1/0, 2/1, 1/0, 1/0, 1/1, 2/1, 0/0, 1/3, 0/0, 1/0, 1/0, 1/0, 1/0, 32/11
C minor (3b), 1/1, 1/0, 1/1, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 2/0, 1/0, 1/0, 1/0, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 2/1, 0/0, 1/1, 1/0, 1/4, 1/0, 1/0, 0/0, 0/0, 0/0, 26/11
F# minor (3#), 3/1, 0/0, 3/1, 0/0, 1/1, 3/1, 0/0, 0/0, 1/1, 1/1, 1/1, 1/1, 2/3, 1/1, 0/0, 0/0, 1/0, 1/3, 2/2, 1/1, 1/0, 1/3, 2/2, 1/1, 3/4, 0/0, 2/3, 0/0, 1/1, 1/1, 1/1, 1/1, 36/35
Ab major (4b), 1/1, 1/1, 1/1, 1/1, 3/1, 3/2, 1/0, 1/0, 3/1, 0/0, 3/1, 0/0, 3/3, 2/1, 1/1, 1/1, 3/2, 0/0, 3/1, 0/0, 3/2, 0/0, 3/4, 0/0, 1/1, 1/1, 2/2, 2/2, 3/1, 1/0, 0/0, 0/0, 47/31
E major (4#), 1/3, 0/0, 1/3, 0/0, 2/3, 3/1, 1/0, 1/0, 2/1, 1/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 1/0, 3/2, 1/0, 2/0, 1/0, 1/1, 1/1, 1/3, 0/0, 2/3, 0/0, 2/1, 2/0, 1/0, 1/0, 38/22
