 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 15/0
A minor (0), 0/0, 0/0, 1/1, 2/1, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 2/1, 0/0, 0/0, 0/0, 1/1, 2/1, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 1/0, 17/7
F major (1b), 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 8/1
G major (1#), 1/0, 0/0, 2/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/0, 1/0, 2/0, 1/0, 0/0, 0/0, 1/1, 0/0, 1/0, 1/0, 24/3
D minor (1b), 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 8/0
E minor (1#), 1/0, 0/0, 2/1, 2/1, 1/0, 1/1, 1/1, 0/0, 1/0, 1/1, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/0, 3/1, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 1/1, 26/11
Bb major (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1
D major (2#), 1/0, 1/0, 2/1, 2/0, 2/0, 1/0, 2/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 1/0, 1/0, 1/1, 1/1, 2/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 31/4
G minor (2b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0
B minor (2#), 1/0, 1/1, 2/0, 3/2, 2/1, 1/0, 2/1, 0/0, 1/0, 1/1, 2/1, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 3/2, 0/0, 1/0, 1/0, 1/0, 1/0, 2/2, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 1/0, 33/16
Eb major (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 5/1
A major (3#), 1/0, 1/0, 2/1, 3/1, 2/0, 1/0, 2/1, 0/0, 1/0, 1/0, 2/1, 2/1, 2/0, 0/0, 1/0, 0/0, 1/0, 1/1, 2/0, 3/1, 1/0, 1/0, 1/0, 1/0, 1/0, 2/2, 1/1, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 41/10
C minor (3b), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 5/1
F# minor (3#), 1/0, 1/1, 2/0, 3/2, 2/0, 1/0, 2/0, 0/0, 1/0, 1/1, 2/0, 2/1, 2/1, 0/0, 1/0, 0/0, 1/0, 1/1, 2/1, 3/1, 1/0, 1/1, 1/1, 1/0, 1/0, 2/0, 1/0, 1/1, 1/1, 1/0, 0/0, 1/0, 1/0, 41/13
Ab major (4b), 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 3/2, 0/0, 2/2, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 2/4, 2/2, 0/0, 1/0, 0/0, 0/0, 24/10
E major (4#), 1/0, 2/0, 1/1, 2/1, 2/0, 1/0, 2/1, 1/0, 2/0, 1/1, 2/1, 2/1, 2/1, 1/0, 2/0, 1/0, 2/0, 2/1, 2/1, 2/2, 2/0, 1/0, 2/0, 0/0, 0/0, 2/1, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 47/12
F minor (4b), 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 19/0
C# minor (4#), 1/0, 2/1, 1/0, 2/1, 2/0, 1/0, 2/0, 1/0, 2/0, 1/1, 2/0, 3/2, 3/2, 1/0, 3/2, 1/0, 3/2, 2/1, 3/2, 2/1, 3/2, 1/0, 2/1, 0/0, 0/0, 2/0, 2/0, 2/2, 2/2, 0/0, 1/0, 1/0, 1/0, 55/22
Db major (5b), 0/0, 2/2, 0/0, 2/2, 0/0, 0/0, 0/0, 2/2, 2/2, 3/2, 0/0, 3/2, 1/0, 2/2, 3/2, 2/2, 3/2, 3/2, 1/0, 2/2, 3/2, 0/0, 2/2, 0/0, 0/0, 0/0, 2/2, 3/4, 3/2, 0/0, 2/2, 0/0, 0/0, 46/38
B major (5#), 1/0, 2/1, 1/0, 2/2, 2/1, 0/0, 1/1, 1/0, 2/0, 2/1, 1/1, 3/1, 2/1, 1/0, 2/0, 1/0, 2/0, 2/1, 2/1, 2/1, 2/0, 1/0, 2/1, 0/0, 0/0, 1/0, 2/0, 2/0, 2/0, 0/0, 1/0, 0/0, 0/0, 45/13
Bb minor (5b), 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 2/0, 1/0, 1/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 0/0, 0/0, 26/0
G# minor (5#), 1/0, 3/1, 1/0, 3/1, 2/0, 0/0, 1/0, 2/0, 3/0, 2/1, 1/0, 4/2, 3/2, 2/2, 4/4, 2/2, 4/4, 2/3, 3/3, 3/0, 4/4, 1/0, 3/2, 0/0, 0/0, 1/0, 3/0, 3/2, 3/1, 0/0, 2/0, 0/0, 0/0, 66/34
Gb major (6b), 0/0, 3/2, 0/0, 3/2, 1/0, 0/0, 1/0, 2/2, 2/2, 3/2, 1/0, 4/4, 2/2, 2/2, 4/4, 2/2, 4/4, 3/2, 2/2, 2/2, 4/4, 1/0, 3/2, 0/0, 0/0, 0/0, 2/2, 4/6, 4/4, 0/0, 2/2, 0/0, 0/0, 61/54
F# major (6#), 0/0, 2/1, 0/0, 2/2, 1/0, 0/0, 1/0, 1/0, 1/0, 2/1, 1/0, 2/1, 1/1, 1/0, 2/0, 1/0, 2/0, 2/1, 1/1, 1/1, 2/0, 1/0, 2/1, 0/0, 0/0, 0/0, 1/0, 2/1, 2/1, 0/0, 1/0, 0/0, 0/0, 35/12
Eb minor (6b), 0/0, 2/0, 0/0, 2/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 2/0, 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 0/0, 0/0, 0/0, 1/0, 2/0, 2/0, 0/0, 1/0, 0/0, 0/0, 33/1
D# minor (6#), 0/0, 3/1, 0/0, 3/1, 1/0, 0/0, 1/0, 2/0, 2/0, 2/0, 1/0, 4/4, 2/2, 2/0, 4/4, 2/2, 4/4, 2/3, 2/2, 2/0, 4/4, 1/0, 3/2, 0/0, 0/0, 0/0, 2/0, 4/4, 4/2, 0/0, 2/0, 0/0, 0/0, 59/35
Cb major (7b), 1/0, 4/4, 1/0, 4/4, 3/2, 0/0, 2/2, 2/2, 3/2, 3/2, 2/2, 5/4, 3/2, 2/2, 4/4, 2/2, 4/4, 3/2, 3/2, 3/2, 4/4, 2/2, 4/4, 0/0, 0/0, 1/0, 3/2, 4/6, 4/4, 0/0, 2/2, 0/0, 0/0, 78/68
C# major (7#), 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 2/1, 0/0, 3/2, 2/2, 1/0, 3/2, 1/0, 3/2, 2/1, 2/2, 1/1, 3/2, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 3/2, 3/2, 0/0, 1/0, 0/0, 0/0, 36/22
Ab minor (7b), 1/0, 2/0, 1/0, 2/0, 2/0, 0/0, 1/0, 1/0, 2/0, 3/2, 1/0, 4/3, 2/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 2/0, 2/0, 1/0, 2/0, 0/0, 0/0, 1/0, 2/0, 3/4, 3/2, 0/0, 1/0, 0/0, 0/0, 48/11
A# minor (7#), 0/0, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 2/0, 2/0, 2/0, 0/0, 4/2, 2/1, 2/0, 4/4, 2/2, 4/4, 2/3, 2/2, 2/0, 4/4, 0/0, 2/2, 0/0, 0/0, 0/0, 2/0, 4/4, 4/2, 0/0, 2/0, 0/0, 0/0, 52/32
