 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 2/0, 1/3, 2/1, 0/0, 1/1, 1/0, 1/0, 2/2, 3/2, 1/0, 2/1, 4/2, 2/1, 2/1, 3/2, 1/0, 32/16
A minor (0), 0/0, 1/0, 0/0, 3/3, 1/0, 1/0, 2/1, 3/3, 2/0, 0/0, 2/1, 1/0, 1/0, 2/0, 3/2, 1/0, 2/2, 4/2, 3/1, 3/2, 3/4, 1/0, 39/21
F major (1b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 2/2, 2/2, 0/0, 1/1, 2/1, 1/1, 1/0, 2/1, 0/0, 16/8
G major (1#), 1/0, 1/0, 1/0, 3/3, 1/0, 1/0, 2/0, 3/3, 2/0, 0/0, 3/1, 1/0, 1/0, 1/1, 2/5, 2/3, 2/3, 5/1, 3/1, 2/0, 4/1, 1/0, 42/22
D minor (1b), 0/0, 0/0, 0/0, 3/3, 0/0, 0/0, 1/0, 3/3, 1/0, 0/0, 2/1, 0/0, 0/0, 2/2, 2/2, 0/0, 1/2, 3/2, 2/1, 1/1, 2/2, 0/0, 23/19
E minor (1#), 1/0, 1/1, 1/0, 3/3, 1/1, 2/2, 2/2, 3/3, 2/1, 0/0, 3/1, 1/3, 1/1, 1/2, 2/2, 2/1, 5/2, 5/3, 3/1, 4/2, 4/6, 1/1, 48/38
Bb major (2b), 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 3/2, 3/2, 0/0, 1/1, 1/1, 2/1, 0/0, 1/0, 0/0, 15/7
D major (2#), 1/0, 1/0, 1/0, 2/3, 1/0, 1/0, 2/0, 2/3, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/2, 2/0, 3/3, 5/2, 2/1, 3/2, 5/2, 1/0, 41/19
G minor (2b), 0/0, 0/0, 0/0, 3/3, 0/0, 0/0, 0/0, 3/3, 1/1, 0/0, 2/1, 0/0, 0/0, 3/1, 3/5, 0/2, 1/1, 2/1, 3/2, 0/0, 1/1, 0/0, 22/21
B minor (2#), 1/0, 1/0, 1/0, 2/1, 1/0, 2/1, 2/0, 2/1, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 2/0, 2/2, 6/2, 3/3, 2/1, 5/3, 5/5, 1/0, 45/20
Eb major (3b), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/2, 2/1, 0/0, 2/1, 1/1, 2/2, 1/0, 0/0, 0/0, 16/7
A major (3#), 1/0, 1/0, 1/0, 2/3, 1/0, 1/0, 2/1, 2/3, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 1/2, 3/0, 2/2, 6/6, 3/4, 5/3, 6/3, 1/0, 44/28
C minor (3b), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/2, 2/2, 0/1, 2/1, 2/1, 2/2, 1/1, 0/0, 0/0, 17/10
F# minor (3#), 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 1/3, 3/2, 5/4, 4/3, 3/1, 6/4, 6/6, 1/0, 45/24
Ab major (4b), 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/4, 2/3, 1/1, 6/5, 1/1, 3/2, 3/2, 0/0, 0/0, 22/22
E major (4#), 1/0, 1/0, 1/2, 2/1, 1/0, 2/1, 1/0, 2/1, 1/0, 1/1, 2/2, 1/0, 1/0, 0/0, 1/2, 4/2, 6/2, 5/3, 4/1, 5/3, 5/5, 1/0, 48/26
F minor (4b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/2, 2/2, 1/0, 3/1, 1/2, 3/1, 2/1, 0/1, 0/0, 16/10
C# minor (4#), 1/0, 1/0, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 1/2, 5/3, 6/4, 5/2, 5/3, 6/6, 5/8, 1/0, 49/29
Db major (5b), 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 1/2, 1/1, 3/2, 7/7, 2/1, 4/4, 5/6, 1/0, 0/0, 28/27
B major (5#), 1/0, 0/0, 1/0, 2/1, 0/0, 1/1, 0/0, 2/1, 0/0, 2/1, 2/1, 0/0, 0/0, 0/0, 0/0, 3/2, 5/4, 2/1, 3/1, 4/3, 4/5, 0/0, 32/21
Bb minor (5b), 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/2, 1/2, 2/1, 3/2, 2/1, 4/2, 3/0, 1/1, 0/0, 19/11
G# minor (5#), 1/0, 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 2/0, 2/0, 0/0, 0/0, 0/0, 0/2, 5/6, 6/6, 4/5, 6/5, 6/8, 4/3, 0/0, 40/36
Gb major (6b), 0/0, 0/0, 0/0, 1/0, 0/0, 2/2, 0/0, 1/0, 0/0, 3/2, 1/0, 0/0, 0/0, 1/0, 1/0, 4/4, 8/6, 2/3, 6/6, 7/8, 4/2, 0/0, 41/33
F# major (6#), 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 1/0, 1/0, 2/2, 5/4, 1/1, 4/1, 4/5, 3/4, 0/0, 27/18
Eb minor (6b), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 2/0, 1/0, 0/0, 0/0, 1/2, 1/1, 2/0, 4/2, 2/1, 5/2, 4/1, 2/0, 0/0, 27/9
D# minor (6#), 0/0, 0/0, 0/0, 1/0, 0/0, 2/0, 0/0, 1/0, 0/0, 3/0, 1/0, 0/0, 0/0, 1/2, 1/1, 4/2, 6/3, 3/2, 7/5, 7/9, 3/3, 0/0, 40/27
Cb major (7b), 1/0, 0/0, 1/0, 3/2, 0/0, 2/2, 0/0, 3/2, 0/0, 4/4, 3/2, 0/0, 0/0, 0/0, 0/0, 5/4, 9/10, 3/3, 6/8, 8/10, 6/4, 0/0, 54/51
C# major (7#), 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/2, 3/3, 4/4, 3/2, 4/4, 4/6, 2/2, 0/0, 24/25
Ab minor (7b), 1/0, 0/0, 1/0, 1/0, 0/0, 2/2, 0/0, 1/0, 0/0, 3/2, 2/0, 0/0, 0/0, 0/0, 0/0, 3/1, 7/4, 3/1, 4/2, 5/2, 3/0, 0/0, 36/14
A# minor (7#), 0/0, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 2/4, 2/2, 4/4, 5/3, 3/2, 7/7, 6/10, 2/2, 0/0, 35/34
