 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, rowcost
C major (0), 2/1, 3/1, 3/2, 1/1, 3/1, 3/1, 3/2, 0/0, 0/0, 3/2, 1/1, 2/1, 24/13
A minor (0), 1/1, 2/1, 3/1, 2/2, 2/1, 3/3, 3/1, 0/0, 0/0, 3/1, 1/1, 1/0, 21/12
F major (1b), 2/1, 2/1, 3/2, 1/1, 2/1, 2/1, 3/2, 0/0, 0/0, 3/2, 1/1, 2/1, 21/13
G major (1#), 3/1, 3/1, 3/2, 2/1, 3/1, 3/3, 3/2, 1/0, 1/0, 3/2, 2/1, 1/0, 28/14
D minor (1b), 2/1, 1/1, 2/1, 2/2, 1/1, 2/3, 2/1, 0/0, 0/0, 2/1, 1/1, 1/0, 16/12
E minor (1#), 2/1, 2/3, 4/5, 2/2, 2/3, 2/3, 4/5, 1/0, 1/0, 4/5, 2/2, 1/0, 27/29
Bb major (2b), 1/1, 2/1, 4/2, 1/1, 2/1, 3/1, 4/2, 0/0, 0/0, 4/2, 2/1, 2/1, 25/13
D major (2#), 3/1, 2/1, 2/1, 1/2, 2/1, 4/3, 2/1, 1/0, 1/0, 2/1, 2/1, 0/0, 22/12
G minor (2b), 1/1, 2/1, 3/1, 2/2, 2/1, 2/3, 3/1, 0/0, 0/0, 3/1, 2/1, 1/0, 21/12
B minor (2#), 2/3, 2/3, 5/5, 1/2, 2/3, 3/3, 5/5, 1/3, 1/3, 5/5, 4/5, 0/0, 31/40
Eb major (3b), 2/1, 1/1, 4/2, 1/1, 1/1, 3/1, 4/2, 0/0, 0/0, 4/2, 2/1, 2/2, 24/14
A major (3#), 2/1, 3/1, 4/4, 1/2, 3/3, 4/2, 4/4, 1/0, 1/0, 4/1, 3/1, 0/0, 30/19
C minor (3b), 1/1, 1/1, 4/2, 1/1, 1/1, 2/1, 4/2, 0/0, 0/0, 4/2, 2/2, 2/2, 22/15
F# minor (3#), 2/3, 3/3, 6/5, 1/2, 3/3, 2/1, 6/4, 1/0, 1/0, 6/4, 5/4, 0/0, 36/29
Ab major (4b), 3/1, 3/2, 3/2, 2/1, 3/2, 2/1, 3/3, 1/0, 0/0, 3/3, 3/3, 1/2, 27/20
E major (4#), 3/3, 3/3, 3/4, 2/2, 3/3, 3/1, 3/5, 2/0, 1/0, 3/5, 4/2, 1/0, 31/28
F minor (4b), 2/1, 1/1, 3/2, 2/1, 1/1, 1/1, 3/2, 1/0, 0/0, 3/2, 3/1, 1/1, 21/13
C# minor (4#), 3/3, 3/5, 6/6, 2/1, 3/1, 2/1, 6/6, 2/0, 1/0, 6/6, 7/6, 1/0, 42/35
Db major (5b), 5/3, 4/2, 5/4, 2/3, 4/2, 2/1, 5/3, 2/2, 0/0, 5/3, 6/3, 2/4, 42/30
B major (5#), 3/3, 4/3, 5/5, 2/2, 4/3, 2/1, 5/4, 2/0, 1/0, 5/5, 6/4, 1/0, 40/30
Bb minor (5b), 2/1, 2/1, 4/2, 2/1, 2/1, 2/1, 4/2, 1/0, 0/0, 4/2, 4/2, 1/2, 28/15
G# minor (5#), 3/1, 4/1, 7/7, 4/2, 4/1, 1/1, 7/7, 3/2, 1/0, 7/7, 7/8, 2/4, 50/41
Gb major (6b), 5/3, 6/4, 6/5, 3/3, 6/4, 1/1, 6/5, 2/2, 0/0, 6/5, 7/5, 2/4, 50/41
F# major (6#), 4/2, 4/2, 4/5, 2/2, 4/3, 1/1, 4/3, 1/0, 0/0, 4/3, 5/3, 1/0, 34/24
Eb minor (6b), 3/1, 2/1, 4/2, 3/1, 2/1, 1/1, 4/2, 1/0, 0/0, 4/2, 4/1, 1/2, 29/14
D# minor (6#), 4/1, 4/2, 6/5, 4/4, 4/2, 1/1, 6/5, 2/0, 0/0, 6/5, 6/3, 2/4, 45/32
Cb major (7b), 4/4, 6/4, 7/5, 4/7, 6/4, 3/2, 7/5, 3/2, 1/0, 7/5, 8/5, 2/4, 58/47
C# major (7#), 4/2, 4/1, 5/6, 1/1, 4/1, 2/1, 5/6, 1/0, 0/0, 5/4, 6/4, 1/0, 38/26
Ab minor (7b), 2/3, 4/3, 5/2, 3/1, 4/2, 1/1, 5/2, 2/0, 1/0, 5/2, 5/1, 1/2, 38/19
A# minor (7#), 4/2, 4/2, 7/9, 3/2, 4/2, 2/1, 7/9, 2/2, 0/0, 7/6, 7/4, 2/4, 49/43
