 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 6
A minor (0), 0, 1, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 2, 1, 0, 15
F major (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
G major (1#), 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 2, 1, 1, 17
D minor (1b), 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 18
E minor (1#), 2, 1, 1, 2, 0, 2, 1, 0, 1, 1, 1, 2, 2, 1, 1, 1, 1, 0, 2, 1, 1, 2, 0, 3, 1, 1, 31
Bb major (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
D major (2#), 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 35
G minor (2b), 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 2, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 15
B minor (2#), 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 2, 1, 38
Eb major (3b), 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 3, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 13
A major (3#), 2, 2, 1, 2, 1, 3, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 4, 2, 1, 44
C minor (3b), 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 2, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 2, 1, 0, 18
F# minor (3#), 1, 2, 1, 2, 1, 3, 1, 1, 1, 0, 3, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 4, 1, 0, 39
Ab major (4b), 1, 1, 3, 1, 0, 1, 2, 0, 2, 0, 4, 2, 2, 1, 2, 0, 2, 0, 1, 1, 3, 1, 0, 2, 2, 0, 34
E major (4#), 3, 3, 2, 3, 1, 4, 2, 1, 2, 1, 2, 3, 2, 2, 2, 2, 2, 1, 3, 3, 2, 3, 1, 5, 2, 1, 58
F minor (4b), 1, 1, 2, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 2, 1, 0, 1, 1, 0, 21
C# minor (4#), 2, 3, 1, 2, 0, 4, 3, 0, 3, 1, 3, 2, 3, 1, 1, 1, 3, 0, 2, 3, 1, 2, 0, 5, 3, 1, 50
Db major (5b), 2, 3, 4, 2, 0, 3, 3, 0, 3, 0, 5, 3, 3, 2, 3, 0, 3, 0, 2, 3, 4, 2, 0, 3, 3, 0, 56
B major (5#), 3, 3, 3, 2, 1, 3, 3, 1, 3, 1, 3, 2, 3, 2, 2, 1, 3, 1, 3, 3, 3, 2, 1, 4, 3, 1, 60
Bb minor (5b), 1, 2, 1, 1, 0, 2, 1, 0, 1, 0, 2, 2, 2, 1, 2, 0, 1, 0, 1, 2, 1, 1, 0, 1, 1, 0, 26
G# minor (5#), 4, 3, 4, 3, 1, 3, 2, 1, 2, 1, 2, 3, 4, 3, 3, 1, 2, 1, 4, 3, 4, 3, 1, 3, 2, 1, 64
Gb major (6b), 3, 5, 5, 3, 1, 5, 4, 1, 4, 0, 6, 4, 3, 3, 4, 1, 4, 1, 3, 5, 5, 3, 1, 5, 4, 0, 83
F# major (6#), 2, 3, 3, 2, 1, 3, 2, 1, 2, 0, 4, 3, 2, 2, 3, 1, 2, 1, 2, 3, 3, 2, 1, 3, 2, 0, 53
Eb minor (6b), 1, 2, 2, 1, 1, 2, 2, 1, 2, 0, 4, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 3, 2, 0, 40
D# minor (6#), 1, 3, 3, 1, 1, 3, 4, 1, 4, 0, 6, 2, 1, 1, 2, 1, 4, 1, 1, 3, 3, 1, 1, 5, 4, 0, 57
Cb major (7b), 5, 6, 6, 4, 2, 6, 5, 2, 5, 1, 5, 4, 4, 4, 4, 2, 5, 2, 5, 6, 6, 4, 2, 7, 5, 1, 108
C# major (7#), 1, 3, 2, 1, 0, 3, 3, 0, 3, 0, 5, 2, 2, 1, 2, 0, 3, 0, 1, 3, 2, 1, 0, 3, 3, 0, 44
Ab minor (7b), 3, 2, 4, 2, 1, 2, 3, 1, 3, 1, 3, 2, 3, 2, 2, 1, 3, 1, 3, 2, 4, 2, 1, 4, 3, 1, 59
A# minor (7#), 2, 4, 2, 2, 0, 4, 2, 0, 2, 0, 4, 4, 4, 2, 4, 0, 2, 0, 2, 4, 2, 2, 0, 2, 2, 0, 52
