 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, rowcost
C major (0), 0/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 3/1, 2/0, 1/0, 1/0, 2/1, 1/0, 2/0, 3/1, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 23/4
A minor (0), 0/0, 1/1, 1/1, 1/0, 0/0, 0/0, 1/1, 0/0, 1/0, 3/3, 2/0, 1/1, 1/1, 2/2, 1/0, 2/0, 3/1, 2/0, 1/1, 0/0, 0/0, 0/0, 0/0, 23/12
F major (1b), 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 0/0, 3/1, 1/1, 1/0, 1/0, 2/0, 1/0, 2/0, 2/1, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 20/5
G major (1#), 1/0, 1/1, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 4/1, 1/0, 2/0, 2/0, 2/1, 1/1, 2/1, 2/2, 2/1, 2/2, 0/0, 1/0, 1/0, 1/0, 29/11
D minor (1b), 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/2, 1/0, 1/0, 1/1, 2/1, 1/0, 2/1, 2/1, 3/1, 1/0, 0/0, 0/0, 0/0, 0/0, 20/7
E minor (1#), 1/1, 1/1, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 4/2, 1/0, 2/1, 2/0, 2/0, 1/0, 2/0, 2/0, 2/0, 2/1, 0/0, 1/0, 1/0, 1/0, 29/7
Bb major (2b), 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/0, 2/0, 1/0, 2/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 14/3
D major (2#), 1/0, 2/1, 1/0, 0/0, 1/0, 0/0, 2/1, 0/0, 1/0, 4/2, 1/0, 2/0, 2/1, 1/1, 1/0, 1/1, 2/1, 1/1, 2/2, 1/1, 1/1, 1/1, 1/1, 29/15
G minor (2b), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/1, 2/0, 1/1, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 14/7
B minor (2#), 1/1, 2/1, 1/0, 0/0, 1/1, 0/0, 2/0, 0/0, 1/0, 3/1, 1/0, 2/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 1/1, 1/0, 1/0, 1/0, 28/5
Eb major (3b), 1/0, 0/0, 0/0, 1/1, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/1, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 11/3
A major (3#), 2/1, 2/1, 2/0, 0/0, 1/0, 0/0, 2/0, 0/0, 1/0, 3/2, 1/1, 2/1, 1/1, 1/0, 0/0, 1/0, 1/1, 1/0, 2/1, 1/1, 1/1, 1/1, 1/1, 27/13
C minor (3b), 1/0, 0/1, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/1, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 11/5
F# minor (3#), 2/1, 2/1, 2/0, 0/0, 1/0, 0/0, 2/1, 0/0, 1/0, 2/0, 1/0, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 1/0, 26/4
Ab major (4b), 2/2, 1/0, 0/0, 1/0, 1/0, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/1, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 14/4
E major (4#), 2/1, 3/1, 1/0, 0/0, 2/0, 0/0, 1/0, 1/0, 2/0, 2/1, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/1, 2/1, 1/1, 1/1, 1/1, 24/10
F minor (4b), 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 13/3
C# minor (4#), 3/2, 3/1, 2/2, 0/0, 2/0, 0/0, 1/0, 1/0, 2/0, 1/1, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 25/7
Db major (5b), 3/3, 2/2, 1/0, 0/0, 2/2, 1/1, 0/0, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 1/0, 0/0, 2/2, 0/0, 0/0, 0/0, 17/15
B major (5#), 3/1, 2/1, 1/0, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/1, 1/0, 1/0, 1/0, 20/3
Bb minor (5b), 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 11/0
G# minor (5#), 4/2, 3/3, 2/0, 0/0, 3/2, 0/0, 1/0, 2/2, 2/2, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/1, 1/0, 1/0, 1/0, 27/13
Gb major (6b), 4/4, 3/2, 2/2, 0/0, 2/2, 1/0, 1/0, 2/2, 2/2, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 0/0, 21/16
F# major (6#), 2/1, 2/1, 1/1, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 0/0, 13/4
Eb minor (6b), 2/1, 2/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 2/0, 0/0, 0/0, 0/0, 13/2
D# minor (6#), 4/4, 3/1, 2/0, 0/0, 2/0, 1/0, 1/0, 2/2, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 3/1, 0/0, 0/0, 0/0, 21/8
Cb major (7b), 5/4, 4/4, 2/2, 0/0, 3/2, 0/0, 2/2, 2/2, 2/2, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 4/4, 1/0, 1/0, 1/0, 31/22
C# major (7#), 3/2, 1/1, 2/0, 0/0, 1/0, 1/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 13/5
Ab minor (7b), 4/2, 2/0, 1/0, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 1/0, 1/0, 1/0, 21/2
A# minor (7#), 4/2, 2/1, 2/0, 0/0, 2/0, 2/2, 0/0, 2/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 21/8
