 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 2/1, 1/1, 2/1, 1/1, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 1/0, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 2/1, 18/9
A minor (0), 1/0, 1/1, 1/1, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 1/1, 0/0, 1/1, 1/0, 0/1, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 14/8
F major (1b), 2/1, 1/1, 2/1, 2/1, 2/1, 2/1, 1/1, 1/0, 1/0, 1/0, 1/0, 1/1, 2/1, 0/0, 2/1, 0/0, 2/1, 1/2, 1/0, 1/0, 0/0, 0/0, 1/1, 0/0, 2/1, 29/15
G major (1#), 1/0, 0/0, 3/2, 1/1, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 10/6
D minor (1b), 1/0, 1/0, 2/1, 2/0, 1/0, 2/1, 1/0, 1/0, 1/0, 1/0, 1/1, 1/0, 2/1, 0/0, 2/0, 0/0, 1/0, 1/0, 1/0, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 25/5
E minor (1#), 1/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 9/4
Bb major (2b), 2/1, 1/1, 1/1, 2/3, 2/1, 1/1, 1/1, 1/3, 1/1, 1/3, 1/1, 1/1, 1/1, 1/0, 3/2, 0/0, 2/1, 1/2, 1/1, 2/1, 0/0, 0/0, 1/1, 0/0, 2/1, 29/28
D major (2#), 0/0, 0/0, 3/1, 1/0, 0/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 10/3
G minor (2b), 1/0, 1/0, 1/1, 2/1, 1/0, 2/1, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 1/1, 1/0, 3/0, 0/0, 1/1, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 1/1, 26/7
B minor (2#), 0/0, 0/0, 3/1, 1/1, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/1, 1/0, 1/1, 0/0, 0/0, 0/0, 0/1, 0/0, 0/1, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 10/6
Eb major (3b), 2/1, 2/1, 1/1, 3/3, 2/1, 1/1, 2/1, 1/3, 1/1, 2/3, 2/1, 2/1, 1/1, 1/2, 3/3, 1/0, 3/1, 2/2, 2/1, 3/2, 0/0, 0/0, 1/1, 0/0, 2/1, 40/32
A major (3#), 0/0, 1/0, 2/1, 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 2/0, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 1/0, 1/0, 1/0, 1/0, 1/0, 18/5
C minor (3b), 2/1, 2/0, 1/1, 3/1, 1/0, 2/1, 2/1, 1/0, 1/0, 2/0, 2/0, 2/1, 1/0, 1/0, 3/1, 1/0, 3/1, 2/0, 2/1, 3/0, 0/0, 0/0, 1/0, 0/0, 2/1, 40/10
F# minor (3#), 0/0, 1/1, 3/1, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/2, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 1/1, 2/1, 1/0, 1/0, 1/3, 1/0, 1/0, 20/11
Ab major (4b), 1/1, 3/5, 1/1, 3/2, 2/1, 2/2, 2/3, 1/0, 1/0, 3/2, 4/3, 3/3, 2/1, 1/2, 3/1, 2/2, 3/3, 3/2, 4/3, 4/4, 0/0, 1/0, 1/0, 0/0, 1/1, 51/42
