 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 3, 1, 0, 2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 1, 3, 1, 0, 2, 1, 1, 2, 1, 0, 25
A minor (0), 3, 1, 0, 3, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1, 2, 0, 1, 3, 1, 0, 3, 1, 1, 0, 1, 1, 30
F major (1b), 3, 1, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 1, 1, 0, 0, 2, 0, 0, 17
G major (1#), 2, 2, 0, 2, 1, 1, 0, 0, 2, 1, 0, 1, 0, 2, 1, 1, 1, 1, 2, 2, 0, 2, 1, 1, 2, 1, 0, 29
D minor (1b), 1, 1, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 2, 2, 0, 1, 1, 1, 0, 20
E minor (1#), 4, 1, 1, 2, 1, 4, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 1, 0, 4, 1, 1, 2, 1, 4, 1, 1, 0, 37
Bb major (2b), 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 12
D major (2#), 1, 2, 1, 3, 1, 2, 0, 0, 1, 2, 0, 1, 0, 2, 1, 2, 1, 1, 1, 2, 1, 3, 1, 2, 1, 2, 0, 34
G minor (2b), 1, 1, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 14
B minor (2#), 2, 2, 1, 3, 0, 3, 1, 1, 2, 1, 0, 1, 0, 1, 1, 1, 1, 1, 2, 2, 1, 3, 0, 3, 2, 1, 0, 36
Eb major (3b), 2, 0, 2, 0, 0, 1, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1, 3, 0, 0, 18
A major (3#), 2, 2, 1, 4, 1, 2, 0, 0, 0, 2, 1, 2, 1, 3, 2, 3, 1, 1, 2, 2, 1, 4, 1, 2, 0, 2, 1, 43
C minor (3b), 2, 0, 0, 1, 1, 2, 1, 1, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 2, 3, 1, 0, 24
F# minor (3#), 2, 1, 3, 4, 1, 4, 0, 0, 0, 2, 1, 1, 1, 2, 1, 3, 0, 1, 2, 1, 3, 4, 1, 4, 0, 2, 1, 45
Ab major (4b), 3, 0, 3, 1, 0, 4, 2, 2, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 3, 1, 0, 4, 2, 0, 0, 31
E major (4#), 3, 1, 2, 3, 1, 5, 0, 0, 0, 2, 1, 2, 1, 3, 2, 4, 1, 0, 3, 1, 2, 3, 1, 5, 0, 2, 1, 49
F minor (4b), 4, 1, 2, 2, 0, 2, 1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 1, 2, 2, 0, 2, 3, 0, 0, 32
C# minor (4#), 3, 1, 3, 2, 1, 4, 0, 0, 0, 1, 2, 3, 2, 4, 3, 4, 1, 0, 3, 1, 3, 2, 1, 4, 0, 1, 2, 51
Db major (5b), 5, 0, 4, 2, 0, 5, 2, 2, 2, 0, 1, 1, 1, 1, 1, 3, 0, 0, 5, 0, 4, 2, 0, 5, 2, 0, 1, 49
B major (5#), 3, 1, 2, 2, 0, 4, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 1, 0, 3, 1, 2, 2, 0, 4, 1, 1, 1, 43
Bb minor (5b), 3, 0, 3, 1, 0, 1, 0, 0, 2, 0, 1, 1, 1, 1, 1, 2, 0, 0, 3, 0, 3, 1, 0, 1, 2, 0, 1, 28
G# minor (5#), 5, 1, 5, 3, 0, 5, 1, 1, 1, 1, 0, 1, 0, 1, 1, 3, 1, 0, 5, 1, 5, 3, 0, 5, 1, 1, 0, 51
Gb major (6b), 5, 0, 5, 3, 0, 6, 2, 2, 2, 1, 2, 2, 2, 2, 2, 5, 0, 0, 5, 0, 5, 3, 0, 6, 2, 1, 2, 65
F# major (6#), 3, 0, 4, 2, 0, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 0, 0, 3, 0, 4, 2, 0, 4, 1, 1, 1, 41
Eb minor (6b), 2, 0, 3, 1, 0, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 0, 0, 2, 0, 3, 1, 0, 2, 3, 1, 1, 34
D# minor (6#), 3, 0, 3, 1, 0, 3, 2, 2, 5, 1, 2, 2, 2, 2, 2, 3, 0, 0, 3, 0, 3, 1, 0, 3, 5, 1, 2, 51
Cb major (7b), 5, 1, 4, 4, 0, 7, 2, 2, 2, 2, 2, 3, 2, 3, 3, 6, 1, 0, 5, 1, 4, 4, 0, 7, 2, 2, 2, 76
C# major (7#), 3, 0, 3, 1, 0, 3, 1, 1, 1, 0, 2, 2, 2, 2, 2, 3, 0, 0, 3, 0, 3, 1, 0, 3, 1, 0, 2, 39
Ab minor (7b), 3, 1, 4, 2, 0, 5, 2, 2, 2, 1, 0, 1, 0, 1, 1, 2, 1, 0, 3, 1, 4, 2, 0, 5, 2, 1, 0, 46
A# minor (7#), 5, 0, 4, 2, 0, 2, 0, 0, 3, 0, 2, 2, 2, 2, 2, 4, 0, 0, 5, 0, 4, 2, 0, 2, 3, 0, 2, 48
