 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 2, 1, 1, 3, 0, 4, 5, 3, 2,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 1, 3, 0, 4, 5, 2, 39
A minor (0), 1, 1, 1, 2, 0, 4, 4, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 1, 2, 0, 4, 4, 3, 34
F major (1b), 1, 0, 0, 2, 0, 3, 5, 3, 3,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 0, 2, 0, 3, 5, 3, 31
G major (1#), 3, 1, 1, 4, 1, 5, 6, 3, 3,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 1, 4, 1, 5, 6, 3, 51
D minor (1b), 2, 0, 1, 2, 0, 3, 6, 1, 2,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 1, 2, 0, 3, 6, 2, 33
E minor (1#), 3, 1, 1, 3, 2, 4, 5, 4, 3,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 1, 3, 2, 4, 5, 3, 48
Bb major (2b), 1, 0, 0, 1, 0, 2, 4, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 0, 1, 0, 2, 4, 3, 24
D major (2#), 4, 1, 2, 4, 1, 4, 7, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 4, 1, 2, 4, 1, 4, 7, 3, 54
G minor (2b), 2, 0, 0, 2, 1, 3, 5, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 0, 2, 1, 3, 5, 3, 34
B minor (2#), 3, 0, 1, 3, 1, 3, 6, 2, 2,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 1, 3, 1, 3, 6, 2, 40
Eb major (3b), 0, 0, 0, 0, 0, 1, 4, 2, 2,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 0, 0, 1, 4, 2, 16
A major (3#), 3, 1, 2, 3, 1, 3, 5, 2, 4,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 2, 3, 1, 3, 5, 4, 46
C minor (3b), 1, 1, 1, 1, 0, 2, 3, 2, 1,  ,  ,  ,  ,  ,  ,  ,  , 1, 1, 1, 1, 0, 2, 3, 1, 22
F# minor (3#), 2, 1, 2, 2, 0, 3, 4, 1, 2,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 2, 2, 0, 3, 4, 2, 33
Ab major (4b), 0, 0, 0, 0, 1, 0, 4, 1, 2,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 0, 1, 0, 4, 2, 15
E major (4#), 3, 1, 2, 2, 2, 2, 4, 3, 4,  ,  ,  ,  ,  ,  ,  ,  , 3, 1, 2, 2, 2, 2, 4, 4, 43
F minor (4b), 0, 0, 0, 1, 1, 1, 4, 2, 2,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 1, 1, 1, 4, 2, 20
C# minor (4#), 2, 1, 1, 2, 2, 1, 5, 3, 3,  ,  ,  ,  ,  ,  ,  ,  , 2, 1, 1, 2, 2, 1, 5, 3, 37
Db major (5b), 0, 0, 0, 0, 2, 0, 3, 3, 1,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 0, 2, 0, 3, 1, 15
B major (5#), 2, 0, 1, 1, 2, 1, 4, 3, 3,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 1, 1, 2, 1, 4, 3, 31
Bb minor (5b), 1, 0, 0, 1, 1, 1, 3, 1, 2,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 0, 1, 1, 1, 3, 2, 19
G# minor (5#), 2, 0, 1, 1, 3, 1, 6, 3, 4,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 1, 1, 3, 1, 6, 4, 39
Gb major (6b), 1, 0, 1, 0, 2, 1, 4, 3, 3,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 1, 0, 2, 1, 4, 3, 27
F# major (6#), 1, 0, 1, 0, 1, 1, 3, 2, 2,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 1, 0, 1, 1, 3, 2, 20
Eb minor (6b), 1, 0, 1, 0, 0, 2, 3, 2, 1,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 1, 0, 0, 2, 3, 1, 18
D# minor (6#), 1, 0, 1, 0, 0, 2, 4, 3, 2,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 1, 0, 0, 2, 4, 2, 23
Cb major (7b), 3, 0, 2, 1, 3, 2, 5, 4, 4,  ,  ,  ,  ,  ,  ,  ,  , 3, 0, 2, 1, 3, 2, 5, 4, 44
C# major (7#), 0, 0, 0, 0, 1, 0, 4, 2, 2,  ,  ,  ,  ,  ,  ,  ,  , 0, 0, 0, 0, 1, 0, 4, 2, 16
Ab minor (7b), 2, 0, 1, 1, 2, 1, 5, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 2, 0, 1, 1, 2, 1, 5, 3, 32
A# minor (7#), 1, 0, 0, 1, 2, 1, 5, 2, 3,  ,  ,  ,  ,  ,  ,  ,  , 1, 0, 0, 1, 2, 1, 5, 3, 28
