 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 1, 0, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 0, 2, 1, 0, 0, 1, 0, 2, 1, 1, 1, 3, 1, 28
A minor (0), 2, 0, 2, 2, 4, 2, 3, 1, 1, 3, 2, 1, 0, 3, 2, 1, 1, 2, 0, 2, 2, 4, 2, 3, 1, 46
F major (1b), 1, 0, 1, 2, 1, 1, 2, 1, 1, 2, 0, 0, 0, 2, 0, 1, 1, 1, 0, 1, 2, 1, 1, 2, 1, 25
G major (1#), 1, 0, 2, 0, 4, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 4, 2, 2, 1, 30
D minor (1b), 2, 1, 2, 1, 5, 1, 4, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 2, 1, 2, 1, 5, 1, 4, 1, 41
E minor (1#), 2, 1, 1, 0, 4, 1, 1, 0, 0, 2, 2, 2, 0, 2, 2, 0, 0, 2, 1, 1, 0, 4, 1, 1, 0, 30
Bb major (2b), 0, 0, 0, 2, 1, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 0, 16
D major (2#), 2, 1, 3, 0, 5, 2, 3, 1, 1, 1, 1, 2, 1, 1, 1, 0, 0, 2, 1, 3, 0, 5, 2, 3, 1, 42
G minor (2b), 0, 0, 0, 0, 4, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 4, 1, 1, 0, 16
B minor (2#), 2, 1, 2, 0, 5, 2, 3, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 2, 1, 2, 0, 5, 2, 3, 1, 47
Eb major (3b), 0, 0, 0, 2, 1, 0, 1, 0, 0, 4, 1, 0, 0, 4, 1, 2, 2, 0, 0, 0, 2, 1, 0, 1, 0, 22
A major (3#), 3, 1, 3, 1, 5, 3, 3, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 3, 1, 3, 1, 5, 3, 3, 1, 54
C minor (3b), 0, 0, 1, 1, 1, 0, 2, 0, 0, 4, 2, 1, 0, 4, 2, 1, 1, 0, 0, 1, 1, 1, 0, 2, 0, 25
F# minor (3#), 3, 1, 3, 1, 1, 2, 2, 1, 1, 3, 3, 2, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 2, 2, 1, 46
Ab major (4b), 1, 1, 0, 2, 0, 0, 1, 0, 0, 7, 5, 1, 0, 7, 5, 3, 3, 1, 1, 0, 2, 0, 0, 1, 0, 41
E major (4#), 4, 2, 2, 1, 5, 2, 2, 0, 0, 3, 3, 3, 1, 3, 3, 1, 1, 4, 2, 2, 1, 5, 2, 2, 0, 54
F minor (4b), 2, 1, 1, 2, 0, 1, 2, 1, 1, 4, 1, 1, 0, 4, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 1, 36
C# minor (4#), 4, 1, 1, 5, 0, 3, 1, 0, 0, 7, 4, 2, 0, 7, 4, 3, 3, 4, 1, 1, 5, 0, 3, 1, 0, 60
Db major (5b), 4, 2, 0, 3, 0, 1, 0, 0, 0, 9, 6, 2, 0, 9, 6, 4, 4, 4, 2, 0, 3, 0, 1, 0, 0, 60
B major (5#), 4, 2, 1, 1, 5, 2, 2, 0, 0, 4, 4, 2, 1, 4, 4, 2, 2, 4, 2, 1, 1, 5, 2, 2, 0, 57
Bb minor (5b), 2, 1, 0, 3, 0, 1, 0, 0, 0, 5, 1, 1, 0, 5, 1, 2, 2, 2, 1, 0, 3, 0, 1, 0, 0, 31
G# minor (5#), 3, 3, 1, 3, 1, 1, 3, 0, 0, 7, 3, 3, 1, 7, 3, 1, 1, 3, 3, 1, 3, 1, 1, 3, 0, 56
Gb major (6b), 6, 3, 1, 2, 1, 2, 1, 0, 0, 8, 7, 3, 1, 8, 7, 4, 4, 6, 3, 1, 2, 1, 2, 1, 0, 74
F# major (6#), 4, 2, 1, 1, 1, 1, 1, 0, 0, 5, 4, 2, 1, 5, 4, 2, 2, 4, 2, 1, 1, 1, 1, 1, 0, 47
Eb minor (6b), 2, 1, 1, 3, 2, 1, 1, 0, 0, 5, 2, 1, 1, 5, 2, 2, 2, 2, 1, 1, 3, 2, 1, 1, 0, 42
D# minor (6#), 3, 1, 1, 5, 2, 2, 1, 0, 0, 8, 4, 1, 1, 8, 4, 4, 4, 3, 1, 1, 5, 2, 2, 1, 0, 64
Cb major (7b), 7, 4, 2, 2, 8, 3, 3, 0, 0, 7, 7, 4, 2, 7, 7, 4, 4, 7, 4, 2, 2, 8, 3, 3, 0, 100
C# major (7#), 4, 1, 0, 5, 0, 2, 0, 0, 0, 9, 5, 1, 0, 9, 5, 4, 4, 4, 1, 0, 5, 0, 2, 0, 0, 61
Ab minor (7b), 2, 2, 1, 2, 1, 1, 3, 0, 0, 6, 5, 2, 1, 6, 5, 2, 2, 2, 2, 1, 2, 1, 1, 3, 0, 53
A# minor (7#), 4, 2, 0, 5, 0, 2, 0, 0, 0, 9, 2, 2, 0, 9, 2, 3, 3, 4, 2, 0, 5, 0, 2, 0, 0, 56
