 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
A minor (0), 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 16
F major (1b), 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 15
G major (1#), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
D minor (1b), 0, 1, 2, 2, 0, 1, 1, 2, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 1, 0, 0, 2, 1, 1, 1, 0, 1, 2, 2, 0, 1, 1, 2, 0, 1, 2, 0, 35
E minor (1#), 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 22
Bb major (2b), 0, 2, 2, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 2, 2, 1, 1, 1, 0, 2, 0, 0, 2, 0, 30
D major (2#), 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 23
G minor (2b), 0, 2, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 2, 0, 0, 2, 0, 28
B minor (2#), 1, 0, 1, 2, 0, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 0, 1, 2, 0, 2, 0, 1, 0, 1, 2, 0, 1, 1, 2, 1, 2, 2, 1, 42
Eb major (3b), 1, 2, 2, 2, 1, 1, 0, 3, 1, 1, 2, 0, 2, 0, 2, 2, 1, 1, 2, 1, 0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 1, 0, 3, 1, 1, 3, 1, 49
A major (3#), 0, 1, 1, 2, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 2, 2, 0, 1, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 2, 0, 2, 1, 2, 0, 1, 2, 0, 36
C minor (3b), 1, 1, 0, 1, 1, 1, 0, 2, 1, 1, 2, 0, 2, 0, 1, 1, 1, 1, 2, 1, 0, 0, 0, 1, 1, 2, 1, 0, 1, 1, 1, 0, 2, 1, 1, 2, 1, 35
F# minor (3#), 0, 2, 1, 3, 1, 3, 1, 4, 0, 0, 2, 1, 2, 1, 4, 2, 0, 1, 0, 2, 0, 2, 0, 1, 1, 1, 2, 1, 3, 1, 3, 1, 4, 0, 1, 4, 0, 55
