 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 1, 1, 2, 0, 0, 3, 1, 0, 0, 0, 1, 1, 2, 2, 1, 1, 0, 2, 1, 1, 2, 0, 0, 3, 0, 0, 25
A minor (0), 2, 1, 2, 0, 1, 3, 1, 0, 0, 1, 2, 1, 3, 1, 2, 2, 0, 2, 2, 1, 2, 0, 1, 3, 0, 1, 34
F major (1b), 1, 1, 3, 1, 1, 2, 1, 0, 1, 0, 1, 0, 3, 1, 1, 0, 0, 1, 1, 1, 3, 1, 1, 2, 1, 0, 28
G major (1#), 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 1, 2, 3, 2, 1, 0, 2, 1, 2, 2, 0, 0, 2, 0, 0, 27
D minor (1b), 1, 1, 3, 1, 2, 3, 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1, 3, 1, 2, 3, 1, 0, 33
E minor (1#), 2, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 4, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 0, 33
Bb major (2b), 0, 2, 4, 2, 3, 1, 1, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 2, 4, 2, 3, 1, 1, 0, 31
D major (2#), 1, 2, 2, 0, 1, 2, 0, 0, 0, 0, 2, 2, 1, 3, 2, 2, 0, 2, 1, 2, 2, 0, 1, 2, 0, 0, 30
G minor (2b), 0, 3, 3, 2, 1, 1, 0, 0, 1, 0, 1, 0, 2, 2, 1, 0, 0, 1, 0, 3, 3, 2, 1, 1, 1, 0, 29
B minor (2#), 1, 2, 3, 0, 2, 3, 0, 0, 0, 0, 2, 1, 2, 2, 2, 3, 0, 0, 1, 2, 3, 0, 2, 3, 0, 0, 34
Eb major (3b), 0, 4, 3, 2, 4, 2, 1, 0, 1, 0, 0, 0, 2, 0, 0, 1, 0, 1, 0, 4, 3, 2, 4, 2, 1, 0, 37
A major (3#), 2, 2, 3, 0, 2, 2, 0, 0, 0, 1, 3, 2, 2, 2, 3, 3, 0, 2, 2, 2, 3, 0, 2, 2, 0, 1, 41
C minor (3b), 0, 3, 1, 1, 1, 3, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 2, 0, 3, 1, 1, 1, 3, 0, 0, 26
F# minor (3#), 2, 2, 3, 1, 3, 1, 0, 0, 0, 1, 2, 2, 2, 1, 2, 3, 0, 1, 2, 2, 3, 1, 3, 1, 0, 1, 39
Ab major (4b), 1, 5, 4, 3, 6, 3, 2, 1, 2, 0, 0, 0, 3, 0, 0, 3, 1, 1, 1, 5, 4, 3, 6, 3, 2, 0, 59
E major (4#), 3, 2, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 3, 1, 1, 3, 2, 3, 1, 3, 1, 1, 1, 48
F minor (4b), 2, 2, 2, 2, 3, 3, 2, 1, 2, 0, 1, 0, 4, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 2, 0, 44
C# minor (4#), 4, 1, 4, 2, 6, 1, 1, 1, 2, 2, 3, 1, 4, 2, 3, 3, 1, 2, 4, 1, 4, 2, 6, 1, 2, 2, 65
Db major (5b), 4, 4, 5, 4, 8, 2, 2, 2, 3, 1, 1, 0, 6, 0, 1, 4, 2, 1, 4, 4, 5, 4, 8, 2, 3, 1, 81
B major (5#), 3, 2, 4, 1, 4, 2, 1, 1, 1, 1, 2, 1, 3, 1, 2, 4, 1, 0, 3, 2, 4, 1, 4, 2, 1, 1, 52
Bb minor (5b), 2, 1, 5, 3, 5, 0, 1, 1, 2, 1, 1, 0, 3, 1, 1, 1, 1, 1, 2, 1, 5, 3, 5, 0, 2, 1, 49
G# minor (5#), 2, 3, 2, 2, 5, 3, 3, 2, 2, 0, 1, 1, 3, 1, 1, 3, 2, 0, 2, 3, 2, 2, 5, 3, 2, 0, 55
Gb major (6b), 5, 4, 6, 3, 8, 2, 2, 2, 2, 2, 2, 1, 5, 0, 2, 6, 2, 0, 5, 4, 6, 3, 8, 2, 2, 2, 86
F# major (6#), 3, 3, 4, 2, 5, 1, 1, 1, 1, 1, 1, 1, 3, 0, 1, 4, 1, 0, 3, 3, 4, 2, 5, 1, 1, 1, 53
Eb minor (6b), 1, 3, 3, 1, 4, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 3, 0, 0, 1, 3, 3, 1, 4, 1, 0, 1, 35
D# minor (6#), 2, 4, 5, 1, 6, 2, 0, 0, 0, 2, 2, 1, 1, 0, 2, 5, 0, 0, 2, 4, 5, 1, 6, 2, 0, 2, 55
Cb major (7b), 5, 3, 7, 2, 8, 3, 2, 2, 2, 2, 3, 2, 5, 1, 3, 7, 2, 0, 5, 3, 7, 2, 8, 3, 2, 2, 91
C# major (7#), 4, 3, 5, 3, 7, 1, 1, 1, 2, 2, 2, 0, 4, 0, 2, 4, 1, 1, 4, 3, 5, 3, 7, 1, 2, 2, 70
Ab minor (7b), 1, 4, 3, 1, 5, 4, 2, 1, 1, 0, 1, 1, 2, 1, 1, 4, 1, 0, 1, 4, 3, 1, 5, 4, 1, 0, 52
A# minor (7#), 4, 2, 7, 5, 7, 0, 2, 2, 3, 2, 2, 0, 4, 1, 2, 2, 2, 1, 4, 2, 7, 5, 7, 0, 3, 2, 78
