 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, rowcost
C major (0), 0/0, 2/2, 1/3, 1/1, 0/0, 2/2, 1/3, 1/1, 1/2, 4/1, 2/1, 1/1, 1/2, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/2, 0/0, 1/1, 3/1, 2/1, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0,  , 0/0, 2/2, 1/3, 1/1, 0/0, 2/1, 1/1, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 2/1, 0/0, 0/0, 48/34
A minor (0), 0/0, 1/2, 1/0, 1/0, 0/0, 1/2, 1/0, 1/0, 1/3, 3/1, 2/1, 1/0, 3/2, 2/1, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 2/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0,  , 0/0, 1/2, 1/0, 1/0, 0/0, 1/1, 2/1, 1/1, 2/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 44/22
F major (1b), 0/0, 2/2, 1/3, 1/1, 0/0, 2/2, 1/0, 1/0, 0/0, 3/2, 2/3, 1/0, 1/2, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/2, 2/2, 1/0, 1/1, 3/2, 3/2, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 0/0, 2/2, 1/3, 1/1, 0/0, 2/1, 2/1, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 42/37
G major (1#), 1/0, 2/2, 2/0, 1/0, 1/2, 3/3, 1/3, 1/1, 1/2, 3/1, 1/0, 1/0, 2/0, 2/1, 2/0, 1/0, 1/2, 2/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 2/1, 1/0, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 1/0, 1/0, 0/0,  , 1/1, 2/1, 2/0, 1/0, 1/1, 3/2, 2/1, 1/1, 2/1, 2/0, 0/0, 0/0, 1/0, 1/0, 2/0, 1/0, 1/0, 3/1, 1/0, 1/0, 65/30
D minor (1b), 0/0, 1/0, 1/0, 1/0, 0/0, 2/2, 1/3, 1/1, 0/0, 3/1, 2/0, 1/0, 3/2, 2/1, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 2/1, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  , 0/0, 1/0, 1/0, 1/0, 0/0, 2/1, 3/1, 0/0, 3/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1, 0/0, 0/0, 42/15
E minor (1#), 1/0, 2/2, 2/0, 1/0, 1/0, 2/2, 1/0, 1/0, 3/2, 3/1, 1/1, 1/0, 4/1, 3/1, 2/0, 1/0, 3/2, 3/1, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 1/1, 0/0, 0/0, 0/0, 1/2, 0/0, 0/0, 4/2, 3/2, 0/0,  , 1/1, 2/3, 2/0, 1/0, 1/0, 2/1, 2/1, 2/1, 2/1, 3/1, 0/0, 0/0, 1/0, 1/0, 2/1, 1/1, 1/0, 2/1, 1/0, 1/0, 76/33
Bb major (2b), 1/0, 3/2, 1/3, 1/1, 1/0, 3/2, 0/0, 0/0, 0/0, 2/2, 1/3, 0/0, 1/2, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 2/2, 3/2, 2/1, 2/1, 4/2, 3/2, 2/2, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0,  , 1/0, 3/2, 1/3, 1/1, 1/0, 3/2, 2/2, 0/0, 2/2, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 3/2, 0/0, 0/0, 59/42
D major (2#), 2/1, 1/1, 1/0, 0/0, 1/0, 4/2, 2/3, 1/1, 2/2, 3/1, 1/1, 1/1, 4/3, 3/1, 1/0, 0/0, 2/1, 2/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 2/0, 2/0, 0/0,  , 2/1, 1/0, 1/0, 0/0, 1/0, 3/1, 1/1, 1/1, 1/1, 2/0, 0/0, 0/0, 1/0, 1/0, 3/0, 1/0, 1/0, 3/1, 1/0, 1/0, 63/24
G minor (2b), 1/1, 2/0, 1/0, 1/0, 1/0, 3/2, 0/0, 0/0, 0/0, 2/1, 1/0, 0/0, 1/0, 1/0, 1/3, 1/1, 0/0, 0/0, 0/0, 0/0, 2/0, 2/0, 2/0, 2/0, 4/2, 2/1, 2/0, 1/0, 0/0, 1/2, 0/0, 0/0, 0/0, 0/0, 0/0,  , 1/1, 2/0, 1/0, 1/0, 1/0, 3/1, 3/1, 0/0, 3/1, 0/1, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 3/1, 0/0, 0/0, 57/19
B minor (2#), 3/1, 1/1, 1/1, 0/0, 1/2, 4/1, 2/0, 1/0, 4/2, 3/1, 1/1, 1/0, 4/2, 3/4, 1/1, 0/0, 4/2, 3/2, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 3/2, 0/0, 0/0, 5/2, 4/2, 0/0,  , 3/1, 1/1, 1/1, 0/0, 1/1, 3/1, 1/1, 2/1, 1/1, 3/2, 0/0, 0/0, 1/0, 1/2, 3/5, 1/0, 3/6, 3/1, 1/2, 1/1, 81/56
