 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, rowcost
C major (0), 0, 0, 0, 0, 1, 2, 2, 3, 0, 2, 0, 2, 1, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 2, 0, 1, 1, 24
A minor (0), 0, 1, 1, 1, 1, 2, 3, 5, 0, 3, 0, 3, 2, 3, 0, 1, 2, 0, 0, 1, 1, 1, 1, 2, 3, 0, 2, 2, 41
F major (1b), 0, 1, 1, 1, 1, 3, 3, 2, 0, 2, 0, 1, 1, 1, 0, 2, 3, 1, 0, 1, 1, 1, 1, 3, 3, 0, 0, 0, 33
G major (1#), 0, 0, 0, 0, 1, 2, 3, 2, 0, 1, 0, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 0, 1, 1, 25
D minor (1b), 1, 2, 2, 2, 1, 2, 3, 4, 1, 3, 1, 2, 3, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 1, 1, 1, 52
E minor (1#), 1, 0, 0, 0, 0, 3, 5, 2, 1, 1, 0, 1, 3, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 3, 5, 0, 2, 1, 34
Bb major (2b), 0, 3, 2, 2, 2, 3, 3, 1, 0, 3, 0, 0, 1, 0, 0, 2, 4, 3, 0, 3, 2, 2, 2, 3, 2, 1, 0, 0, 44
D major (2#), 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 3, 4, 3, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 41
G minor (2b), 0, 2, 1, 1, 2, 3, 5, 1, 0, 2, 0, 0, 3, 0, 1, 1, 2, 1, 0, 2, 1, 1, 2, 3, 4, 1, 0, 0, 39
B minor (2#), 1, 2, 2, 2, 1, 1, 2, 4, 1, 3, 1, 2, 4, 2, 2, 1, 0, 1, 1, 2, 2, 2, 1, 1, 2, 2, 1, 1, 47
Eb major (3b), 0, 4, 3, 3, 1, 3, 4, 1, 0, 3, 0, 0, 1, 0, 0, 3, 4, 3, 0, 4, 3, 3, 1, 3, 3, 2, 0, 0, 52
A major (3#), 1, 2, 2, 2, 1, 1, 2, 5, 1, 3, 1, 4, 4, 4, 2, 0, 1, 1, 1, 2, 2, 2, 1, 1, 2, 1, 3, 3, 55
C minor (3b), 0, 2, 1, 1, 2, 2, 4, 2, 0, 3, 0, 1, 1, 1, 0, 2, 2, 0, 0, 2, 1, 1, 2, 2, 3, 2, 1, 1, 39
F# minor (3#), 1, 3, 2, 2, 2, 2, 5, 4, 1, 3, 1, 4, 1, 4, 1, 0, 2, 4, 1, 3, 2, 2, 2, 2, 4, 2, 3, 3, 66
Ab major (4b), 1, 5, 4, 4, 1, 4, 6, 2, 1, 3, 0, 0, 0, 0, 0, 5, 5, 4, 1, 5, 4, 4, 1, 4, 5, 3, 1, 0, 73
E major (4#), 2, 2, 2, 2, 0, 2, 4, 4, 2, 3, 1, 3, 4, 3, 2, 1, 2, 2, 2, 2, 2, 2, 0, 2, 4, 1, 4, 3, 63
F minor (4b), 1, 2, 2, 2, 1, 4, 5, 3, 1, 2, 0, 1, 0, 1, 0, 4, 4, 2, 1, 2, 2, 2, 1, 4, 5, 1, 1, 0, 54
C# minor (4#), 1, 4, 4, 4, 0, 2, 4, 5, 1, 7, 0, 3, 1, 3, 1, 2, 4, 4, 1, 4, 4, 4, 0, 2, 4, 0, 4, 3, 76
Db major (5b), 2, 6, 5, 5, 1, 3, 6, 4, 2, 4, 0, 1, 0, 1, 0, 5, 5, 5, 2, 6, 5, 5, 1, 3, 5, 3, 3, 1, 89
B major (5#), 2, 3, 3, 3, 0, 2, 3, 4, 2, 4, 1, 2, 4, 2, 2, 2, 2, 2, 2, 3, 3, 3, 0, 2, 3, 2, 3, 2, 66
Bb minor (5b), 1, 4, 3, 3, 2, 4, 4, 3, 1, 4, 0, 1, 0, 1, 0, 2, 4, 4, 1, 4, 3, 3, 2, 4, 3, 1, 2, 1, 65
G# minor (5#), 3, 2, 2, 2, 0, 7, 6, 5, 3, 6, 1, 1, 2, 1, 2, 4, 5, 6, 3, 2, 2, 2, 0, 7, 6, 2, 3, 1, 86
Gb major (6b), 3, 6, 5, 5, 1, 4, 7, 5, 3, 4, 1, 3, 1, 3, 1, 4, 5, 6, 3, 6, 5, 5, 1, 4, 6, 4, 5, 3, 109
F# major (6#), 2, 4, 3, 3, 1, 3, 5, 3, 2, 3, 1, 2, 1, 2, 1, 2, 3, 5, 2, 4, 3, 3, 1, 3, 4, 3, 3, 2, 74
Eb minor (6b), 1, 4, 3, 3, 1, 4, 5, 3, 1, 5, 1, 2, 2, 2, 1, 1, 2, 4, 1, 4, 3, 3, 1, 4, 4, 3, 2, 2, 72
D# minor (6#), 1, 6, 5, 5, 1, 5, 6, 4, 1, 7, 1, 3, 2, 3, 1, 2, 3, 4, 1, 6, 5, 5, 1, 5, 5, 4, 3, 3, 98
Cb major (7b), 4, 6, 6, 6, 0, 4, 6, 7, 4, 6, 2, 4, 6, 4, 3, 4, 4, 4, 4, 6, 6, 6, 0, 4, 6, 4, 6, 4, 126
C# major (7#), 1, 6, 5, 5, 1, 2, 4, 4, 1, 6, 0, 2, 0, 2, 0, 3, 5, 4, 1, 6, 5, 5, 1, 2, 3, 2, 3, 2, 81
Ab minor (7b), 2, 3, 3, 3, 0, 5, 6, 4, 2, 5, 1, 1, 2, 1, 2, 4, 3, 5, 2, 3, 3, 3, 0, 5, 6, 3, 2, 1, 80
A# minor (7#), 2, 6, 4, 4, 3, 6, 6, 5, 2, 7, 0, 2, 0, 2, 0, 3, 7, 5, 2, 6, 4, 4, 3, 6, 4, 2, 4, 2, 101
