 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, rowcost
C major (0), 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 16
A minor (0), 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 21
F major (1b), 1, 1, 2, 1, 1, 1, 0, 1, 0, 1, 2, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 31
G major (1#), 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4
D minor (1b), 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 1, 2, 2, 0, 0, 1, 1, 0, 0, 39
E minor (1#), 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 7
Bb major (2b), 1, 2, 2, 1, 2, 1, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 1, 2, 2, 1, 2, 1, 0, 0, 2, 3, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 38
D major (2#), 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 12
G minor (2b), 0, 1, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 2, 1, 0, 0, 1, 1, 1, 0, 2, 1, 0, 1, 1, 1, 0, 0, 23
B minor (2#), 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2, 1, 1, 2, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 19
Eb major (3b), 1, 2, 2, 1, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 0, 2, 1, 2, 2, 1, 2, 2, 0, 0, 2, 4, 1, 2, 3, 1, 0, 1, 1, 1, 0, 0, 45
A major (3#), 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 17
C minor (3b), 1, 2, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 27
F# minor (3#), 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 2, 1, 3, 2, 1, 0, 4, 2, 0, 0, 2, 0, 1, 1, 29
Ab major (4b), 2, 2, 2, 1, 2, 3, 0, 0, 1, 1, 2, 0, 3, 2, 1, 3, 2, 2, 2, 1, 2, 3, 0, 0, 3, 5, 1, 3, 4, 1, 1, 0, 1, 1, 0, 0, 57
E major (4#), 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 1, 20
F minor (4b), 2, 1, 2, 1, 1, 2, 0, 1, 1, 1, 2, 0, 2, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 1, 0, 0, 1, 0, 0, 43
C# minor (4#), 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 3, 3, 3, 0, 3, 1, 1, 0, 0, 1, 2, 2, 34
Db major (5b), 2, 1, 1, 0, 2, 3, 0, 0, 2, 1, 1, 1, 2, 1, 2, 3, 2, 1, 1, 0, 2, 3, 0, 0, 4, 5, 2, 2, 5, 1, 2, 0, 1, 1, 1, 1, 56
B major (5#), 1, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 1, 1, 0, 2, 2, 1, 1, 3, 1, 1, 0, 1, 0, 1, 1, 27
