 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 1/0, 2/0, 0/0, 3/3, 1/0, 2/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 1/2,  ,  ,  , 1/0,  ,  , 0/0, 0/0, 1/0, 1/0, 17/5
A minor (0), 1/1, 2/2, 0/0, 5/3, 1/0, 2/2, 0/0, 1/1, 0/0, 1/4, 0/0, 1/1, 1/0, 1/0,  ,  ,  , 1/0,  ,  , 0/0, 0/0, 1/1, 1/1, 19/16
F major (1b), 0/0, 1/0, 0/0, 2/3, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 1/0, 1/0, 9/3
G major (1#), 2/1, 2/1, 1/0, 2/3, 2/0, 3/0, 1/0, 2/0, 1/0, 2/0, 1/0, 2/0, 2/0, 2/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/0, 2/0, 32/5
D minor (1b), 0/0, 1/1, 0/0, 3/3, 0/0, 1/2, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 1/0, 1/0, 10/6
E minor (1#), 3/1, 2/2, 1/0, 4/3, 2/4, 3/3, 1/0, 2/1, 1/0, 2/4, 1/0, 2/1, 2/1, 2/0,  ,  ,  , 1/1,  ,  , 1/0, 1/0, 2/1, 2/1, 35/23
Bb major (2b), 0/0, 1/0, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0, 4/1
D major (2#), 3/1, 3/1, 1/0, 2/3, 2/0, 3/2, 2/0, 3/1, 2/0, 3/0, 2/0, 3/1, 2/0, 2/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/1, 2/1, 40/11
G minor (2b), 0/0, 1/1, 0/0, 2/1, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0, 5/2
B minor (2#), 4/2, 3/2, 1/1, 4/3, 2/7, 3/9, 2/3, 3/3, 2/1, 3/5, 2/4, 3/4, 2/2, 2/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/0, 2/0, 43/46
Eb major (3b), 1/0, 1/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0, 3/1
A major (3#), 3/1, 3/2, 1/0, 4/3, 2/0, 2/3, 2/0, 3/1, 2/0, 3/4, 2/0, 3/1, 2/0, 1/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/1, 2/1, 40/17
C minor (3b), 1/1, 1/0, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0,  ,  ,  , 0/0,  ,  , 0/0, 0/0, 0/0, 0/0, 4/2
F# minor (3#), 4/2, 2/1, 1/0, 4/1, 2/0, 2/0, 2/0, 3/0, 2/4, 3/0, 2/0, 3/0, 2/1, 1/0,  ,  ,  , 1/0,  ,  , 1/0, 1/0, 2/0, 2/0, 40/9
