 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, rowcost
C major (0),  ,  ,  ,  , 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 5/0
A minor (0),  ,  ,  ,  , 0/0, 1/1, 0/0, 1/1, 0/0, 1/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 5/2
F major (1b),  ,  ,  ,  , 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 2/0
G major (1#),  ,  ,  ,  , 0/0, 1/0, 0/0, 1/0, 1/0, 2/0, 0/0, 0/0, 1/0, 0/0, 0/0, 1/0, 7/0
D minor (1b),  ,  ,  ,  , 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 2/1
E minor (1#),  ,  ,  ,  , 0/0, 1/1, 0/0, 1/0, 1/0, 2/1, 0/0, 0/0, 1/0, 0/0, 0/0, 1/1, 7/3
Bb major (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0
D major (2#),  ,  ,  ,  , 1/0, 2/0, 1/0, 2/1, 1/0, 2/0, 1/0, 1/0, 1/0, 0/0, 1/0, 2/0, 15/1
G minor (2b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0
B minor (2#),  ,  ,  ,  , 1/0, 2/1, 1/0, 2/0, 1/4, 2/2, 1/0, 1/0, 1/0, 0/0, 1/0, 2/1, 15/8
Eb major (3b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
A major (3#),  ,  ,  ,  , 1/0, 3/1, 1/0, 2/0, 1/0, 3/0, 1/0, 1/0, 0/0, 1/0, 1/0, 3/1, 18/2
C minor (3b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
F# minor (3#),  ,  ,  ,  , 1/0, 3/2, 1/0, 2/0, 1/0, 3/1, 1/4, 1/1, 0/0, 1/0, 1/4, 3/1, 18/13
Ab major (4b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
E major (4#),  ,  ,  ,  , 1/0, 3/1, 1/0, 1/0, 1/0, 3/1, 1/0, 1/0, 0/0, 1/0, 1/0, 3/1, 17/3
F minor (4b),  ,  ,  ,  , 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0
C# minor (4#),  ,  ,  ,  , 1/0, 4/1, 1/0, 1/0, 1/0, 4/3, 1/0, 1/0, 0/0, 2/0, 1/0, 4/1, 21/5
Db major (5b),  ,  ,  ,  , 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 4/0
B major (5#),  ,  ,  ,  , 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 1/0, 1/0, 0/0, 1/0, 1/0, 2/1, 14/3
Bb minor (5b),  ,  ,  ,  , 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 4/0
G# minor (5#),  ,  ,  ,  , 1/0, 3/1, 1/0, 1/0, 1/0, 3/3, 1/0, 1/0, 0/0, 2/0, 1/0, 3/1, 18/5
Gb major (6b),  ,  ,  ,  , 1/0, 3/2, 1/0, 1/0, 0/0, 2/2, 1/0, 1/0, 0/0, 2/2, 1/0, 3/2, 16/8
F# major (6#),  ,  ,  ,  , 1/0, 2/2, 1/0, 1/0, 0/0, 1/1, 1/0, 1/0, 0/0, 1/1, 1/0, 2/2, 12/6
Eb minor (6b),  ,  ,  ,  , 1/0, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/0, 12/0
D# minor (6#),  ,  ,  ,  , 1/0, 3/1, 1/0, 1/0, 0/0, 2/2, 1/0, 1/0, 0/0, 2/0, 1/0, 3/1, 16/4
Cb major (7b),  ,  ,  ,  , 2/8, 4/4, 2/8, 2/4, 1/0, 3/2, 2/8, 2/2, 0/0, 2/2, 2/8, 4/4, 26/50
C# major (7#),  ,  ,  ,  , 0/0, 2/1, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/0, 0/0, 2/1, 8/4
Ab minor (7b),  ,  ,  ,  , 1/0, 2/0, 1/0, 1/0, 1/0, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 2/0, 14/0
A# minor (7#),  ,  ,  ,  , 0/0, 2/1, 0/0, 0/0, 0/0, 2/2, 0/0, 0/0, 0/0, 2/0, 0/0, 2/1, 8/4
