 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0,  , 1, 1, 1, 1, 1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 20
A minor (0), 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1,  , 1, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1, 1, 44
F major (1b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
G major (1#), 0, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 1, 1, 0,  , 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 0, 1, 2, 1, 1, 0, 37
D minor (1b), 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0,  , 2, 1, 2, 1, 2, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 24
E minor (1#), 1, 2, 2, 2, 2, 2, 3, 1, 0, 2, 1, 2, 3, 2, 2, 0,  , 0, 1, 0, 1, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 1, 0, 2, 1, 2, 3, 2, 2, 0, 58
Bb major (2b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
D major (2#), 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 1, 0,  , 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 2, 1, 0, 54
G minor (2b), 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0,  , 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 19
B minor (2#), 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0,  , 2, 1, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 0, 42
Eb major (3b), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
A major (3#), 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 4, 2, 2, 1,  , 2, 3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 4, 2, 2, 1, 78
C minor (3b), 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0,  , 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 15
F# minor (3#), 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 1,  , 2, 3, 2, 2, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 1, 59
Ab major (4b), 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0,  , 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 27
E major (4#), 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 2, 3, 5, 3, 3, 1,  , 1, 3, 1, 2, 1, 3, 1, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 2, 3, 5, 3, 3, 1, 98
F minor (4b), 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0,  , 1, 0, 1, 0, 1, 0, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 32
C# minor (4#), 3, 4, 4, 4, 4, 4, 3, 1, 2, 2, 1, 4, 5, 2, 4, 2,  , 0, 3, 0, 1, 0, 3, 1, 1, 4, 4, 4, 4, 4, 3, 1, 2, 2, 1, 4, 5, 2, 4, 2, 104
Db major (5b), 3, 3, 3, 3, 3, 3, 2, 0, 1, 2, 2, 3, 3, 2, 3, 1,  , 0, 1, 0, 0, 0, 1, 0, 2, 3, 3, 3, 3, 3, 2, 0, 1, 2, 2, 3, 3, 2, 3, 1, 75
B major (5#), 2, 3, 3, 3, 3, 3, 2, 0, 2, 2, 2, 3, 4, 2, 3, 1,  , 1, 2, 1, 1, 1, 2, 1, 2, 3, 3, 3, 3, 3, 2, 0, 2, 2, 2, 3, 4, 2, 3, 1, 85
Bb minor (5b), 2, 2, 2, 2, 2, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1,  , 0, 1, 0, 0, 0, 1, 0, 1, 2, 2, 2, 2, 2, 1, 0, 1, 1, 1, 2, 2, 1, 2, 1, 49
G# minor (5#), 2, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 4, 3, 3, 0,  , 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 0, 1, 3, 3, 3, 4, 3, 3, 0, 89
Gb major (6b), 4, 4, 4, 4, 4, 4, 2, 0, 3, 3, 3, 4, 5, 3, 4, 2,  , 1, 3, 1, 1, 1, 3, 0, 3, 4, 4, 4, 4, 4, 2, 0, 3, 3, 3, 4, 5, 3, 4, 2, 115
F# major (6#), 2, 2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 3, 2, 2, 1,  , 1, 2, 1, 1, 1, 2, 0, 2, 2, 2, 2, 2, 2, 1, 0, 2, 2, 2, 2, 3, 2, 2, 1, 66
Eb minor (6b), 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1,  , 1, 2, 1, 1, 1, 2, 0, 1, 1, 1, 1, 1, 1, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 40
D# minor (6#), 2, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 3, 1, 2, 2,  , 1, 3, 1, 1, 1, 3, 0, 1, 2, 2, 2, 2, 2, 0, 0, 3, 1, 1, 2, 3, 1, 2, 2, 63
Cb major (7b), 4, 5, 5, 5, 5, 5, 3, 0, 4, 4, 4, 5, 7, 4, 5, 2,  , 2, 4, 2, 2, 2, 4, 1, 4, 5, 5, 5, 5, 5, 3, 0, 4, 4, 4, 5, 7, 4, 5, 2, 151
C# major (7#), 3, 3, 3, 3, 3, 3, 1, 0, 2, 1, 1, 3, 3, 1, 3, 2,  , 0, 2, 0, 0, 0, 2, 0, 1, 3, 3, 3, 3, 3, 1, 0, 2, 1, 1, 3, 3, 1, 3, 2, 72
Ab minor (7b), 1, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 2, 3, 2, 2, 0,  , 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 2, 2, 2, 3, 2, 2, 0, 63
A# minor (7#), 4, 4, 4, 4, 4, 4, 2, 0, 2, 2, 2, 4, 4, 2, 4, 2,  , 0, 2, 0, 0, 0, 2, 0, 2, 4, 4, 4, 4, 4, 2, 0, 2, 2, 2, 4, 4, 2, 4, 2, 98
