 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, rowcost
C major (0), 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 1, 0, 1, 1, 1, 27
A minor (0), 1, 1, 2, 2, 1, 2, 2, 1, 1, 2, 3, 1, 1, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 1, 37
F major (1b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 12
G major (1#), 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 35
D minor (1b), 0, 1, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 15
E minor (1#), 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 4, 1, 1, 1, 4, 2, 2, 1, 2, 2, 2, 1, 1, 1, 42
Bb major (2b), 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 10
D major (2#), 1, 2, 2, 1, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 1, 36
G minor (2b), 1, 0, 1, 0, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 18
B minor (2#), 2, 1, 0, 0, 2, 2, 1, 1, 2, 1, 2, 0, 2, 1, 2, 0, 2, 1, 0, 0, 2, 1, 0, 0, 25
Eb major (3b), 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 16
A major (3#), 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 44
C minor (3b), 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 31
F# minor (3#), 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 3, 2, 1, 2, 1, 2, 1, 2, 1, 1, 35
Ab major (4b), 3, 0, 2, 1, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 1, 3, 0, 2, 1, 3, 0, 0, 0, 23
E major (4#), 3, 2, 2, 3, 3, 3, 2, 2, 2, 0, 3, 1, 2, 0, 3, 3, 3, 2, 2, 3, 3, 2, 1, 1, 51
F minor (4b), 2, 0, 2, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 0, 19
C# minor (4#), 4, 1, 3, 4, 4, 1, 3, 2, 0, 0, 2, 1, 0, 0, 2, 4, 4, 1, 3, 4, 4, 1, 1, 1, 50
Db major (5b), 5, 0, 3, 3, 5, 0, 1, 0, 0, 0, 2, 0, 0, 0, 2, 3, 5, 0, 3, 3, 5, 0, 0, 0, 40
B major (5#), 4, 1, 1, 2, 4, 2, 2, 1, 2, 0, 2, 0, 2, 0, 2, 2, 4, 1, 1, 2, 4, 1, 0, 0, 40
Bb minor (5b), 2, 0, 2, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 0, 19
G# minor (5#), 4, 1, 2, 2, 4, 1, 1, 1, 1, 0, 2, 0, 1, 0, 2, 2, 4, 1, 2, 2, 4, 1, 0, 0, 38
Gb major (6b), 6, 1, 2, 4, 6, 1, 2, 0, 1, 0, 3, 0, 1, 0, 3, 4, 6, 1, 2, 4, 6, 1, 0, 0, 54
F# major (6#), 3, 1, 1, 2, 3, 1, 1, 0, 1, 0, 2, 0, 1, 0, 2, 2, 3, 1, 1, 2, 3, 1, 0, 0, 31
Eb minor (6b), 2, 1, 0, 1, 2, 2, 2, 0, 2, 1, 3, 0, 2, 1, 3, 1, 2, 1, 0, 1, 2, 1, 0, 0, 30
D# minor (6#), 4, 1, 0, 2, 4, 2, 3, 0, 2, 1, 4, 0, 2, 1, 4, 2, 4, 1, 0, 2, 4, 1, 0, 0, 44
Cb major (7b), 7, 2, 2, 4, 7, 3, 3, 1, 3, 0, 4, 0, 3, 0, 4, 4, 7, 2, 2, 4, 7, 2, 0, 0, 71
C# major (7#), 4, 0, 2, 3, 4, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 3, 4, 0, 2, 3, 4, 0, 0, 0, 33
Ab minor (7b), 4, 1, 1, 1, 4, 1, 1, 1, 1, 0, 3, 0, 1, 0, 3, 1, 4, 1, 1, 1, 4, 1, 0, 0, 35
A# minor (7#), 4, 0, 3, 4, 4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 3, 4, 4, 0, 0, 0, 36
