 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, rowcost
C major (0), 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 1/0, 2/1, 4/2, 0/0, 1/1, 2/2, 0/0, 0/0, 1/0, 4/3, 0/0, 2/2, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 2/1, 0/0, 23/12
A minor (0), 0/0, 0/0, 0/0, 1/2, 0/0, 1/1, 0/0, 1/1, 2/1, 4/3, 0/0, 1/0, 3/2, 0/0, 0/0, 1/0, 4/1, 0/0, 2/2, 0/0, 0/0, 1/2, 0/0, 1/1, 0/0, 3/2, 0/0, 25/18
F major (1b), 0/0, 1/0, 0/0, 4/2, 1/0, 0/0, 0/0, 0/0, 2/1, 3/2, 1/1, 1/0, 1/0, 0/0, 0/0, 1/1, 3/2, 0/0, 3/2, 1/0, 0/0, 4/2, 1/0, 0/0, 0/0, 1/1, 0/0, 28/14
G major (1#), 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 1/0, 1/1, 3/1, 4/2, 0/0, 1/1, 3/2, 0/0, 0/0, 0/0, 3/3, 1/0, 3/2, 0/0, 1/0, 0/0, 1/0, 1/1, 1/0, 3/2, 0/0, 30/16
D minor (1b), 0/0, 1/1, 0/0, 1/1, 1/0, 0/0, 0/0, 0/0, 2/1, 4/2, 1/1, 1/1, 2/2, 0/0, 0/0, 1/0, 4/2, 0/0, 2/2, 1/1, 0/0, 1/1, 1/0, 0/0, 0/0, 2/1, 0/0, 25/16
E minor (1#), 0/0, 0/0, 1/1, 0/0, 1/0, 2/1, 1/2, 1/1, 3/1, 5/2, 0/0, 1/0, 4/2, 0/0, 0/0, 0/0, 3/1, 1/0, 3/2, 0/0, 1/1, 0/0, 1/0, 2/1, 1/2, 5/2, 0/0, 36/19
Bb major (2b), 0/0, 5/2, 0/0, 5/2, 2/1, 1/0, 0/0, 1/0, 2/1, 2/2, 1/1, 1/0, 1/0, 0/0, 0/0, 1/1, 2/2, 0/0, 4/2, 5/2, 0/0, 5/2, 2/1, 1/0, 0/0, 2/1, 0/0, 43/20
D major (2#), 1/0, 1/0, 1/1, 1/0, 2/1, 1/1, 2/0, 2/1, 4/1, 5/2, 0/0, 1/0, 4/2, 0/0, 0/0, 0/0, 3/2, 1/1, 4/3, 1/2, 1/1, 1/0, 2/1, 1/1, 2/0, 4/1, 0/0, 45/21
G minor (2b), 0/0, 2/0, 0/1, 2/0, 1/1, 1/1, 0/0, 1/1, 2/1, 2/2, 1/0, 1/0, 1/1, 0/0, 0/0, 1/0, 3/2, 0/0, 3/3, 2/0, 0/1, 2/0, 1/1, 1/1, 0/0, 2/1, 0/0, 29/17
B minor (2#), 1/0, 1/0, 1/1, 1/1, 2/2, 2/1, 2/1, 2/1, 4/3, 5/2, 0/0, 1/0, 4/3, 0/0, 0/0, 0/0, 3/1, 1/0, 3/3, 1/0, 1/1, 1/1, 2/2, 2/1, 2/1, 5/3, 0/0, 47/28
Eb major (3b), 0/0, 5/3, 1/1, 5/3, 3/2, 2/2, 0/0, 1/1, 1/1, 3/2, 2/1, 0/0, 0/0, 0/0, 1/0, 1/1, 1/2, 0/0, 4/2, 5/3, 1/1, 5/3, 3/2, 2/2, 0/0, 4/3, 0/0, 50/35
A major (3#), 1/0, 2/1, 2/1, 2/0, 2/0, 2/0, 3/2, 3/1, 3/1, 5/3, 1/0, 0/0, 3/2, 1/0, 1/0, 0/0, 2/2, 1/1, 5/3, 2/2, 2/1, 2/1, 2/0, 2/0, 3/2, 5/2, 1/0, 58/25
C minor (3b), 0/0, 2/0, 1/0, 2/2, 2/0, 2/1, 0/0, 1/1, 1/1, 3/2, 2/1, 0/0, 0/0, 0/0, 1/0, 1/0, 2/2, 0/0, 2/2, 2/0, 1/0, 2/2, 2/0, 2/1, 0/0, 3/2, 0/0, 34/17
F# minor (3#), 1/0, 4/2, 2/1, 2/1, 2/1, 3/3, 3/2, 3/2, 3/2, 6/3, 1/1, 0/0, 3/1, 1/0, 1/0, 0/0, 2/0, 1/0, 4/3, 4/2, 2/1, 2/1, 2/1, 3/3, 3/2, 6/4, 1/0, 65/36
Ab major (4b), 0/0, 5/3, 3/2, 5/3, 5/3, 3/7, 0/0, 1/1, 3/3, 6/6, 3/3, 0/0, 0/0, 0/0, 2/2, 1/0, 1/0, 0/0, 4/2, 5/3, 3/2, 5/3, 5/3, 3/7, 0/0, 7/5, 0/0, 70/58
E major (4#), 1/0, 2/0, 3/1, 2/0, 3/0, 3/1, 3/1, 3/1, 4/1, 5/2, 1/0, 0/0, 3/2, 1/1, 1/0, 0/0, 1/1, 1/0, 5/2, 2/0, 3/1, 2/0, 3/0, 3/1, 3/1, 6/3, 1/0, 65/19
F minor (4b), 0/0, 2/2, 2/0, 5/2, 3/1, 2/0, 0/0, 1/0, 2/1, 3/2, 2/1, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 3/1, 2/2, 2/0, 5/2, 3/1, 2/0, 0/0, 3/1, 0/0, 45/16
C# minor (4#), 1/0, 5/4, 4/2, 6/5, 3/1, 4/5, 4/6, 4/7, 5/3, 4/5, 2/2, 0/0, 4/2, 2/0, 2/1, 0/0, 1/0, 1/0, 4/3, 5/4, 4/2, 6/5, 3/1, 4/5, 4/6, 5/7, 2/2, 89/78
Db major (5b), 0/0, 6/3, 5/4, 4/3, 6/5, 4/7, 1/0, 2/1, 5/4, 7/6, 4/3, 0/0, 1/0, 1/0, 3/2, 0/0, 0/0, 0/0, 3/2, 6/3, 5/4, 4/3, 6/5, 4/7, 1/0, 8/6, 1/0, 87/68
B major (5#), 1/0, 2/0, 4/2, 2/1, 4/1, 2/3, 3/1, 2/2, 5/2, 6/4, 2/2, 0/0, 2/2, 1/1, 2/3, 0/0, 1/0, 1/0, 4/3, 2/2, 4/1, 2/1, 4/1, 2/3, 3/1, 7/3, 1/0, 69/39
Bb minor (5b), 0/0, 6/2, 3/0, 4/3, 4/2, 3/3, 1/0, 2/0, 3/2, 4/4, 3/1, 0/0, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 2/2, 6/2, 3/0, 4/3, 4/2, 3/3, 1/0, 4/2, 1/0, 65/31
G# minor (5#), 1/0, 5/4, 6/4, 6/5, 5/3, 3/5, 4/6, 3/6, 7/5, 5/2, 3/1, 0/0, 3/1, 2/0, 3/1, 0/0, 1/0, 1/0, 4/3, 5/4, 6/4, 6/5, 5/3, 3/5, 4/6, 6/7, 2/2, 99/82
Gb major (6b), 1/0, 6/5, 6/6, 4/7, 5/5, 5/9, 3/4, 4/5, 7/6, 11/9, 4/5, 0/0, 2/2, 2/2, 4/6, 0/0, 0/0, 0/0, 6/3, 6/5, 6/6, 4/7, 5/5, 5/9, 3/4, 12/10, 2/2, 113/122
F# major (6#), 1/0, 5/3, 3/1, 3/1, 3/1, 3/3, 2/3, 3/2, 4/2, 7/4, 2/2, 0/0, 1/1, 1/0, 2/2, 0/0, 0/0, 0/0, 5/3, 5/2, 3/1, 3/1, 3/1, 3/3, 2/3, 8/5, 1/1, 73/45
Eb minor (6b), 1/0, 5/3, 3/1, 5/3, 3/2, 3/4, 2/0, 3/1, 4/1, 4/3, 2/1, 0/0, 1/0, 1/0, 2/0, 0/0, 0/0, 0/0, 4/3, 5/3, 3/0, 5/3, 3/2, 3/4, 2/0, 5/3, 1/0, 70/37
D# minor (6#), 1/0, 6/2, 6/6, 7/5, 5/5, 5/6, 3/2, 4/2, 7/7, 6/4, 4/2, 0/0, 2/1, 2/0, 4/2, 0/0, 0/0, 0/0, 5/3, 6/4, 6/6, 7/5, 5/5, 5/6, 3/2, 7/5, 2/0, 108/80
Cb major (7b), 2/2, 4/9, 7/6, 4/9, 7/7, 4/9, 5/6, 4/9, 9/8, 10/10, 4/5, 0/0, 3/2, 2/2, 4/6, 0/0, 1/0, 1/0, 6/5, 4/9, 7/6, 4/9, 7/7, 4/9, 5/6, 11/9, 2/2, 121/152
C# major (7#), 0/0, 7/4, 4/2, 6/5, 4/1, 4/3, 2/2, 3/2, 4/3, 6/5, 4/2, 0/0, 2/1, 2/0, 3/1, 0/0, 0/0, 0/0, 4/3, 7/4, 4/2, 6/5, 4/1, 4/3, 2/2, 7/3, 2/0, 91/54
Ab minor (7b), 1/0, 4/3, 5/2, 4/3, 5/3, 3/7, 3/0, 2/1, 6/3, 6/8, 3/3, 0/0, 2/0, 1/0, 3/2, 0/0, 1/0, 1/0, 3/3, 4/3, 5/2, 4/3, 5/3, 3/7, 3/0, 7/5, 1/0, 85/61
A# minor (7#), 0/0, 8/6, 6/6, 7/7, 6/5, 6/8, 2/2, 4/4, 6/7, 7/6, 5/2, 0/0, 2/1, 2/0, 4/2, 0/0, 0/0, 0/0, 4/5, 8/6, 6/6, 7/7, 6/5, 6/8, 2/2, 7/7, 2/0, 113/102
