 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0,  , 0, 0, 3
A minor (0), 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,  , 0, 0, 8
F major (1b), 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0,  , 0, 0, 11
G major (1#), 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0,  , 0, 0, 8
D minor (1b), 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 1,  , 1, 1, 21
E minor (1#), 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 1, 0,  , 0, 0, 19
Bb major (2b), 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0,  , 0, 0, 22
D major (2#), 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 3, 0, 1, 0, 1, 1,  , 1, 1, 18
G minor (2b), 0, 2, 0, 1, 1, 2, 1, 1, 0, 1, 0, 1, 2, 1, 0, 0, 0, 2, 0, 1, 1, 2, 1, 1, 0, 2, 1, 1, 0, 1, 0,  , 0, 0, 26
B minor (2#), 1, 1, 0, 2, 1, 2, 0, 1, 0, 1, 1, 1, 2, 2, 0, 0, 1, 1, 0, 2, 1, 2, 0, 0, 0, 3, 0, 2, 0, 1, 1,  , 1, 1, 31
Eb major (3b), 1, 3, 0, 2, 0, 2, 1, 2, 0, 2, 0, 1, 1, 3, 0, 0, 1, 3, 0, 2, 0, 2, 1, 1, 0, 0, 1, 2, 0, 1, 0,  , 0, 0, 32
