 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, rowcost
C major (0), 1, 3, 3, 0, 3, 1, 3, 1, 5, 1, 3, 3, 2, 1, 0, 2, 0, 0, 1, 3, 3, 0, 3, 1, 5, 1, 49
A minor (0), 0, 5, 4, 1, 2, 2, 5, 1, 5, 1, 2, 2, 3, 0, 0, 3, 1, 0, 0, 5, 4, 1, 2, 2, 5, 0, 56
F major (1b), 2, 4, 2, 0, 2, 0, 2, 2, 4, 1, 4, 3, 4, 1, 1, 1, 0, 1, 2, 4, 2, 0, 2, 0, 4, 1, 49
G major (1#), 2, 6, 3, 1, 4, 1, 6, 1, 7, 1, 4, 2, 1, 1, 1, 3, 1, 1, 2, 6, 3, 1, 4, 1, 7, 1, 71
D minor (1b), 3, 6, 3, 0, 1, 0, 3, 2, 4, 2, 3, 3, 2, 1, 2, 0, 1, 2, 3, 6, 3, 0, 1, 0, 4, 1, 56
E minor (1#), 3, 6, 2, 1, 4, 2, 5, 0, 5, 2, 4, 0, 2, 1, 2, 5, 2, 1, 3, 6, 2, 1, 4, 2, 5, 1, 71
Bb major (2b), 5, 3, 1, 0, 2, 1, 1, 1, 4, 1, 4, 2, 4, 1, 2, 2, 1, 1, 5, 3, 1, 0, 2, 1, 4, 1, 53
D major (2#), 3, 6, 4, 1, 3, 1, 5, 1, 6, 2, 3, 2, 0, 1, 2, 2, 2, 2, 3, 6, 4, 1, 3, 1, 6, 1, 71
G minor (2b), 3, 6, 1, 1, 3, 1, 4, 1, 5, 1, 6, 1, 2, 1, 3, 3, 2, 2, 3, 6, 1, 1, 3, 1, 5, 1, 67
B minor (2#), 3, 6, 3, 1, 2, 1, 4, 1, 4, 2, 3, 1, 1, 2, 5, 3, 3, 2, 3, 6, 3, 1, 2, 1, 4, 1, 68
Eb major (3b), 4, 2, 0, 0, 1, 2, 1, 1, 3, 0, 3, 2, 5, 2, 4, 3, 1, 1, 4, 2, 0, 0, 1, 2, 3, 0, 47
A major (3#), 2, 5, 5, 2, 2, 2, 5, 1, 5, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 5, 5, 2, 2, 2, 5, 0, 67
C minor (3b), 0, 1, 1, 0, 2, 3, 2, 0, 3, 0, 3, 2, 3, 2, 2, 4, 1, 0, 0, 1, 1, 0, 2, 3, 3, 0, 39
F# minor (3#), 5, 4, 5, 1, 1, 4, 3, 1, 5, 1, 2, 2, 1, 0, 4, 4, 3, 2, 5, 4, 5, 1, 1, 4, 5, 0, 73
Ab major (4b), 5, 1, 0, 0, 0, 3, 0, 1, 2, 0, 2, 2, 7, 2, 6, 5, 2, 1, 5, 1, 0, 0, 0, 3, 2, 0, 50
E major (4#), 3, 4, 4, 2, 2, 3, 4, 0, 3, 1, 2, 0, 2, 0, 3, 5, 4, 2, 3, 4, 4, 2, 2, 3, 3, 0, 65
F minor (4b), 2, 2, 1, 0, 0, 1, 1, 2, 2, 0, 2, 3, 6, 2, 3, 3, 1, 1, 2, 2, 1, 0, 0, 1, 2, 0, 40
C# minor (4#), 6, 4, 3, 3, 2, 4, 2, 1, 4, 2, 4, 0, 4, 0, 5, 7, 5, 2, 6, 4, 3, 3, 2, 4, 4, 0, 84
Db major (5b), 6, 2, 1, 1, 0, 4, 0, 1, 2, 1, 2, 1, 6, 2, 7, 6, 4, 1, 6, 2, 1, 1, 0, 4, 2, 0, 63
B major (5#), 3, 4, 3, 2, 1, 2, 3, 0, 2, 1, 2, 0, 3, 1, 6, 5, 5, 2, 3, 4, 3, 2, 1, 2, 2, 0, 62
Bb minor (5b), 6, 3, 2, 1, 1, 2, 0, 1, 3, 2, 3, 1, 4, 1, 3, 4, 3, 1, 6, 3, 2, 1, 1, 2, 3, 1, 60
G# minor (5#), 8, 3, 1, 1, 1, 1, 2, 0, 4, 0, 2, 1, 7, 1, 8, 6, 5, 3, 8, 3, 1, 1, 1, 1, 4, 0, 73
Gb major (6b), 7, 4, 4, 2, 0, 5, 1, 0, 3, 2, 1, 1, 6, 2, 8, 7, 6, 2, 7, 4, 4, 2, 0, 5, 3, 0, 86
F# major (6#), 6, 3, 3, 1, 0, 3, 1, 0, 3, 1, 1, 1, 3, 1, 6, 4, 4, 2, 6, 3, 3, 1, 0, 3, 3, 0, 62
Eb minor (6b), 5, 4, 2, 1, 1, 3, 2, 0, 4, 1, 2, 1, 3, 2, 5, 4, 3, 2, 5, 4, 2, 1, 1, 3, 4, 0, 65
D# minor (6#), 5, 5, 3, 2, 1, 5, 2, 0, 4, 2, 2, 1, 5, 3, 6, 6, 4, 2, 5, 5, 3, 2, 1, 5, 4, 0, 83
Cb major (7b), 5, 6, 5, 3, 1, 4, 4, 0, 3, 2, 2, 0, 6, 2, 9, 8, 8, 3, 5, 6, 5, 3, 1, 4, 3, 0, 98
C# major (7#), 5, 3, 2, 2, 0, 4, 0, 1, 2, 2, 2, 1, 5, 1, 5, 5, 4, 1, 5, 3, 2, 2, 0, 4, 2, 0, 63
Ab minor (7b), 7, 3, 1, 1, 1, 2, 2, 0, 4, 0, 2, 1, 6, 2, 8, 6, 4, 3, 7, 3, 1, 1, 1, 2, 4, 0, 72
A# minor (7#), 7, 4, 3, 2, 1, 4, 0, 1, 3, 3, 4, 2, 6, 1, 5, 7, 6, 1, 7, 4, 3, 2, 1, 4, 3, 1, 85
