 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 1/0, 2/0, 4/1, 1/0, 3/2, 3/1, 2/3, 3/4, 3/1, 2/0, 2/2, 3/1, 2/1, 1/0, 32/16
A minor (0), 1/1, 3/2, 5/2, 1/0, 3/2, 3/2, 2/2, 4/2, 3/1, 2/0, 2/1, 3/0, 2/2, 1/1, 35/18
F major (1b), 1/0, 2/0, 3/1, 2/2, 4/2, 3/1, 3/2, 2/0, 2/1, 2/0, 2/1, 4/1, 3/1, 1/0, 34/12
G major (1#), 2/1, 2/0, 5/2, 1/0, 2/2, 4/1, 2/3, 3/4, 3/1, 2/1, 2/2, 2/2, 1/2, 2/2, 33/23
D minor (1b), 1/1, 3/1, 4/2, 2/0, 4/2, 3/2, 3/3, 2/1, 2/1, 2/0, 2/1, 4/2, 2/2, 1/2, 35/20
E minor (1#), 2/1, 3/1, 5/4, 1/3, 2/1, 4/3, 2/2, 4/1, 3/1, 2/0, 2/1, 2/0, 1/2, 2/1, 35/21
Bb major (2b), 0/0, 1/0, 4/3, 5/2, 4/1, 2/1, 3/1, 1/0, 2/1, 2/0, 1/1, 3/0, 3/1, 0/0, 31/11
D major (2#), 2/1, 3/1, 5/2, 2/0, 3/2, 5/2, 2/3, 3/1, 2/1, 1/0, 2/1, 2/1, 1/2, 2/1, 35/18
G minor (2b), 0/0, 1/0, 4/2, 2/0, 4/2, 2/1, 4/3, 1/4, 2/1, 2/1, 1/1, 3/1, 2/1, 0/0, 28/17
B minor (2#), 2/1, 3/1, 5/2, 2/3, 3/1, 5/1, 2/0, 4/1, 2/1, 1/0, 2/1, 2/0, 1/2, 2/1, 36/15
Eb major (3b), 0/0, 0/0, 3/2, 4/2, 3/1, 1/1, 2/1, 0/0, 1/1, 1/0, 2/2, 2/0, 2/1, 0/0, 21/11
A major (3#), 3/1, 2/2, 4/2, 1/0, 2/2, 4/2, 2/2, 3/5, 1/5, 0/0, 1/1, 1/0, 2/2, 3/1, 29/25
C minor (3b), 0/0, 0/0, 3/1, 1/0, 3/2, 1/1, 4/3, 0/4, 1/1, 1/0, 2/2, 2/2, 1/2, 0/0, 19/18
F# minor (3#), 3/1, 2/1, 4/2, 5/3, 2/1, 3/1, 2/1, 3/1, 1/1, 0/0, 1/1, 1/0, 2/2, 3/1, 32/16
Ab major (4b), 0/0, 0/0, 2/2, 4/2, 3/1, 0/0, 2/0, 1/1, 2/1, 0/0, 3/4, 2/0, 2/1, 0/0, 21/12
E major (4#), 2/1, 1/1, 3/4, 1/3, 2/1, 3/3, 1/0, 2/1, 2/1, 0/0, 2/1, 0/0, 2/2, 2/1, 23/19
F minor (4b), 0/0, 0/0, 2/1, 1/0, 3/2, 0/1, 4/2, 1/0, 2/1, 0/0, 3/2, 2/1, 2/1, 0/0, 20/11
C# minor (4#), 3/1, 2/0, 5/1, 5/3, 2/1, 2/0, 1/0, 2/1, 2/2, 0/0, 2/1, 0/0, 2/4, 3/3, 31/17
Db major (5b), 1/0, 1/0, 3/2, 4/2, 2/1, 0/0, 2/1, 2/2, 2/3, 0/0, 5/6, 1/0, 1/1, 1/0, 25/18
B major (5#), 2/2, 1/1, 3/2, 1/3, 1/1, 3/1, 0/0, 1/1, 1/1, 0/0, 3/1, 0/0, 2/2, 2/1, 20/16
Bb minor (5b), 1/0, 1/0, 3/1, 4/2, 2/1, 0/1, 3/1, 1/0, 2/1, 0/0, 3/2, 1/0, 1/1, 1/1, 23/11
G# minor (5#), 3/1, 2/0, 4/1, 5/3, 1/1, 2/1, 0/0, 2/2, 3/2, 0/0, 3/3, 0/0, 2/4, 3/1, 30/19
Gb major (6b), 2/2, 2/2, 3/4, 5/2, 1/1, 1/1, 1/0, 2/2, 2/3, 0/0, 5/6, 0/0, 3/2, 2/2, 29/27
F# major (6#), 1/1, 1/1, 2/2, 5/3, 1/1, 1/1, 1/0, 1/1, 1/1, 0/0, 3/1, 0/0, 2/1, 1/1, 20/14
Eb minor (6b), 1/0, 1/0, 2/3, 5/2, 1/1, 1/1, 1/1, 1/0, 2/1, 0/0, 3/2, 0/0, 1/1, 1/0, 20/12
D# minor (6#), 2/1, 2/0, 3/1, 5/3, 1/1, 1/1, 1/0, 2/0, 3/1, 0/0, 5/7, 0/0, 2/2, 2/2, 29/19
Cb major (7b), 3/2, 2/2, 4/3, 2/6, 2/2, 4/2, 0/0, 2/2, 2/3, 0/0, 5/6, 0/0, 3/2, 3/2, 32/32
C# major (7#), 2/2, 2/2, 4/3, 4/3, 2/1, 0/0, 2/1, 1/1, 1/1, 0/0, 3/1, 1/0, 2/2, 2/2, 26/19
Ab minor (7b), 2/0, 1/0, 3/2, 5/2, 1/1, 2/0, 0/0, 1/0, 2/1, 0/0, 3/4, 0/0, 1/1, 2/0, 23/11
A# minor (7#), 2/1, 2/0, 5/3, 4/3, 2/1, 0/0, 4/2, 2/0, 3/1, 0/0, 5/6, 1/0, 2/2, 2/1, 34/20
