 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, rowcost
C major (0), 0, 3, 2, 3, 2, 3, 4, 2, 2, 1, 5, 1, 3, 0, 31
A minor (0), 0, 2, 1, 2, 1, 2, 2, 2, 1, 0, 4, 0, 2, 0, 19
F major (1b), 0, 2, 2, 4, 2, 2, 4, 3, 3, 1, 4, 1, 2, 0, 30
G major (1#), 0, 4, 3, 4, 3, 4, 5, 3, 3, 2, 6, 2, 4, 1, 44
D minor (1b), 1, 2, 3, 4, 2, 3, 5, 4, 3, 1, 4, 1, 3, 0, 36
E minor (1#), 0, 3, 2, 3, 2, 3, 3, 4, 3, 2, 3, 2, 3, 1, 34
Bb major (2b), 0, 1, 1, 2, 1, 1, 3, 3, 2, 1, 2, 1, 1, 0, 19
D major (2#), 1, 4, 4, 4, 3, 5, 6, 4, 3, 2, 6, 2, 5, 1, 50
G minor (2b), 0, 2, 2, 4, 2, 2, 4, 5, 4, 2, 4, 2, 2, 1, 36
B minor (2#), 1, 3, 4, 3, 3, 4, 6, 4, 2, 2, 3, 2, 4, 1, 42
Eb major (3b), 0, 0, 0, 1, 0, 0, 2, 2, 1, 0, 1, 0, 0, 0, 7
A major (3#), 1, 3, 3, 3, 2, 4, 4, 3, 2, 1, 5, 1, 4, 1, 37
C minor (3b), 0, 1, 0, 1, 0, 1, 2, 2, 1, 0, 3, 0, 1, 0, 12
F# minor (3#), 1, 2, 2, 2, 1, 3, 3, 3, 1, 0, 2, 0, 3, 0, 23
Ab major (4b), 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 1, 0, 0, 0, 6
E major (4#), 1, 2, 2, 2, 1, 3, 3, 3, 2, 1, 2, 1, 3, 1, 27
F minor (4b), 0, 1, 1, 3, 1, 1, 2, 2, 2, 0, 3, 0, 1, 0, 17
C# minor (4#), 0, 2, 1, 3, 1, 2, 2, 6, 3, 1, 3, 1, 2, 1, 28
Db major (5b), 0, 0, 0, 1, 0, 0, 1, 3, 1, 0, 1, 0, 0, 0, 7
B major (5#), 1, 1, 2, 1, 1, 2, 4, 3, 1, 1, 1, 1, 2, 1, 22
Bb minor (5b), 0, 1, 1, 2, 1, 1, 2, 4, 2, 1, 2, 1, 1, 0, 19
G# minor (5#), 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 2, 1, 20
Gb major (6b), 1, 0, 1, 0, 0, 1, 2, 3, 0, 0, 0, 0, 1, 0, 9
F# major (6#), 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0, 0, 1, 0, 8
Eb minor (6b), 1, 0, 1, 0, 0, 1, 3, 2, 0, 0, 0, 0, 1, 0, 9
D# minor (6#), 1, 0, 1, 0, 0, 1, 3, 3, 0, 0, 0, 0, 1, 0, 10
Cb major (7b), 2, 1, 3, 1, 1, 3, 5, 4, 1, 1, 1, 1, 3, 1, 28
C# major (7#), 0, 0, 0, 1, 0, 0, 1, 4, 1, 0, 1, 0, 0, 0, 8
Ab minor (7b), 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 1, 1, 2, 1, 20
A# minor (7#), 0, 1, 1, 2, 1, 1, 3, 6, 2, 1, 2, 1, 1, 0, 22
