 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, rowcost
C major (0), 2/1, 1/0, 2/2, 0/0, 1/1, 0/0, 3/3, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 2/3, 2/2, 2/2, 0/0, 3/2, 3/2, 7/4, 3/2, 2/2, 2/2, 2/2, 0/0, 3/2, 3/2, 7/4, 3/1, 0/0, 2/0, 1/0, 2/2, 0/0, 1/1, 0/0, 3/4, 0/0, 0/0, 64/47
A minor (0), 2/1, 1/0, 2/1, 0/0, 1/1, 0/0, 3/3, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 2/3, 2/3, 3/2, 0/0, 3/3, 3/4, 6/4, 4/3, 2/3, 2/3, 3/2, 0/0, 3/3, 3/4, 6/4, 3/3, 0/0, 2/1, 1/0, 2/1, 0/0, 1/1, 0/0, 3/4, 0/0, 0/0, 65/58
F major (1b), 1/1, 1/1, 2/1, 0/0, 2/1, 1/0, 4/3, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 0/0, 2/2, 2/0, 6/3, 3/2, 1/2, 1/2, 1/2, 0/0, 2/0, 2/0, 6/3, 2/1, 0/0, 1/1, 1/1, 2/1, 0/0, 2/1, 1/0, 4/4, 0/0, 0/0, 54/33
G major (1#), 1/1, 0/0, 1/0, 0/0, 1/1, 0/0, 3/3, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 3/3, 3/3, 3/2, 1/0, 4/2, 3/2, 8/4, 4/2, 3/2, 3/2, 3/2, 1/0, 4/2, 3/2, 8/4, 4/2, 0/0, 1/0, 0/0, 1/0, 0/0, 1/1, 0/0, 3/4, 0/0, 0/0, 71/45
D minor (1b), 1/1, 1/0, 1/2, 0/0, 2/1, 1/0, 4/2, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/3, 1/3, 2/2, 0/0, 2/2, 2/2, 6/4, 3/2, 1/2, 1/2, 2/2, 0/0, 2/2, 2/2, 6/4, 2/2, 0/0, 1/1, 1/0, 1/2, 0/0, 2/1, 1/0, 4/2, 0/0, 0/0, 54/46
E minor (1#), 1/1, 0/0, 1/2, 0/0, 1/1, 0/0, 4/3, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 3/3, 3/3, 4/3, 1/0, 4/4, 3/5, 6/2, 5/4, 3/3, 3/3, 4/3, 1/0, 4/4, 3/5, 6/2, 4/3, 0/0, 1/1, 0/0, 1/2, 0/0, 1/1, 0/0, 4/4, 0/0, 0/0, 72/63
Bb major (2b), 1/1, 1/1, 2/1, 0/0, 1/1, 1/1, 3/2, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/2, 1/0, 1/0, 0/0, 1/0, 1/0, 5/2, 4/2, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 5/2, 1/1, 0/0, 1/1, 1/1, 2/1, 0/0, 1/1, 1/1, 3/2, 0/0, 0/0, 44/24
D major (2#), 1/1, 0/0, 1/2, 1/0, 2/1, 0/0, 4/3, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 4/2, 4/2, 4/2, 1/0, 5/3, 4/2, 7/4, 5/3, 4/3, 4/3, 4/2, 1/0, 5/3, 4/2, 7/4, 5/3, 0/0, 1/1, 0/0, 1/2, 1/0, 2/1, 0/0, 4/4, 0/0, 0/0, 88/54
G minor (2b), 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 3/3, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/2, 1/2, 1/2, 0/0, 1/2, 1/2, 5/5, 4/2, 1/2, 1/2, 1/2, 0/0, 1/2, 1/2, 5/5, 1/1, 0/0, 1/0, 1/0, 1/0, 0/0, 1/1, 1/0, 3/4, 0/0, 0/0, 42/42
B minor (2#), 1/1, 0/0, 1/0, 1/2, 2/4, 0/0, 5/2, 0/0, 1/1, 0/0, 0/0, 0/0, 1/0, 4/4, 4/4, 4/4, 1/0, 5/1, 4/1, 5/1, 8/5, 4/5, 4/5, 4/5, 1/3, 5/4, 4/5, 5/1, 5/5, 0/0, 1/1, 0/0, 1/0, 1/2, 2/4, 0/0, 5/3, 0/0, 0/0, 89/73
Eb major (3b), 2/1, 1/1, 2/1, 0/0, 1/1, 1/1, 4/4, 0/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 4/2, 5/2, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 4/2, 2/1, 0/0, 2/1, 1/1, 2/1, 0/0, 1/1, 1/1, 4/5, 0/0, 0/0, 43/27
A major (3#), 2/1, 0/0, 2/2, 1/0, 3/1, 0/0, 5/3, 1/0, 2/1, 1/0, 1/0, 1/0, 2/0, 5/3, 5/3, 5/3, 1/0, 5/4, 4/3, 5/2, 7/3, 5/3, 5/3, 5/3, 1/0, 5/4, 4/3, 5/2, 6/3, 1/0, 2/1, 0/0, 2/2, 1/0, 3/1, 0/0, 5/4, 1/0, 1/0, 110/58
C minor (3b), 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 4/3, 0/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/1, 0/0, 0/0, 0/0, 1/0, 1/0, 4/4, 5/4, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 4/4, 2/1, 0/0, 2/0, 1/0, 1/0, 0/0, 1/0, 1/0, 4/4, 0/0, 0/0, 41/21
F# minor (3#), 2/3, 0/0, 2/0, 1/2, 4/4, 0/0, 5/3, 1/0, 2/1, 1/0, 1/0, 1/0, 2/1, 5/4, 5/4, 5/4, 1/0, 4/1, 3/0, 4/1, 7/5, 5/3, 5/3, 5/4, 1/0, 4/1, 3/0, 4/1, 6/4, 1/0, 2/1, 0/0, 2/0, 1/2, 4/4, 0/0, 5/4, 1/0, 1/0, 106/60
Ab major (4b), 5/3, 1/0, 3/2, 1/0, 2/1, 1/1, 4/5, 0/0, 5/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/2, 7/6, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/2, 4/2, 1/0, 5/3, 1/0, 3/2, 1/0, 2/1, 1/1, 4/6, 0/0, 0/0, 59/40
E major (4#), 3/2, 0/0, 3/0, 2/0, 4/1, 0/0, 5/2, 1/0, 3/1, 1/0, 1/0, 1/0, 2/0, 5/4, 5/4, 5/4, 2/3, 4/2, 3/1, 3/2, 8/7, 5/3, 5/3, 5/4, 2/3, 4/2, 3/1, 3/2, 7/5, 2/0, 3/1, 0/0, 3/4, 2/0, 4/1, 0/0, 5/3, 1/0, 1/0, 116/65
F minor (4b), 3/1, 1/0, 3/4, 1/0, 2/0, 1/0, 3/3, 0/0, 3/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/2, 6/5, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 3/2, 3/3, 1/0, 3/1, 1/0, 3/4, 1/0, 2/0, 1/0, 3/4, 0/0, 0/0, 49/30
C# minor (4#), 5/5, 0/0, 4/4, 2/2, 6/6, 0/0, 5/2, 2/0, 5/7, 2/2, 2/2, 2/2, 3/3, 5/7, 5/7, 4/2, 2/0, 3/0, 2/0, 3/2, 9/6, 5/2, 5/2, 4/2, 2/0, 3/0, 2/0, 3/2, 7/5, 3/2, 5/5, 0/0, 4/4, 2/2, 6/6, 0/0, 5/2, 2/0, 2/0, 131/93
Db major (5b), 7/5, 0/0, 3/6, 2/2, 5/3, 1/0, 5/5, 1/0, 7/5, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/2, 0/0, 0/0, 2/2, 10/10, 1/0, 1/0, 1/0, 2/2, 0/0, 0/0, 2/2, 7/6, 3/2, 7/5, 0/0, 3/6, 2/2, 5/3, 1/0, 5/5, 1/0, 1/0, 94/73
B major (5#), 4/1, 0/0, 2/0, 2/2, 4/4, 0/0, 4/4, 1/1, 4/1, 1/0, 1/0, 1/0, 2/0, 4/4, 4/3, 4/4, 2/1, 3/1, 2/1, 2/1, 11/5, 4/3, 4/3, 4/4, 2/1, 3/1, 2/1, 2/1, 8/4, 2/0, 4/1, 0/0, 2/0, 2/2, 4/4, 0/0, 4/4, 1/1, 1/1, 107/64
Bb minor (5b), 4/1, 0/0, 2/2, 1/0, 3/1, 1/0, 4/3, 1/0, 4/1, 1/0, 1/0, 1/0, 1/0, 1/2, 1/2, 1/2, 1/0, 0/0, 0/0, 2/2, 7/2, 1/2, 1/2, 1/2, 1/0, 0/0, 0/0, 2/2, 4/1, 2/0, 4/1, 0/0, 2/2, 1/0, 3/1, 1/0, 4/3, 1/0, 1/0, 66/34
G# minor (5#), 7/7, 0/0, 4/8, 3/4, 6/8, 0/0, 4/2, 2/0, 7/9, 2/2, 2/2, 2/2, 3/3, 4/2, 4/2, 3/2, 3/0, 2/0, 1/0, 2/2, 12/10, 4/2, 4/2, 3/2, 3/0, 2/0, 1/0, 2/2, 8/6, 4/4, 7/7, 0/0, 4/8, 3/4, 6/8, 0/0, 4/2, 2/0, 2/0, 132/112
