 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, rowcost
C major (0), 0/0, 2/1, 1/2, 2/1, 4/1, 3/2, 1/0,  , 2/1, 2/0, 1/0, 4/2, 2/1, 3/1, 3/2, 2/1, 4/2, 1/2, 2/2, 1/2, 1/1, 1/1, 42/25
A minor (0), 0/0, 2/4, 4/2, 2/3, 4/2, 3/0, 1/0,  , 2/0, 2/0, 1/0, 5/5, 3/5, 4/4, 3/2, 3/3, 2/2, 2/2, 2/2, 1/0, 1/0, 1/0, 48/36
F major (1b), 0/0, 1/0, 1/0, 1/1, 3/0, 3/0, 1/0,  , 2/1, 2/0, 1/0, 3/1, 2/0, 2/0, 2/2, 1/1, 4/2, 1/2, 3/2, 1/2, 1/1, 1/1, 36/16
G major (1#), 1/0, 2/0, 2/1, 2/1, 3/2, 3/1, 1/0,  , 1/1, 2/3, 1/1, 6/5, 4/3, 4/1, 3/2, 3/2, 3/2, 1/2, 2/2, 1/2, 1/1, 1/1, 47/33
D minor (1b), 0/0, 1/0, 1/1, 1/1, 4/2, 3/3, 1/0,  , 2/1, 2/3, 1/0, 5/2, 3/1, 3/1, 2/2, 2/1, 3/2, 1/2, 3/2, 1/0, 1/0, 1/0, 41/24
E minor (1#), 1/0, 4/4, 5/2, 4/3, 3/1, 3/0, 1/0,  , 1/0, 2/0, 1/0, 6/3, 4/4, 4/4, 2/2, 3/3, 2/2, 2/2, 3/2, 1/0, 1/0, 1/0, 54/32
Bb major (2b), 0/0, 0/0, 0/0, 1/1, 2/0, 2/0, 1/0,  , 3/1, 1/0, 0/0, 2/0, 1/0, 1/0, 3/1, 1/0, 3/2, 2/1, 2/3, 1/0, 1/0, 1/0, 28/9
D major (2#), 1/0, 3/0, 3/1, 3/1, 2/2, 2/2, 0/0,  , 1/0, 1/3, 1/1, 5/5, 5/5, 5/5, 4/2, 2/3, 4/2, 2/2, 3/2, 1/0, 1/0, 1/0, 50/36
G minor (2b), 0/0, 0/0, 0/0, 1/1, 3/2, 2/1, 1/1,  , 3/1, 1/2, 0/0, 4/2, 2/1, 2/1, 2/2, 2/1, 2/2, 2/2, 3/2, 1/0, 1/0, 1/0, 33/21
B minor (2#), 1/0, 5/4, 6/4, 5/3, 2/1, 2/0, 0/0,  , 1/0, 1/0, 1/0, 3/3, 5/4, 5/4, 3/2, 2/3, 3/2, 3/2, 4/2, 1/0, 1/0, 1/0, 55/34
Eb major (3b), 0/0, 1/0, 0/0, 2/1, 2/0, 1/0, 1/0,  , 2/2, 1/0, 0/0, 2/1, 1/0, 1/0, 4/2, 2/0, 3/2, 1/1, 3/4, 0/0, 0/0, 0/0, 27/13
A major (3#), 1/0, 3/4, 6/2, 2/3, 2/2, 1/0, 0/0,  , 0/0, 1/0, 1/0, 5/3, 5/4, 5/4, 4/2, 2/3, 3/2, 3/2, 3/2, 0/0, 0/0, 0/0, 47/33
C minor (3b), 0/0, 1/0, 0/0, 2/1, 3/1, 1/0, 1/0,  , 2/1, 1/0, 0/0, 3/2, 1/0, 1/0, 3/2, 2/1, 3/2, 2/1, 4/4, 0/0, 0/0, 0/0, 30/15
F# minor (3#), 1/0, 5/5, 6/4, 4/5, 2/0, 1/0, 0/0,  , 0/0, 1/0, 1/0, 3/1, 3/0, 3/0, 2/2, 2/1, 2/1, 3/4, 4/2, 0/0, 0/0, 0/0, 43/25
Ab major (4b), 0/0, 4/2, 1/0, 4/2, 1/0, 0/0, 0/0,  , 2/1, 0/0, 0/0, 1/0, 0/0, 0/0, 5/3, 3/2, 2/2, 2/1, 3/6, 0/0, 0/0, 0/0, 28/19
E major (4#), 1/0, 6/4, 5/2, 5/3, 1/1, 0/0, 0/0,  , 0/0, 0/0, 0/0, 4/3, 4/4, 4/3, 3/2, 2/3, 4/2, 4/3, 4/5, 0/0, 0/0, 0/0, 47/35
F minor (4b), 0/0, 2/1, 1/2, 3/1, 1/0, 0/0, 0/0,  , 2/1, 0/0, 0/0, 1/1, 0/0, 0/0, 2/2, 1/0, 2/2, 3/4, 3/3, 0/0, 0/0, 0/0, 21/17
C# minor (4#), 1/0, 6/5, 5/3, 5/2, 1/0, 0/0, 0/0,  , 0/0, 0/0, 0/0, 2/0, 2/0, 2/0, 2/2, 2/1, 3/1, 4/4, 4/4, 0/0, 0/0, 0/0, 39/22
