 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 1, 4, 3, 4, 3, 3, 4, 2, 0, 3, 4, 2, 1, 2, 2, 1, 0, 4, 1, 2, 3, 4, 0, 2, 3, 4, 3, 4, 3, 3, 4, 2, 0, 81
A minor (0), 1, 4, 2, 4, 1, 5, 6, 2, 0, 5, 3, 3, 1, 4, 1, 2, 1, 3, 1, 3, 4, 4, 0, 1, 2, 4, 2, 4, 1, 5, 6, 2, 0, 87
F major (1b), 0, 2, 2, 3, 3, 2, 5, 1, 0, 3, 3, 1, 1, 1, 3, 2, 0, 3, 2, 2, 3, 1, 0, 2, 2, 2, 2, 3, 3, 2, 5, 1, 0, 65
G major (1#), 1, 3, 4, 3, 3, 3, 5, 1, 0, 2, 2, 3, 1, 3, 2, 0, 1, 5, 0, 1, 3, 3, 1, 3, 3, 3, 4, 3, 3, 3, 5, 1, 0, 78
D minor (1b), 0, 4, 2, 5, 3, 3, 7, 3, 1, 4, 1, 1, 3, 2, 4, 3, 0, 4, 2, 2, 1, 3, 0, 1, 1, 4, 2, 5, 3, 3, 7, 3, 1, 88
E minor (1#), 1, 5, 4, 3, 3, 3, 7, 1, 0, 3, 4, 3, 2, 4, 3, 1, 1, 6, 1, 2, 3, 4, 2, 3, 3, 5, 4, 3, 3, 3, 7, 1, 0, 98
Bb major (2b), 0, 2, 3, 4, 2, 2, 3, 2, 1, 3, 3, 2, 2, 1, 3, 5, 0, 2, 2, 2, 2, 1, 0, 3, 3, 2, 3, 4, 2, 2, 3, 2, 1, 72
D major (2#), 1, 4, 4, 4, 3, 4, 7, 2, 1, 4, 1, 3, 3, 4, 3, 1, 1, 6, 0, 2, 2, 3, 1, 2, 2, 4, 4, 4, 3, 4, 7, 2, 1, 97
G minor (2b), 0, 2, 4, 4, 2, 2, 5, 2, 1, 1, 1, 3, 2, 2, 3, 2, 1, 3, 1, 0, 2, 2, 1, 4, 3, 2, 4, 4, 2, 2, 5, 2, 1, 75
B minor (2#), 0, 4, 2, 5, 2, 2, 6, 3, 1, 3, 1, 4, 3, 3, 4, 2, 1, 4, 0, 3, 3, 1, 2, 4, 1, 4, 2, 5, 2, 2, 6, 3, 1, 89
Eb major (3b), 0, 3, 3, 2, 1, 1, 2, 2, 1, 2, 4, 2, 1, 0, 4, 6, 0, 1, 2, 3, 2, 1, 1, 3, 2, 3, 3, 2, 1, 1, 2, 2, 1, 64
A major (3#), 1, 3, 3, 3, 1, 5, 6, 2, 1, 5, 1, 4, 2, 5, 2, 2, 2, 5, 0, 3, 4, 3, 1, 1, 1, 3, 3, 3, 1, 5, 6, 2, 1, 90
C minor (3b), 1, 5, 3, 4, 1, 2, 2, 3, 1, 2, 5, 2, 1, 1, 3, 3, 0, 2, 1, 3, 2, 4, 1, 2, 3, 5, 3, 4, 1, 2, 2, 3, 1, 78
F# minor (3#), 1, 3, 3, 3, 2, 4, 5, 2, 2, 5, 2, 5, 3, 4, 2, 4, 1, 3, 0, 3, 3, 1, 0, 2, 2, 3, 3, 3, 2, 4, 5, 2, 2, 89
Ab major (4b), 0, 3, 3, 2, 2, 1, 1, 2, 1, 2, 4, 2, 1, 0, 6, 8, 0, 2, 3, 6, 1, 2, 3, 2, 1, 3, 3, 2, 2, 1, 1, 2, 1, 73
E major (4#), 1, 4, 3, 2, 2, 4, 5, 2, 1, 5, 3, 4, 2, 5, 3, 3, 2, 6, 1, 4, 3, 4, 2, 1, 1, 4, 3, 2, 2, 4, 5, 2, 1, 96
F minor (4b), 0, 3, 1, 2, 3, 1, 3, 1, 0, 2, 3, 0, 0, 0, 5, 4, 0, 3, 3, 4, 2, 2, 2, 0, 0, 3, 1, 2, 3, 1, 3, 1, 0, 58
C# minor (4#), 1, 6, 2, 5, 2, 4, 5, 2, 0, 6, 3, 6, 2, 4, 4, 7, 3, 4, 2, 4, 4, 3, 2, 3, 1, 6, 2, 5, 2, 4, 5, 2, 0, 111
Db major (5b), 0, 4, 2, 3, 4, 2, 2, 1, 1, 3, 4, 3, 2, 1, 7, 10, 1, 3, 3, 6, 3, 2, 4, 2, 1, 4, 2, 3, 4, 2, 2, 1, 1, 93
