 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, rowcost
C major (0), 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 12/0
A minor (0), 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 2/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 12/2
F major (1b), 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 14/0
G major (1#), 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 1/1, 1/0, 3/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 2/0, 0/0, 1/0, 1/1, 3/2, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 18/4
D minor (1b), 0/0, 1/0, 1/1, 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 14/5
E minor (1#), 0/0, 0/0, 0/0, 1/1, 2/2, 0/0, 1/1, 1/0, 3/1, 0/0, 0/0, 1/0, 2/3, 0/0, 0/0, 0/0, 0/0, 0/0, 0/1, 1/1, 2/2, 0/0, 1/1, 1/0, 3/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 19/14
Bb major (2b), 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/1, 2/2, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/1, 2/2, 0/0, 0/0, 0/0, 0/0, 14/10
D major (2#), 0/0, 0/0, 0/0, 1/0, 3/0, 0/0, 2/1, 1/0, 3/1, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/1, 0/0, 2/1, 1/0, 3/1, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 24/5
G minor (2b), 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 12/0
B minor (2#), 0/0, 0/0, 0/0, 1/0, 3/2, 0/0, 2/1, 1/0, 3/2, 0/0, 0/0, 1/0, 2/3, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 3/2, 0/0, 2/1, 1/0, 3/2, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 25/13
Eb major (3b), 1/0, 2/1, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 0/0, 1/0, 1/1, 3/3, 0/0, 1/0, 2/1, 2/1, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 3/3, 0/0, 1/0, 0/0, 0/0, 26/12
