 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, rowcost
C major (0), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3
A minor (0), 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 2, 1, 2, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 15
F major (1b), 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 7
G major (1#), 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 5
D minor (1b), 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 2, 1, 0, 14
E minor (1#), 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 11
Bb major (2b), 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 17
D major (2#), 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 12
G minor (2b), 2, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 1, 1, 0, 2, 19
B minor (2#), 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 1, 1, 16
Eb major (3b), 2, 1, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0, 2, 0, 2, 0, 1, 0, 1, 1, 1, 0, 2, 25
A major (3#), 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 1, 24
C minor (3b), 1, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 1, 2, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 18
F# minor (3#), 2, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 0, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 2, 36
Ab major (4b), 2, 1, 4, 1, 2, 2, 1, 0, 3, 0, 2, 2, 2, 0, 3, 0, 2, 0, 2, 0, 2, 1, 2, 0, 2, 36
E major (4#), 1, 1, 2, 0, 2, 2, 1, 1, 1, 1, 2, 0, 1, 1, 1, 1, 2, 1, 2, 1, 2, 0, 2, 1, 1, 30
F minor (4b), 0, 1, 2, 0, 1, 1, 0, 0, 2, 0, 2, 1, 1, 0, 2, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 18
C# minor (4#), 1, 3, 3, 0, 3, 3, 0, 2, 3, 0, 2, 0, 3, 2, 3, 2, 3, 0, 2, 1, 3, 0, 2, 0, 1, 42
Db major (5b), 2, 2, 6, 1, 4, 4, 1, 1, 4, 0, 3, 2, 3, 1, 4, 1, 3, 0, 3, 0, 3, 1, 3, 0, 2, 54
B major (5#), 1, 1, 3, 0, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 0, 3, 0, 2, 1, 1, 34
Bb minor (5b), 1, 2, 3, 1, 3, 3, 1, 1, 2, 0, 2, 0, 3, 1, 2, 1, 2, 0, 2, 0, 1, 1, 2, 0, 1, 35
G# minor (5#), 1, 0, 3, 0, 2, 2, 1, 0, 1, 1, 4, 1, 1, 0, 2, 0, 1, 1, 4, 0, 2, 0, 4, 1, 1, 33
Gb major (6b), 2, 2, 7, 1, 5, 5, 2, 2, 4, 1, 4, 2, 3, 2, 4, 2, 4, 1, 4, 0, 4, 1, 4, 1, 2, 69
F# major (6#), 2, 1, 4, 1, 3, 3, 2, 1, 2, 1, 3, 1, 2, 1, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 2, 46
Eb minor (6b), 2, 1, 3, 1, 2, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 1, 3, 1, 2, 0, 2, 1, 2, 1, 2, 42
D# minor (6#), 2, 2, 5, 1, 3, 3, 2, 2, 4, 1, 2, 2, 4, 2, 5, 2, 4, 1, 2, 0, 4, 1, 2, 1, 2, 59
Cb major (7b), 1, 2, 6, 0, 4, 4, 2, 2, 4, 2, 4, 2, 2, 2, 4, 2, 3, 2, 4, 0, 5, 0, 4, 2, 1, 64
C# major (7#), 2, 3, 5, 1, 4, 4, 1, 2, 4, 0, 2, 1, 4, 2, 4, 2, 4, 0, 2, 0, 3, 1, 2, 0, 2, 55
Ab minor (7b), 1, 0, 3, 0, 1, 1, 1, 0, 2, 1, 3, 2, 1, 0, 3, 0, 1, 1, 3, 0, 3, 0, 3, 1, 1, 32
A# minor (7#), 2, 3, 6, 2, 6, 6, 2, 2, 3, 0, 3, 0, 5, 2, 3, 2, 4, 0, 3, 0, 2, 2, 3, 0, 2, 63
