 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C major (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
A minor (0), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
A minor mel (0), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
C major blues (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
A minor blues (0), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
C dorian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
C phrygian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
C lydian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
C mixolydian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
C aeolian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
C locrian (0), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
F major (1b), 1, 2, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1, 2, 1, 1, 1, 4, 4, 1, 4, 4, 2, 4, 2, 1, 2, 1, 1, 2, 1, 1, 1, 3, 5, 0, 2, 2, 4, 3, 1, 0, 5, 3, 2, 1, 1, 4, 1, 4, 4, 2, 1, 0, 1, 2, 1, 0, 6, 4, 2, 1, 2, 3, 5, 0, 129
G major (1#), 2, 3, 3, 2, 2, 3, 1, 1, 2, 3, 3, 2, 2, 3, 1, 2, 4, 3, 3, 6, 4, 3, 3, 3, 2, 3, 3, 2, 2, 3, 1, 3, 3, 6, 0, 4, 3, 4, 3, 2, 1, 3, 6, 4, 2, 2, 6, 1, 3, 4, 2, 3, 2, 2, 3, 0, 1, 6, 7, 5, 1, 3, 5, 5, 1, 186
D minor (1b), 1, 2, 2, 1, 2, 3, 2, 0, 1, 2, 2, 1, 2, 3, 2, 1, 4, 5, 1, 7, 5, 4, 5, 3, 1, 2, 2, 1, 2, 3, 2, 1, 4, 5, 0, 3, 2, 2, 3, 2, 0, 3, 7, 3, 1, 1, 4, 1, 4, 4, 2, 2, 0, 1, 4, 1, 0, 7, 5, 4, 1, 2, 5, 5, 0, 163
E minor (1#), 2, 3, 3, 3, 2, 5, 2, 1, 2, 3, 3, 3, 2, 5, 2, 1, 4, 5, 4, 7, 4, 6, 5, 5, 2, 3, 3, 3, 2, 5, 2, 4, 4, 6, 0, 5, 4, 3, 4, 5, 1, 2, 9, 5, 4, 2, 5, 1, 3, 5, 3, 4, 3, 5, 5, 0, 1, 8, 6, 6, 2, 3, 7, 6, 1, 234
D minor mel (1b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
E minor mel (1#), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
F major blues (1b), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
G major blues (1#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
D minor blues (1b), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
E minor blues (1#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
F dorian (1b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
G dorian (1#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
F phrygian (1b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
G phrygian (1#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
F lydian (1b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
G lydian (1#), 1, 2, 1, 1, 2, 1, 1, 0, 1, 2, 1, 1, 2, 1, 1, 1, 4, 4, 1, 4, 4, 2, 4, 2, 1, 2, 1, 1, 2, 1, 1, 1, 3, 5, 0, 2, 2, 4, 3, 1, 0, 5, 3, 2, 1, 1, 4, 1, 4, 4, 2, 1, 0, 1, 2, 1, 0, 6, 4, 2, 1, 2, 3, 5, 0, 129
F mixolydian (1b), 2, 3, 3, 2, 2, 3, 1, 1, 2, 3, 3, 2, 2, 3, 1, 2, 4, 3, 3, 6, 4, 3, 3, 3, 2, 3, 3, 2, 2, 3, 1, 3, 3, 6, 0, 4, 3, 4, 3, 2, 1, 3, 6, 4, 2, 2, 6, 1, 3, 4, 2, 3, 2, 2, 3, 0, 1, 6, 7, 5, 1, 3, 5, 5, 1, 186
G mixolydian (1#), 1, 2, 2, 1, 2, 3, 2, 0, 1, 2, 2, 1, 2, 3, 2, 1, 4, 5, 1, 7, 5, 4, 5, 3, 1, 2, 2, 1, 2, 3, 2, 1, 4, 5, 0, 3, 2, 2, 3, 2, 0, 3, 7, 3, 1, 1, 4, 1, 4, 4, 2, 2, 0, 1, 4, 1, 0, 7, 5, 4, 1, 2, 5, 5, 0, 163
F aeolian (1b), 2, 3, 3, 3, 2, 5, 2, 1, 2, 3, 3, 3, 2, 5, 2, 1, 4, 5, 4, 7, 4, 6, 5, 5, 2, 3, 3, 3, 2, 5, 2, 4, 4, 6, 0, 5, 4, 3, 4, 5, 1, 2, 9, 5, 4, 2, 5, 1, 3, 5, 3, 4, 3, 5, 5, 0, 1, 8, 6, 6, 2, 3, 7, 6, 1, 234
G aeolian (1#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
F locrian (1b), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
G locrian (1#), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
Bb major (2b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
D major (2#), 2, 2, 3, 2, 1, 4, 2, 1, 2, 2, 3, 2, 1, 4, 2, 2, 3, 6, 3, 6, 4, 5, 4, 4, 2, 2, 3, 2, 1, 4, 2, 3, 3, 6, 0, 4, 4, 3, 5, 3, 0, 3, 8, 4, 3, 2, 5, 1, 3, 4, 2, 3, 1, 4, 5, 1, 0, 7, 6, 5, 2, 3, 6, 5, 1, 201
G minor (2b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
B minor (2#), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
G minor mel (2b), 2, 2, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 4, 2, 3, 3, 2, 3, 4, 2, 2, 2, 1, 1, 2, 1, 2, 2, 6, 0, 3, 3, 5, 4, 2, 0, 4, 4, 3, 2, 2, 5, 1, 3, 3, 1, 2, 1, 1, 3, 1, 0, 5, 5, 3, 1, 3, 4, 4, 1, 149
