 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
A minor (0), 0, 2, 2, 2, 2, 4, 2, 3, 3, 2, 2, 2, 2, 4, 4, 1, 5, 1, 4, 1, 1, 3, 3, 1, 0, 2, 2, 3, 2, 6, 4, 2, 1, 1, 1, 3, 4, 5, 3, 2, 0, 3, 3, 5, 5, 4, 3, 1,  , 1, 3, 3, 5, 2, 3, 3, 2, 6, 3, 3, 4, 0, 2, 4, 5, 0, 170
A minor mel (0), 0, 2, 2, 2, 2, 4, 2, 3, 3, 2, 2, 2, 2, 4, 4, 1, 5, 1, 4, 1, 1, 3, 3, 1, 0, 2, 2, 3, 2, 6, 4, 2, 1, 1, 1, 3, 4, 5, 3, 2, 0, 3, 3, 5, 5, 4, 3, 1,  , 1, 3, 3, 5, 2, 3, 3, 2, 6, 3, 3, 4, 0, 2, 4, 5, 0, 170
C major blues (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
A minor blues (0), 0, 2, 2, 2, 2, 4, 2, 3, 3, 2, 2, 2, 2, 4, 4, 1, 5, 1, 4, 1, 1, 3, 3, 1, 0, 2, 2, 3, 2, 6, 4, 2, 1, 1, 1, 3, 4, 5, 3, 2, 0, 3, 3, 5, 5, 4, 3, 1,  , 1, 3, 3, 5, 2, 3, 3, 2, 6, 3, 3, 4, 0, 2, 4, 5, 0, 170
C dorian (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
C phrygian (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
C lydian (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
C mixolydian (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
C aeolian (0), 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 1, 3, 1, 2, 1, 1, 2, 2, 1, 0, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 3, 4, 4, 3, 2, 0, 4, 2, 6, 5, 3, 3, 1,  , 1, 3, 3, 3, 2, 3, 2, 2, 4, 2, 2, 3, 0, 2, 3, 4, 0, 145
